Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
410	0.048	#05ff93	China	Ultra High Contrast	UHC
415	0.146				
420	0.413				
425	0.256				
430	0.088				
435	0.076				
440	0.093				
445	0.144				
450	0.462				
455	2.951				
460	36.907				
465	93.676				
470	94.648				
475	95.303				
480	95.195				
485	96.27				
490	96.669				
495	96.37				
500	93.528				
505	46.258				
510	4.338				
515	0.964				
520	0.25				
525	0.096				
530	0.096				
535	0.096				
540	0.0				
545	0.0				
550	0.0				
555	0.0				
560	0.0				
565	0.096				
570	0.096				
575	0.096				
580	0.096				
585	0.096				
590	0.103				
595	0.133				
600	0.163				
605	0.194				
610	0.286				
615	0.524				
620	2.455				
625	9.391				
630	52.213				
635	91.522				
640	98.36				
645	97.778				
650	98.551				
655	99.188				
660	99.317				
665	99.528				
670	99.22				
675	98.816				
680	98.672				
685	99.324				
690	98.505				
695	98.254				
700	98.339				
705	98.489				
710	98.489				
715	98.489				
720	98.489				
725	98.489				
730	98.489				
735	98.489				
740	98.489				
745	98.489				
750	98.489				
755	98.489				
760	98.489				
765	98.489				
770	98.489				
775	98.489				
780	98.489				
785	98.489				
790	98.489				
795	98.489				
800	98.489				
805	98.489				
810	98.489				
815	98.489				
820	98.489				
825	98.489				
830	98.489				
835	98.489				
840	98.489				
845	98.489				
850	98.489				
855	98.489				
860	98.489				
865	98.489				
870	98.489				
875	98.489				
880	98.489				
885	98.489				
890	98.489				
895	98.489				
900	98.489				
905	98.489				
910	98.489				
915	98.489				
920	98.489				
925	98.489				
930	98.489				
935	98.489				
940	98.489				
945	98.489				
950	98.489				
955	98.489				
960	98.489				
965	98.489				
970	98.489				
975	98.489				
980	98.489				
985	98.489				
990	98.489				
995	98.489				
1000	98.489				
1005	98.489				
1010	98.489				
1015	98.489				
1020	98.489				
1025	98.489				
1030	98.489				
1035	98.489				
1040	98.489				
1045	98.489				
1050	98.489				
1055	98.489				
1060	98.489				
1065	98.489				
1070	98.489				
1075	98.489				
1080	98.489				
1085	98.489				
1090	98.489				
1095	98.489				
1100	98.489				
