Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
390	2.246		Chroma		21006v20
391	2.511				
392	2.924				
393	2.719				
394	2.046				
395	1.47				
396	0.935				
397	0.541				
398	0.498				
399	0.43				
400	0.389				
401	0.545				
402	0.957				
403	0.958				
404	0.81				
405	0.916				
406	0.745				
407	0.35				
408	0.404				
409	0.338				
410	0.358				
411	0.116				
412	0.275				
413	0.125				
414	0.186				
415	0.131				
416	0.174				
417	0.111				
418	0.0				
419	0.05				
420	0.201				
421	0.252				
422	0.305				
423	0.413				
424	0.549				
425	0.758				
426	0.723				
427	0.693				
428	0.647				
429	0.544				
430	0.526				
431	0.631				
432	0.737				
433	0.642				
434	0.528				
435	0.415				
436	0.24				
437	0.158				
438	0.159				
439	0.182				
440	0.17				
441	0.114				
442	0.153				
443	0.022				
444	0.064				
445	0.059				
446	0.085				
447	0.146				
448	0.122				
449	0.147				
450	0.12				
451	0.193				
452	0.09				
453	0.123				
454	0.126				
455	0.139				
456	0.104				
457	0.157				
458	0.118				
459	0.125				
460	0.147				
461	0.132				
462	0.149				
463	0.108				
464	0.112				
465	0.19				
466	0.251				
467	0.319				
468	0.469				
469	0.748				
470	0.926				
471	1.069				
472	1.092				
473	1.007				
474	0.84				
475	0.66				
476	0.493				
477	0.463				
478	0.429				
479	0.488				
480	0.542				
481	0.583				
482	0.736				
483	0.924				
484	1.021				
485	1.073				
486	1.098				
487	1.092				
488	1.009				
489	0.984				
490	1.002				
491	0.993				
492	1.112				
493	1.17				
494	1.196				
495	1.089				
496	0.998				
497	0.937				
498	0.76				
499	0.568				
500	0.451				
501	0.312				
502	0.258				
503	0.196				
504	0.13				
505	0.177				
506	0.169				
507	0.15				
508	0.135				
509	0.186				
510	0.252				
511	0.233				
512	0.288				
513	0.293				
514	0.437				
515	0.51				
516	0.589				
517	0.69				
518	0.725				
519	0.715				
520	0.699				
521	0.548				
522	0.513				
523	0.436				
524	0.432				
525	0.392				
526	0.384				
527	0.449				
528	0.513				
529	0.601				
530	0.721				
531	0.719				
532	0.838				
533	0.802				
534	0.806				
535	0.749				
536	0.653				
537	0.533				
538	0.457				
539	0.376				
540	0.306				
541	0.269				
542	0.202				
543	0.209				
544	0.196				
545	0.149				
546	0.173				
547	0.142				
548	0.198				
549	0.252				
550	0.289				
551	0.383				
552	0.507				
553	0.777				
554	0.922				
555	1.025				
556	1.036				
557	0.967				
558	0.757				
559	0.578				
560	0.395				
561	0.257				
562	0.194				
563	0.173				
564	0.138				
565	0.103				
566	0.161				
567	0.123				
568	0.108				
569	0.115				
570	0.115				
571	0.116				
572	0.149				
573	0.182				
574	0.222				
575	0.258				
576	0.312				
577	0.366				
578	0.447				
579	0.444				
580	0.492				
581	0.466				
582	0.439				
583	0.434				
584	0.358				
585	0.32				
586	0.226				
587	0.204				
588	0.151				
589	0.128				
590	0.092				
591	0.118				
592	0.094				
593	0.094				
594	0.104				
595	0.107				
596	0.091				
597	0.092				
598	0.09				
599	0.125				
600	0.12				
601	0.119				
602	0.133				
603	0.145				
604	0.188				
605	0.216				
606	0.276				
607	0.363				
608	0.467				
609	0.581				
610	0.681				
611	0.75				
612	0.812				
613	0.881				
614	0.896				
615	0.883				
616	0.854				
617	0.768				
618	0.665				
619	0.558				
620	0.45				
621	0.385				
622	0.353				
623	0.288				
624	0.314				
625	0.303				
626	0.308				
627	0.319				
628	0.345				
629	0.38				
630	0.45				
631	0.509				
632	0.608				
633	0.695				
634	0.791				
