Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
381	44.995		Chroma		210140
382	45.453				
383	45.654				
384	46.046				
385	46.267				
386	46.443				
387	46.852				
388	47.141				
389	47.346				
390	47.576				
391	47.773				
392	47.988				
393	48.218				
394	48.426				
395	48.549				
396	48.701				
397	48.829				
398	49.061				
399	49.163				
400	49.254				
401	49.404				
402	49.527				
403	49.647				
404	49.727				
405	49.812				
406	49.882				
407	49.927				
408	49.953				
409	49.965				
410	50.062				
411	50.076				
412	50.124				
413	50.097				
414	50.064				
415	50.099				
416	50.085				
417	50.088				
418	50.087				
419	50.061				
420	50.056				
421	49.968				
422	49.936				
423	49.901				
424	49.861				
425	49.907				
426	49.819				
427	49.822				
428	49.751				
429	49.712				
430	49.706				
431	49.644				
432	49.58				
433	49.577				
434	49.57				
435	49.512				
436	49.45				
437	49.445				
438	49.426				
439	49.403				
440	49.352				
441	49.338				
442	49.302				
443	49.275				
444	49.286				
445	49.226				
446	49.21				
447	49.218				
448	49.164				
449	49.163				
450	49.112				
451	49.111				
452	49.092				
453	49.089				
454	49.058				
455	49.036				
456	49.002				
457	49.021				
458	48.976				
459	48.982				
460	48.956				
461	48.949				
462	48.951				
463	48.931				
464	48.909				
465	48.9				
466	48.896				
467	48.857				
468	48.851				
469	48.827				
470	48.869				
471	48.809				
472	48.827				
473	48.809				
474	48.798				
475	48.798				
476	48.781				
477	48.762				
478	48.755				
479	48.759				
480	48.76				
481	48.76				
482	48.734				
483	48.741				
484	48.731				
485	48.728				
486	48.716				
487	48.701				
488	48.704				
489	48.691				
490	48.695				
491	48.682				
492	48.684				
493	48.683				
494	48.69				
495	48.672				
496	48.686				
497	48.68				
498	48.666				
499	48.67				
500	48.672				
501	48.671				
502	48.661				
503	48.666				
504	48.658				
505	48.674				
506	48.676				
507	48.666				
508	48.637				
509	48.66				
510	48.653				
511	48.665				
512	48.665				
513	48.66				
514	48.667				
515	48.665				
516	48.663				
517	48.664				
518	48.675				
519	48.659				
520	48.686				
521	48.683				
522	48.687				
523	48.684				
524	48.676				
525	48.681				
526	48.685				
527	48.692				
528	48.697				
529	48.699				
530	48.706				
531	48.718				
532	48.707				
533	48.725				
534	48.726				
535	48.71				
536	48.714				
537	48.712				
538	48.709				
539	48.74				
540	48.731				
541	48.737				
542	48.749				
543	48.745				
544	48.747				
545	48.751				
546	48.755				
547	48.75				
548	48.765				
549	48.76				
550	48.793				
551	48.774				
552	48.774				
553	48.767				
554	48.786				
555	48.807				
556	48.798				
557	48.805				
558	48.791				
559	48.813				
560	48.825				
561	48.823				
562	48.815				
563	48.827				
564	48.835				
565	48.818				
566	48.815				
567	48.84				
568	48.833				
569	48.842				
570	48.856				
571	48.844				
572	48.869				
573	48.858				
574	48.847				
575	48.871				
576	48.854				
577	48.87				
578	48.872				
579	48.874				
580	48.871				
581	48.875				
582	48.87				
583	48.889				
584	48.886				
585	48.885				
586	48.898				
587	48.881				
588	48.898				
589	48.9				
590	48.893				
591	48.894				
592	48.903				
593	48.904				
594	48.91				
595	48.911				
596	48.91				
597	48.912				
598	48.92				
599	48.93				
600	48.913				
601	48.923				
602	48.92				
603	48.926				
604	48.927				
605	48.93				
606	48.928				
607	48.923				
608	48.936				
609	48.924				
610	48.93				
611	48.937				
612	48.93				
613	48.928				
614	48.942				
615	48.935				
616	48.93				
617	48.939				
618	48.924				
619	48.934				
620	48.931				
621	48.934				
622	48.943				
623	48.933				
624	48.928				
625	48.927				
626	48.933				
627	48.93				
628	48.928				
629	48.924				
630	48.927				
631	48.927				
632	48.926				
633	48.925				
634	48.922				
635	48.918				
636	48.922				
637	48.91				
638	48.912				
639	48.911				
640	48.909				
641	48.9				
642	48.902				
643	48.891				
644	48.895				
645	48.889				
646	48.88				
647	48.883				
648	48.871				
649	48.878				
650	48.872				
651	48.867				
652	48.859				
653	48.853				
654	48.856				
655	48.841				
656	48.843				
657	48.83				
658	48.827				
659	48.808				
660	48.813				
661	48.796				
662	48.797				
663	48.78				
664	48.777				
665	48.761				
666	48.754				
667	48.74				
668	48.734				
669	48.726				
670	48.705				
671	48.701				
672	48.691				
673	48.673				
674	48.661				
675	48.656				
676	48.635				
677	48.637				
678	48.608				
679	48.598				
680	48.588				
681	48.57				
682	48.558				
683	48.54				
684	48.522				
685	48.517				
686	48.489				
687	48.473				
688	48.445				
689	48.448				
690	48.426				
691	48.405				
692	48.383				
693	48.36				
694	48.331				
695	48.316				
696	48.291				
697	48.263				
698	48.263				
699	48.226				
700	48.197				
701	48.188				
702	48.159				
703	48.129				
704	48.092				
705	48.075				
706	48.061				
707	48.032				
708	48.014				
709	47.978				
710	47.945				
711	47.931				
712	47.902				
713	47.861				
714	47.824				
715	47.798				
716	47.779				
717	47.736				
718	47.712				
719	47.671				
720	47.643				
721	47.603				
722	47.616				
723	47.513				
724	47.494				
725	47.451				
726	47.444				
727	47.385				
728	47.371				
729	47.372				
730	47.261				
731	47.255				
732	47.195				
733	47.129				
734	47.133				
735	47.085				
736	47.022				
737	47.0				
738	46.964				
739	46.88				
740	46.887				
741	46.837				
742	46.745				
743	46.706				
744	46.673				
745	46.606				
746	46.567				
747	46.547				
748	46.455				
749	46.409				
750	46.368				
751	46.332				
752	46.265				
753	46.254				
754	46.146				
755	46.057				
756	46.071				
757	46.037				
758	45.929				
759	45.908				
760	45.784				
761	45.767				
762	45.711				
763	45.616				
764	45.611				
765	45.545				
766	45.488				
767	45.439				
768	45.328				
769	45.273				
770	45.173				
771	45.18				
772	45.084				
773	45.014				
774	44.936				
775	44.869				
776	44.8				
777	44.729				
778	44.669				
779	44.609				
780	44.521				
781	44.484				
782	44.401				
783	44.299				
784	44.276				
785	44.168				
786	44.115				
787	44.025				
788	43.944				
789	43.881				
790	43.805				
791	43.718				
792	43.663				
793	43.538				
794	43.479				
795	43.383				
796	43.347				
797	43.22				
798	43.135				
799	43.055				
800	42.96				
801	0.0				
