Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		59004m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.001				
497	0.004				
498	0.02				
499	0.164				
500	2.465				
501	36.182				
502	89.58				
503	95.623				
504	95.628				
505	95.878				
506	96.824				
507	97.016				
508	97.4				
509	97.289				
510	96.06				
511	95.782				
512	96.725				
513	96.978				
514	96.592				
515	96.574				
516	96.506				
517	96.46				
518	96.431				
519	96.428				
520	96.536				
521	96.487				
522	96.412				
523	95.237				
524	94.494				
525	95.58				
526	96.54				
527	94.401				
528	93.918				
529	96.057				
530	95.062				
531	50.4				
532	4.023				
533	1.058				
534	0.145				
535	0.03				
536	0.008				
537	0.003				
538	0.001				
539	0.001				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.001				
561	0.001				
562	0.003				
563	0.009				
564	0.026				
565	0.096				
566	0.479				
567	3.784				
568	33.582				
569	86.409				
570	91.228				
571	95.869				
572	96.534				
573	95.517				
574	97.085				
575	97.509				
576	96.448				
577	95.388				
578	96.232				
579	97.474				
580	97.908				
581	97.3				
582	96.74				
583	96.928				
584	97.192				
585	97.891				
586	97.887				
587	97.498				
588	97.715				
589	97.644				
590	97.546				
591	97.67				
592	97.567				
593	97.824				
594	97.66				
595	97.44				
596	97.342				
597	97.358				
598	97.491				
599	96.975				
600	96.438				
601	95.75				
602	96.067				
603	96.457				
604	96.14				
605	94.683				
606	93.536				
607	93.913				
608	94.926				
609	92.359				
610	85.671				
611	84.277				
612	88.475				
613	55.831				
614	7.189				
615	3.301				
616	0.932				
617	0.328				
618	0.133				
619	0.062				
620	0.031				
621	0.017				
622	0.01				
623	0.006				
624	0.004				
625	0.002				
626	0.002				
627	0.001				
628	0.001				
629	0.001				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.001				
651	0.001				
652	0.002				
653	0.003				
654	0.007				
655	0.014				
656	0.024				
657	0.026				
658	0.023				
659	0.02				
660	0.017				
661	0.015				
662	0.013				
663	0.012				
664	0.011				
665	0.01				
666	0.009				
667	0.008				
668	0.008				
669	0.007				
670	0.006				
671	0.006				
672	0.006				
673	0.005				
674	0.005				
675	0.005				
676	0.004				
677	0.004				
678	0.003				
679	0.003				
680	0.003				
681	0.003				
682	0.002				
683	0.002				
684	0.002				
685	0.002				
686	0.002				
687	0.002				
688	0.002				
689	0.001				
690	0.001				
691	0.001				
692	0.001				
693	0.001				
694	0.001				
695	0.001				
696	0.001				
697	0.001				
698	0.001				
699	0.001				
700	0.001				
701	0.001				
702	0.001				
703	0.001				
704	0.001				
705	0.001				
706	0.001				
707	0.001				
708	0.001				
709	0.001				
710	0.001				
711	0.001				
712	0.001				
713	0.001				
714	0.001				
715	0.001				
716	0.0				
717	0.001				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	0.0				
723	0.0				
724	0.0				
725	0.0				
726	0.0				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	0.0				
736	0.0				
737	0.0				
738	0.0				
739	0.0				
740	0.0				
741	0.0				
742	0.0				
743	0.0				
744	0.0				
745	0.0				
746	0.0				
747	0.0				
748	0.0				
749	0.0				
750	0.0				
751	0.0				
752	0.0				
753	0.0				
754	0.0				
755	0.0				
756	0.0				
757	0.0				
758	0.0				
759	0.0				
760	0.0				
761	0.0				
762	0.0				
763	0.0				
764	0.0				
765	0.0				
766	0.0				
767	0.0				
768	0.0				
769	0.0				
770	0.0				
771	0.0				
772	0.0				
773	0.0				
774	0.0				
775	0.0				
776	0.0				
777	0.0				
778	0.0				
779	0.0				
780	0.0				
781	0.0				
782	0.0				
783	0.0				
784	0.0				
785	0.0				
786	0.0				
787	0.0				
788	0.0				
789	0.0				
790	0.0				
791	0.0				
792	0.0				
793	0.0				
794	0.0				
795	0.0				
796	0.0				
797	0.0				
798	0.0				
799	0.0				
800	0.0				
801	0.0				
802	0.0				
803	0.002				
804	0.003				
805	0.005				
806	0.007				
807	0.01				
808	0.014				
809	0.018				
810	0.024				
811	0.03				
812	0.037				
813	0.045				
814	0.054				
815	0.062				
816	0.073				
817	0.085				
818	0.099				
819	0.115				
820	0.135				
821	0.161				
822	0.193				
823	0.226				
824	0.269				
825	0.316				
826	0.371				
827	0.439				
828	0.527				
829	0.642				
830	0.796				
831	0.988				
832	1.238				
833	1.553				
834	1.943				
835	2.457				
836	3.16				
837	4.07				
838	5.301				
839	7.122				
840	9.702				
841	13.976				
842	21.984				
843	34.539				
844	45.748				
845	41.164				
846	27.462				
847	17.413				
848	11.446				
849	8.24				
850	6.422				
851	5.434				
852	4.911				
853	4.725				
854	4.738				
855	4.905				
856	5.396				
857	5.827				
858	6.313				
859	6.557				
860	6.523				
861	6.08				
862	5.495				
863	4.941				
864	4.362				
865	4.029				
866	3.846				
867	3.808				
868	3.873				
869	4.23				
870	4.793				
871	5.75				
