Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		79003bs
301	0.0				
302	0.0				
303	0.0				
304	0.455				
305	2.724				
306	4.765				
307	3.898				
308	3.743				
309	6.064				
310	10.257				
311	11.761				
312	10.408				
313	5.729				
314	0.995				
315	0.0				
316	0.0				
317	0.277				
318	0.198				
319	0.0				
320	0.48				
321	3.021				
322	4.69				
323	7.238				
324	14.244				
325	17.149				
326	16.822				
327	19.34				
328	15.693				
329	11.215				
330	12.956				
331	9.445				
332	2.639				
333	0.282				
334	0.014				
335	0.072				
336	0.35				
337	0.733				
338	0.868				
339	0.555				
340	0.151				
341	0.0				
342	0.0				
343	0.105				
344	0.43				
345	0.391				
346	0.063				
347	0.0				
348	0.0				
349	0.0				
350	0.027				
351	0.1				
352	0.222				
353	0.253				
354	0.133				
355	0.038				
356	0.0				
357	0.0				
358	0.036				
359	0.176				
360	0.545				
361	0.925				
362	1.131				
363	1.108				
364	0.847				
365	0.545				
366	0.315				
367	0.254				
368	0.473				
369	1.05				
370	1.266				
371	0.715				
372	0.186				
373	0.028				
374	0.001				
375	0.007				
376	0.045				
377	0.285				
378	0.663				
379	0.855				
380	0.717				
381	0.568				
382	0.486				
383	0.355				
384	0.196				
385	0.067				
386	0.066				
387	0.256				
388	1.101				
389	1.149				
390	1.063				
391	1.073				
392	1.158				
393	1.055				
394	0.69				
395	0.488				
396	0.55				
397	0.986				
398	1.221				
399	0.855				
400	0.417				
401	0.209				
402	0.18				
403	0.35				
404	0.719				
405	0.91				
406	0.645				
407	0.292				
408	0.162				
409	0.15				
410	0.192				
411	0.398				
412	0.892				
413	1.189				
414	0.86				
415	0.387				
416	0.18				
417	0.144				
418	0.161				
419	0.184				
420	0.225				
421	0.289				
422	0.344				
423	0.375				
424	0.405				
425	0.47				
426	0.574				
427	0.65				
428	0.683				
429	0.68				
430	0.641				
431	0.553				
432	0.439				
433	0.331				
434	0.222				
435	0.141				
436	0.116				
437	0.113				
438	0.112				
439	0.101				
440	0.101				
441	0.118				
442	0.153				
443	0.248				
444	0.543				
445	1.331				
446	2.058				
447	1.893				
448	1.199				
449	0.704				
450	0.524				
451	0.492				
452	0.581				
453	0.901				
454	1.338				
455	1.858				
456	3.227				
457	6.523				
458	14.074				
459	26.561				
460	38.908				
461	46.695				
462	49.097				
463	49.647				
464	51.6				
465	56.91				
466	68.291				
467	81.977				
468	92.695				
469	96.857				
470	97.625				
471	97.796				
472	98.089				
473	98.374				
474	98.478				
475	98.491				
476	98.454				
477	98.353				
478	98.302				
479	98.246				
480	98.227				
481	98.363				
482	98.527				
483	98.646				
484	98.628				
485	98.475				
486	98.299				
487	98.032				
488	97.651				
489	97.57				
490	97.756				
491	97.854				
492	97.882				
493	97.84				
494	97.847				
495	97.942				
496	98.105				
497	98.321				
498	98.485				
499	98.573				
500	98.606				
501	98.573				
502	98.571				
503	98.562				
504	98.546				
505	98.542				
506	98.494				
507	98.377				
508	98.157				
509	98.0				
510	97.883				
511	97.876				
512	98.018				
513	98.205				
514	98.25				
515	98.138				
516	97.968				
517	97.8				
518	97.654				
519	97.561				
520	97.594				
521	97.543				
522	97.526				
523	97.473				
524	97.357				
525	97.384				
526	97.535				
527	97.681				
528	97.646				
529	97.312				
530	97.003				
531	96.5				
532	94.555				
533	89.285				
534	79.734				
535	66.467				
536	52.841				
537	40.315				
538	29.239				
539	19.864				
540	12.605				
541	7.801				
542	5.036				
543	3.363				
544	2.276				
545	1.644				
546	1.219				
547	0.935				
548	0.75				
549	0.622				
550	0.533				
551	0.469				
552	0.425				
553	0.394				
554	0.38				
555	0.377				
556	0.38				
557	0.394				
558	0.421				
559	0.462				
560	0.518				
561	0.592				
562	0.705				
563	0.868				
564	1.106				
565	1.441				
566	1.953				
567	2.782				
568	4.096				
569	6.245				
570	9.833				
571	15.148				
572	22.581				
573	31.901				
574	41.206				
575	48.745				
576	54.74				
577	61.26				
578	70.103				
579	80.508				
580	89.595				
581	95.116				
582	97.274				
583	97.873				
584	98.116				
585	98.12				
586	97.809				
587	97.364				
588	96.746				
589	96.395				
590	96.249				
591	96.4				
592	97.021				
593	97.644				
594	98.135				
595	98.42				
596	98.455				
597	98.204				
598	97.888				
599	97.707				
600	97.474				
601	97.433				
602	98.139				
603	98.59				
604	98.728				
605	98.888				
606	99.037				
607	99.132				
608	99.116				
609	99.109				
610	99.026				
611	98.876				
612	98.796				
613	98.687				
614	98.565				
615	98.429				
