Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.0		Chroma		AT455DC
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.071				
387	0.16				
388	0.039				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.026				
394	0.181				
395	0.149				
396	0.036				
397	0.0				
398	0.0				
399	0.003				
400	0.029				
401	0.233				
402	0.294				
403	0.088				
404	0.007				
405	0.031				
406	0.012				
407	0.014				
408	0.164				
409	0.544				
410	0.216				
411	0.045				
412	0.0				
413	0.011				
414	0.081				
415	0.647				
416	0.224				
417	0.009				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.039				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.009				
442	0.044				
443	0.107				
444	0.247				
445	0.48				
446	0.864				
447	1.434				
448	2.401				
449	4.435				
450	8.181				
451	16.716				
452	26.714				
453	38.513				
454	43.502				
455	43.527				
456	43.935				
457	50.199				
458	65.329				
459	83.014				
460	87.136				
461	90.208				
462	93.122				
463	93.478				
464	93.634				
465	93.615				
466	94.179				
467	94.679				
468	94.939				
469	95.098				
470	94.997				
471	94.644				
472	94.119				
473	93.882				
474	93.758				
475	93.634				
476	93.938				
477	93.897				
478	93.896				
479	93.604				
480	93.064				
481	92.587				
482	92.256				
483	91.951				
484	92.007				
485	92.153				
486	92.178				
487	92.162				
488	92.135				
489	91.939				
490	91.75				
491	91.577				
492	91.45				
493	91.386				
494	91.243				
495	91.079				
496	90.956				
497	90.705				
498	90.492				
499	90.468				
500	90.462				
501	90.662				
502	91.023				
503	91.486				
504	92.012				
505	92.242				
506	92.46				
507	92.601				
508	92.4				
509	92.223				
510	92.016				
511	91.924				
512	91.955				
513	92.188				
514	92.608				
515	93.008				
516	93.486				
517	94.021				
518	94.332				
519	94.538				
520	94.627				
521	94.484				
522	94.386				
523	94.35				
524	94.203				
525	94.23				
526	94.419				
527	94.599				
528	94.777				
529	94.902				
530	95.15				
531	95.214				
532	95.192				
533	95.149				
534	95.117				
535	95.087				
536	94.956				
537	94.902				
538	94.965				
539	94.964				
540	95.062				
541	95.139				
542	95.1				
543	95.056				
544	94.976				
545	94.79				
546	94.526				
547	94.313				
548	94.062				
549	93.971				
550	93.906				
551	93.835				
552	93.859				
553	93.958				
554	94.021				
555	94.155				
556	94.39				
557	94.392				
558	94.3				
559	94.278				
560	94.113				
561	93.914				
562	93.704				
563	93.486				
564	93.298				
565	93.146				
566	93.106				
567	93.057				
568	93.068				
569	93.122				
570	93.315				
571	93.413				
572	93.508				
573	93.682				
574	93.785				
575	93.893				
576	93.833				
577	93.833				
578	93.728				
579	93.626				
580	93.583				
581	93.404				
582	93.336				
583	93.238				
584	93.297				
585	93.254				
586	93.324				
587	93.389				
588	93.535				
589	93.682				
590	93.796				
591	93.942				
592	94.107				
593	94.196				
594	94.286				
595	94.397				
596	94.43				
597	94.448				
598	94.411				
599	94.436				
600	94.406				
601	94.337				
602	94.306				
603	94.243				
604	94.27				
605	94.235				
606	94.285				
607	94.273				
608	94.298				
609	94.224				
610	94.312				
611	94.379				
612	94.373				
613	94.485				
614	94.491				
615	94.561				
616	94.458				
617	94.44				
618	94.442				
619	94.434				
620	94.374				
621	94.4				
622	94.388				
623	94.372				
624	94.342				
625	94.384				
626	94.436				
627	94.472				
628	94.553				
629	94.643				
630	94.652				
631	94.699				
632	94.785				
633	94.859				
634	94.915				
635	94.894				
636	94.848				
637	94.866				
638	94.814				
639	94.858				
640	94.711				
641	94.727				
642	94.633				
643	94.515				
644	94.53				
645	94.453				
646	94.405				
647	94.414				
648	94.423				
649	94.438				
650	94.471				
651	94.499				
652	94.506				
653	94.608				
654	94.756				
655	94.955				
656	94.801				
657	94.83				
658	94.773				
659	94.861				
660	94.648				
661	94.566				
662	94.574				
663	94.47				
664	94.247				
665	94.396				
666	94.296				
667	94.271				
668	94.216				
669	94.119				
670	94.209				
671	94.165				
672	94.252				
673	94.261				
674	94.394				
675	94.457				
676	94.564				
677	94.612				
678	94.652				
679	94.674				
680	94.778				
681	94.738				
682	94.791				
683	94.725				
684	94.7				
685	94.679				
686	94.662				
687	94.482				
688	94.411				
689	94.261				
690	94.269				
691	94.278				
692	94.196				
693	94.14				
694	94.215				
695	94.189				
696	94.19				
697	94.215				
698	94.305				
699	94.376				
700	94.332				
701	94.394				
702	94.517				
703	94.556				
704	94.548				
705	94.63				
706	94.689				
707	94.636				
708	94.714				
709	94.569				
710	94.602				
711	94.493				
712	94.467				
713	94.446				
714	94.367				
715	94.376				
716	94.228				
717	94.265				
718	94.172				
719	94.073				
720	94.178				
721	94.055				
722	94.105				
723	94.134				
724	94.244				
725	94.268				
726	94.329				
727	94.246				
728	94.414				
729	94.486				
730	94.311				
731	94.302				
732	94.49				
733	94.394				
734	94.451				
735	94.305				
736	94.216				
737	94.19				
738	94.172				
739	94.143				
740	94.073				
741	94.021				
742	93.984				
743	93.957				
744	93.898				
745	93.82				
746	93.801				
747	93.805				
748	93.874				
749	93.84				
750	93.9				
751	93.923				
752	93.842				
753	93.976				
754	94.021				
755	94.095				
756	94.107				
757	94.111				
758	94.132				
759	94.156				
760	94.181				
761	94.202				
762	94.287				
763	94.322				
764	94.336				
765	94.285				
766	94.239				
767	94.196				
768	94.218				
