Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		AT610lp
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.001				
333	0.002				
334	0.004				
335	0.007				
336	0.012				
337	0.021				
338	0.038				
339	0.066				
340	0.108				
341	0.161				
342	0.207				
343	0.237				
344	0.24				
345	0.221				
346	0.19				
347	0.147				
348	0.119				
349	0.09				
350	0.065				
351	0.057				
352	0.044				
353	0.033				
354	0.031				
355	0.026				
356	0.018				
357	0.017				
358	0.017				
359	0.011				
360	0.009				
361	0.01				
362	0.008				
363	0.006				
364	0.005				
365	0.006				
366	0.004				
367	0.003				
368	0.004				
369	0.004				
370	0.003				
371	0.002				
372	0.002				
373	0.003				
374	0.002				
375	0.001				
376	0.002				
377	0.002				
378	0.002				
379	0.001				
380	0.001				
381	0.002				
382	0.002				
383	0.001				
384	0.001				
385	0.001				
386	0.002				
387	0.001				
388	0.001				
389	0.001				
390	0.002				
391	0.002				
392	0.001				
393	0.001				
394	0.001				
395	0.002				
396	0.002				
397	0.001				
398	0.0				
399	0.001				
400	0.002				
401	0.002				
402	0.001				
403	0.001				
404	0.001				
405	0.002				
406	0.002				
407	0.001				
408	0.001				
409	0.001				
410	0.002				
411	0.003				
412	0.002				
413	0.001				
414	0.001				
415	0.002				
416	0.004				
417	0.002				
418	0.001				
419	0.001				
420	0.002				
421	0.005				
422	0.003				
423	0.001				
424	0.001				
425	0.002				
426	0.007				
427	0.006				
428	0.002				
429	0.001				
430	0.001				
431	0.007				
432	0.013				
433	0.003				
434	0.001				
435	0.001				
436	0.003				
437	0.02				
438	0.012				
439	0.002				
440	0.001				
441	0.002				
442	0.024				
443	0.025				
444	0.002				
445	0.001				
446	0.007				
447	0.054				
448	0.013				
449	0.001				
450	0.002				
451	0.042				
452	0.039				
453	0.001				
454	0.002				
455	0.038				
456	0.013				
457	0.002				
458	0.009				
459	0.001				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.0				
598	0.0				
599	0.001				
600	0.003				
601	0.008				
602	0.024				
603	0.085				
604	0.336				
605	1.517				
606	7.816				
607	32.957				
608	73.111				
609	91.201				
610	93.997				
611	94.491				
612	94.526				
613	94.319				
614	94.153				
615	93.963				
616	93.928				
617	93.803				
618	93.631				
619	93.282				
620	93.166				
621	93.283				
622	93.356				
623	93.45				
624	93.833				
625	94.021				
626	94.364				
627	94.337				
628	94.185				
629	94.112				
630	93.897				
631	94.042				
632	94.1				
633	94.437				
634	94.744				
635	95.034				
636	95.127				
637	94.981				
638	94.616				
639	94.38				
640	93.678				
641	93.594				
642	93.573				
643	93.416				
644	93.521				
645	93.822				
646	93.911				
647	94.017				
648	94.174				
649	94.311				
650	94.451				
651	94.395				
652	94.428				
653	94.373				
654	94.297				
655	94.248				
656	94.153				
657	94.27				
658	94.212				
659	94.24				
660	94.233				
661	94.247				
662	94.046				
663	94.131				
664	94.124				
665	94.242				
666	94.49				
667	94.542				
668	94.544				
669	94.661				
670	94.805				
671	94.966				
672	94.986				
673	95.074				
674	94.807				
675	95.038				
676	94.867				
677	94.927				
678	94.815				
679	94.691				
680	94.624				
681	94.514				
682	94.347				
683	94.433				
684	94.587				
685	94.564				
686	94.637				
687	94.688				
688	94.87				
689	94.718				
690	94.813				
691	94.814				
692	94.878				
693	94.711				
694	94.802				
695	94.743				
696	94.612				
697	94.466				
698	94.413				
699	94.641				
700	94.366				
701	94.303				
702	94.397				
703	94.274				
704	94.355				
705	94.585				
706	94.644				
707	94.489				
708	94.6				
709	94.807				
710	94.836				
711	94.952				
712	94.762				
713	94.968				
714	94.829				
715	94.677				
716	94.911				
717	94.782				
718	94.959				
719	95.109				
720	94.775				
721	94.994				
722	94.728				
723	94.334				
724	94.351				
725	93.886				
726	93.94				
727	93.408				
728	93.242				
729	93.203				
730	93.112				
731	93.267				
732	93.431				
733	93.344				
734	93.662				
735	94.118				
736	94.116				
737	94.6				
738	94.513				
739	94.964				
740	95.148				
741	94.893				
742	95.041				
743	94.816				
744	94.728				
745	94.495				
746	93.786				
747	93.806				
748	93.836				
749	93.422				
750	93.26				
751	93.267				
752	93.604				
753	93.643				
754	93.665				
755	94.181				
756	94.684				
757	94.676				
758	94.89				
759	95.05				
760	94.825				
761	95.137				
762	95.004				
763	94.585				
764	94.451				
765	94.107				
766	93.934				
767	93.835				
768	92.848				
769	93.303				
770	92.996				
771	92.636				
772	93.07				
773	92.894				
774	93.402				
775	93.422				
776	93.477				
777	93.863				
778	94.147				
779	94.201				
780	94.598				
781	94.222				
782	94.605				
783	94.191				
784	94.526				
785	94.105				
786	94.321				
787	94.363				
788	93.749				
789	94.004				
790	93.783				
791	93.642				
792	93.97				
793	93.744				
794	93.793				
795	94.113				
796	93.846				
797	93.853				
798	94.058				
799	94.694				
800	94.85				
801	94.638				
802	94.731				
803	94.915				
804	95.016				
805	94.799				
806	95.184				
807	94.65				
808	94.54				
809	94.118				
810	94.117				
811	93.814				
812	93.826				
813	93.796				
814	93.625				
815	93.451				
816	93.145				
817	93.572				
818	93.146				
819	93.826				
820	93.502				
821	94.057				
822	93.966				
823	94.253				
824	94.221				
825	94.46				
826	94.416				
827	94.823				
828	94.665				
829	95.217				
830	94.946				
831	94.976				
832	94.816				
833	95.287				
834	94.753				
835	94.342				
836	95.043				
837	94.131				
838	94.023				
839	94.3				
840	93.968				
841	93.826				
842	94.955				
843	92.503				
844	93.972				
845	92.958				
846	93.178				
847	93.874				
848	93.865				
849	93.502				
850	92.867				
851	92.798				
852	92.849				
853	92.913				
854	93.017				
855	93.145				
856	93.193				
857	93.448				
858	93.678				
859	93.915				
860	93.98				
861	94.168				
862	94.36				
863	94.453				
864	94.511				
865	94.513				
866	94.463				
867	94.549				
868	94.322				
869	94.108				
870	93.888				
871	93.604				
872	93.335				
873	92.901				
874	92.596				
875	92.176				
876	91.874				
877	91.557				
878	91.335				
879	91.165				
880	91.031				
881	90.849				
882	90.936				
883	91.085				
884	91.234				
885	91.378				
886	91.668				
887	92.039				
888	92.343				
889	92.695				
890	93.162				
891	93.586				
892	93.798				
893	94.102				
894	94.454				
895	94.576				
896	94.498				
897	94.492				
898	94.403				
899	94.178				
900	93.878				
901	93.435				
902	92.984				
903	92.546				
904	92.115				
905	91.617				
906	91.052				
907	90.58				
908	90.27				
909	89.975				
910	89.665				
911	89.525				
912	89.402				
913	89.395				
914	89.531				
915	89.719				
916	89.884				
917	90.316				
918	90.563				
919	91.058				
920	91.555				
921	92.05				
922	92.569				
923	93.039				
924	93.446				
925	93.857				
926	94.159				
927	94.412				
928	94.589				
929	94.625				
930	94.516				
931	94.309				
932	94.142				
933	93.87				
934	93.412				
935	92.996				
936	92.474				
937	92.007				
938	91.535				
939	91.059				
940	90.531				
941	90.055				
942	89.707				
943	89.429				
944	89.228				
945	89.043				
946	89.001				
947	89.052				
948	89.012				
949	89.261				
950	89.613				
951	89.82				
952	90.191				
953	90.655				
954	91.203				
955	91.509				
956	91.889				
957	92.47				
958	92.922				
959	93.322				
960	93.66				
961	94.007				
962	94.15				
963	94.412				
964	94.461				
965	94.528				
966	94.515				
967	94.392				
968	94.165				
969	94.023				
970	93.762				
971	93.414				
972	93.146				
973	92.811				
974	92.48				
975	92.134				
976	91.803				
977	91.592				
978	91.321				
979	91.116				
980	90.956				
981	90.905				
982	90.721				
983	90.714				
984	90.728				
985	90.807				
986	91.001				
987	91.111				
988	91.28				
989	91.488				
990	91.695				
991	91.767				
992	92.154				
993	92.381				
994	92.547				
995	92.779				
996	93.066				
997	93.184				
998	93.339				
999	93.536				
1000	93.757				
