Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
363	0.017		Chroma	1931 Std. Obs. x-bar function	CIE 1931 Std. Obs. x-bar function
364	0.019				
365	0.022				
366	0.025				
367	0.028				
368	0.031				
369	0.035				
370	0.039				
371	0.044				
372	0.049				
373	0.055				
374	0.062				
375	0.07				
376	0.08				
377	0.091				
378	0.103				
379	0.116				
380	0.129				
381	0.141				
382	0.155				
383	0.17				
384	0.188				
385	0.21				
386	0.239				
387	0.272				
388	0.311				
389	0.353				
390	0.399				
391	0.448				
392	0.501				
393	0.562				
394	0.634				
395	0.72				
396	0.823				
397	0.944				
398	1.075				
399	1.211				
400	1.346				
401	1.477				
402	1.613				
403	1.767				
404	1.952				
405	2.182				
406	2.466				
407	2.802				
408	3.188				
409	3.619				
410	4.093				
411	4.61				
412	5.177				
413	5.807				
414	6.512				
415	7.304				
416	8.181				
417	9.143				
418	10.199				
419	11.362				
420	12.643				
421	14.052				
422	15.561				
423	17.121				
424	18.686				
425	20.206				
426	21.656				
427	23.039				
428	24.346				
429	25.572				
430	26.71				
431	27.749				
432	28.685				
433	29.522				
434	30.261				
435	30.906				
436	31.456				
437	31.913				
438	32.281				
439	32.564				
440	32.767				
441	32.891				
442	32.942				
443	32.93				
444	32.861				
445	32.746				
446	32.587				
447	32.389				
448	32.158				
449	31.902				
450	31.63				
451	31.348				
452	31.051				
453	30.73				
454	30.378				
455	29.984				
456	29.544				
457	29.06				
458	28.534				
459	27.966				
460	27.359				
461	26.716				
462	26.034				
463	25.3				
464	24.501				
465	23.624				
466	22.659				
467	21.625				
468	20.548				
469	19.457				
470	18.38				
471	17.331				
472	16.307				
473	15.306				
474	14.327				
475	13.369				
476	12.436				
477	11.531				
478	10.657				
479	9.812				
480	8.998				
481	8.213				
482	7.461				
483	6.747				
484	6.076				
485	5.452				
486	4.879				
487	4.354				
488	3.872				
489	3.426				
490	3.012				
491	2.626				
492	2.272				
493	1.946				
494	1.65				
495	1.383				
496	1.144				
497	0.933				
498	0.75				
499	0.592				
500	0.461				
501	0.355				
502	0.277				
503	0.228				
504	0.21				
505	0.226				
506	0.275				
507	0.361				
508	0.487				
509	0.657				
510	0.875				
511	1.143				
512	1.462				
513	1.832				
514	2.257				
515	2.738				
516	3.275				
517	3.869				
518	4.515				
519	5.21				
520	5.953				
521	6.74				
522	7.57				
523	8.443				
524	9.357				
525	10.311				
526	11.305				
527	12.335				
528	13.394				
529	14.475				
530	15.571				
531	16.677				
532	17.795				
533	18.926				
534	20.074				
535	21.239				
536	22.422				
537	23.621				
538	24.837				
539	26.07				
540	27.321				
541	28.591				
542	29.878				
543	31.182				
544	32.504				
545	33.841				
546	35.194				
547	36.564				
548	37.95				
549	39.355				
550	40.78				
551	42.223				
552	43.685				
553	45.165				
554	46.662				
555	48.174				
556	49.703				
557	51.245				
558	52.799				
559	54.362				
560	55.931				
561	57.504				
562	59.081				
563	60.66				
564	62.241				
565	63.825				
566	65.409				
567	66.992				
568	68.569				
569	70.139				
570	71.699				
571	73.246				
572	74.778				
573	76.293				
574	77.789				
575	79.264				
576	80.716				
577	82.141				
578	83.534				
579	84.891				
580	86.207				
581	87.477				
582	88.7				
583	89.874				
584	90.997				
585	92.068				
586	93.083				
587	94.039				
588	94.937				
589	95.776				
590	96.556				
