Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		ET340x
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.001				
321	0.001				
322	0.002				
323	0.003				
324	0.006				
325	0.012				
326	0.021				
327	0.046				
328	0.089				
329	0.206				
330	0.487				
331	1.24				
332	2.681				
333	8.659				
334	23.604				
335	46.445				
336	80.176				
337	91.156				
338	91.165				
339	92.805				
340	92.555				
341	92.988				
342	93.449				
343	93.348				
344	92.447				
345	89.038				
346	81.433				
347	60.412				
348	31.952				
349	11.413				
350	3.895				
351	1.788				
352	1.012				
353	0.553				
354	0.321				
355	0.22				
356	0.146				
357	0.084				
358	0.05				
359	0.034				
360	0.026				
361	0.019				
362	0.012				
363	0.008				
364	0.005				
365	0.003				
366	0.002				
367	0.002				
368	0.002				
369	0.001				
370	0.001				
371	0.001				
372	0.001				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
