Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		ET525lp
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.002				
521	0.017				
522	0.245				
523	5.063				
524	47.332				
525	93.69				
526	97.731				
527	97.972				
528	98.22				
529	98.018				
530	98.187				
531	97.788				
532	97.769				
533	98.151				
534	98.054				
535	97.561				
536	97.203				
537	97.281				
538	97.722				
539	97.718				
540	97.683				
541	97.73				
542	97.64				
543	97.66				
544	97.298				
545	97.025				
546	97.012				
547	97.379				
548	97.74				
549	98.015				
550	97.918				
551	97.637				
552	97.463				
553	97.605				
554	97.699				
555	97.91				
556	97.75				
557	97.698				
558	97.406				
559	97.383				
560	97.387				
561	97.499				
562	97.558				
563	97.698				
564	97.081				
565	96.905				
566	96.93				
567	96.909				
568	97.306				
569	97.792				
570	97.902				
571	97.979				
572	97.883				
573	97.689				
574	97.651				
575	97.616				
576	97.812				
577	97.795				
578	97.94				
579	97.924				
580	97.828				
581	98.045				
582	97.826				
583	97.922				
584	97.836				
585	97.997				
586	97.399				
587	97.256				
588	97.188				
589	96.803				
590	96.643				
591	96.622				
592	96.642				
593	97.07				
594	97.199				
595	97.496				
596	97.616				
597	97.737				
598	97.807				
599	97.945				
600	97.983				
601	97.899				
602	97.896				
603	97.844				
604	97.81				
605	97.629				
606	97.633				
607	97.646				
608	97.671				
609	97.618				
610	97.821				
611	97.736				
612	97.765				
613	97.685				
614	97.622				
615	97.408				
616	97.373				
617	97.406				
618	97.368				
619	97.331				
620	97.642				
621	97.654				
622	97.736				
623	97.727				
624	97.652				
625	97.48				
626	97.455				
627	97.22				
628	97.098				
629	97.243				
630	97.137				
631	97.435				
632	97.654				
633	97.918				
634	97.802				
635	97.837				
636	97.799				
637	97.866				
638	97.793				
639	97.852				
640	97.877				
641	98.045				
642	97.823				
643	97.929				
644	98.089				
645	98.116				
646	98.233				
647	97.939				
648	97.755				
649	97.862				
650	97.883				
651	97.826				
652	97.722				
653	97.878				
654	97.869				
655	98.12				
656	98.052				
657	98.027				
658	98.057				
659	97.898				
660	97.707				
661	97.747				
662	97.702				
663	97.587				
664	97.517				
665	97.598				
666	97.514				
667	97.655				
668	97.56				
669	97.502				
670	97.587				
671	97.519				
672	97.311				
673	97.405				
674	97.381				
675	97.402				
676	97.342				
677	97.527				
678	97.47				
679	97.516				
680	97.53				
681	97.765				
682	97.673				
683	97.652				
684	97.516				
685	97.376				
686	97.147				
687	97.253				
688	97.083				
689	96.974				
690	97.074				
691	97.133				
692	97.094				
693	97.35				
694	97.255				
695	97.18				
696	97.246				
697	97.159				
698	96.798				
699	96.742				
700	96.32				
701	96.5				
702	96.157				
703	96.094				
704	96.508				
705	96.417				
706	96.749				
707	96.996				
708	97.049				
709	97.279				
710	97.445				
711	97.303				
712	97.417				
713	97.059				
714	97.269				
715	96.763				
716	96.6				
717	96.223				
718	96.437				
719	96.3				
720	96.263				
721	96.377				
722	96.58				
723	96.737				
724	97.118				
725	97.181				
726	97.35				
727	97.384				
728	97.375				
