Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	32.798		Chroma		KG1
301	34.841				
302	36.955				
303	39.046				
304	41.127				
305	43.198				
306	45.325				
307	47.423				
308	49.509				
309	51.575				
310	53.616				
311	55.622				
312	57.567				
313	59.506				
314	61.381				
315	63.168				
316	65.042				
317	66.782				
318	68.417				
319	70.158				
320	71.548				
321	73.067				
322	74.533				
323	75.987				
324	77.178				
325	78.575				
326	79.567				
327	80.778				
328	81.798				
329	82.827				
330	83.823				
331	84.679				
332	85.51				
333	86.314				
334	86.967				
335	87.649				
336	88.37				
337	88.896				
338	89.414				
339	89.913				
340	90.502				
341	90.806				
342	91.135				
343	91.547				
344	91.684				
345	92.176				
346	92.603				
347	92.95				
348	93.174				
349	93.614				
350	93.965				
351	94.232				
352	94.637				
353	94.966				
354	95.203				
355	95.437				
356	95.727				
357	95.866				
358	96.092				
359	96.162				
360	96.341				
361	96.519				
362	96.633				
363	96.63				
364	96.846				
365	96.912				
366	96.971				
367	97.001				
368	97.054				
369	97.131				
370	97.082				
371	97.223				
372	97.242				
373	97.259				
374	97.352				
375	97.315				
376	97.338				
377	97.373				
378	97.342				
379	97.409				
380	97.302				
381	97.259				
382	97.316				
383	97.265				
384	97.222				
385	97.176				
386	97.036				
387	96.969				
388	96.996				
389	96.89				
390	96.663				
391	96.607				
392	96.465				
393	96.368				
394	96.207				
395	96.105				
396	95.951				
397	95.738				
398	95.548				
399	95.506				
400	95.407				
401	95.375				
402	95.339				
403	95.163				
404	95.116				
405	94.978				
406	94.967				
407	94.895				
408	94.789				
409	94.73				
410	94.664				
411	94.658				
412	94.593				
413	94.551				
414	94.459				
415	94.407				
416	94.267				
417	94.164				
418	94.101				
419	94.016				
420	93.979				
421	93.946				
422	93.774				
423	93.716				
424	93.787				
425	93.91				
426	93.917				
427	93.865				
428	93.908				
429	94.116				
430	94.145				
431	94.082				
432	94.165				
433	94.261				
434	94.264				
435	94.268				
436	94.423				
437	94.395				
438	94.411				
439	94.549				
440	94.484				
441	94.507				
442	94.634				
443	94.601				
444	94.66				
445	94.647				
446	94.627				
447	94.668				
448	94.748				
449	94.704				
450	94.683				
451	94.615				
452	94.574				
453	94.576				
454	94.5				
455	94.533				
456	94.404				
457	94.399				
458	94.277				
459	94.313				
460	94.365				
461	94.414				
462	94.381				
463	94.414				
464	94.5				
465	94.589				
466	94.613				
467	94.697				
468	94.684				
469	94.754				
470	94.877				
471	94.922				
472	95.006				
473	95.005				
474	95.075				
475	95.059				
476	95.122				
477	95.194				
