Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.001		Chroma	5.0 - .001% Trans V2 0.001% transmission	ND 5.0 - .001% Trans V2 0.001% transmission
401	0.001				
402	0.001				
403	0.001				
404	0.001				
405	0.001				
406	0.001				
407	0.001				
408	0.001				
409	0.001				
410	0.001				
411	0.001				
412	0.001				
413	0.001				
414	0.001				
415	0.001				
416	0.001				
417	0.001				
418	0.001				
419	0.001				
420	0.001				
421	0.001				
422	0.001				
423	0.001				
424	0.001				
425	0.001				
426	0.001				
427	0.001				
428	0.001				
429	0.001				
430	0.001				
431	0.001				
432	0.001				
433	0.001				
434	0.001				
435	0.001				
436	0.001				
437	0.001				
438	0.001				
439	0.001				
440	0.001				
441	0.001				
442	0.001				
443	0.001				
444	0.001				
445	0.001				
446	0.001				
447	0.001				
448	0.001				
449	0.001				
450	0.001				
451	0.001				
452	0.001				
453	0.001				
454	0.001				
455	0.001				
456	0.001				
457	0.001				
458	0.001				
459	0.001				
460	0.001				
461	0.001				
462	0.001				
463	0.001				
464	0.001				
465	0.001				
466	0.001				
467	0.001				
468	0.001				
469	0.001				
470	0.001				
471	0.001				
472	0.001				
473	0.001				
474	0.001				
475	0.001				
476	0.001				
477	0.001				
478	0.001				
479	0.001				
480	0.001				
481	0.001				
482	0.001				
483	0.001				
484	0.001				
485	0.001				
486	0.001				
487	0.001				
488	0.001				
489	0.001				
490	0.001				
491	0.001				
492	0.001				
493	0.001				
494	0.001				
495	0.001				
496	0.001				
497	0.001				
498	0.001				
499	0.001				
500	0.001				
501	0.001				
502	0.001				
503	0.001				
504	0.001				
505	0.001				
506	0.001				
507	0.001				
508	0.001				
509	0.001				
510	0.001				
511	0.001				
512	0.001				
513	0.001				
514	0.001				
515	0.001				
516	0.001				
517	0.001				
518	0.001				
519	0.001				
520	0.001				
521	0.001				
522	0.001				
523	0.001				
524	0.001				
525	0.001				
526	0.001				
527	0.001				
528	0.001				
529	0.001				
530	0.001				
531	0.001				
532	0.001				
533	0.001				
534	0.001				
535	0.001				
536	0.001				
537	0.001				
538	0.001				
539	0.001				
540	0.001				
541	0.001				
542	0.001				
543	0.001				
544	0.001				
545	0.001				
546	0.001				
547	0.001				
548	0.001				
549	0.001				
550	0.001				
551	0.001				
552	0.001				
553	0.001				
554	0.001				
555	0.001				
556	0.001				
557	0.001				
558	0.001				
559	0.001				
560	0.001				
561	0.001				
562	0.001				
563	0.001				
564	0.001				
565	0.001				
566	0.001				
567	0.001				
568	0.001				
569	0.001				
570	0.001				
571	0.001				
572	0.001				
573	0.001				
574	0.001				
575	0.001				
576	0.001				
577	0.001				
578	0.001				
579	0.001				
580	0.001				
581	0.001				
582	0.001				
583	0.001				
584	0.001				
585	0.002				
586	0.002				
587	0.002				
588	0.002				
589	0.001				
590	0.002				
591	0.002				
592	0.002				
593	0.002				
594	0.002				
595	0.002				
596	0.002				
597	0.002				
598	0.002				
599	0.002				
600	0.002				
601	0.002				
602	0.002				
603	0.002				
604	0.002				
605	0.002				
606	0.002				
607	0.002				
608	0.002				
609	0.002				
610	0.002				
611	0.002				
612	0.002				
613	0.002				
614	0.002				
615	0.002				
616	0.002				
617	0.002				
618	0.002				
619	0.002				
620	0.002				
621	0.002				
622	0.002				
623	0.002				
624	0.002				
625	0.002				
626	0.002				
627	0.002				
628	0.002				
629	0.002				
630	0.002				
631	0.002				
632	0.002				
633	0.002				
634	0.002				
635	0.002				
636	0.002				
637	0.002				
638	0.002				
639	0.002				
640	0.002				
641	0.002				
642	0.002				
643	0.002				
644	0.002				
645	0.002				
646	0.002				
647	0.002				
648	0.002				
649	0.002				
650	0.002				
651	0.002				
652	0.002				
653	0.002				
654	0.002				
655	0.002				
656	0.002				
657	0.002				
658	0.002				
659	0.002				
660	0.002				
661	0.002				
662	0.002				
663	0.002				
664	0.002				
665	0.002				
666	0.002				
667	0.002				
668	0.002				
669	0.002				
670	0.002				
671	0.002				
672	0.002				
673	0.002				
674	0.002				
675	0.002				
676	0.002				
677	0.002				
678	0.002				
679	0.002				
680	0.002				
681	0.002				
682	0.002				
683	0.002				
684	0.002				
685	0.002				
686	0.002				
687	0.002				
688	0.002				
689	0.002				
690	0.002				
691	0.002				
692	0.002				
693	0.002				
694	0.002				
695	0.002				
696	0.002				
697	0.002				
698	0.002				
699	0.002				
700	0.359				
