Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
451	37.164		Chroma		PCR647lpxr
452	36.777				
453	36.301				
454	34.9				
455	33.005				
456	31.664				
457	31.22				
458	30.772				
459	29.306				
460	26.683				
461	22.382				
462	16.392				
463	10.719				
464	7.278				
465	5.651				
466	4.757				
467	4.071				
468	3.409				
469	2.735				
470	2.128				
471	1.648				
472	1.361				
473	1.119				
474	1.083				
475	1.105				
476	1.136				
477	1.122				
478	1.056				
479	0.946				
480	0.751				
481	0.589				
482	0.44				
483	0.372				
484	0.353				
485	0.43				
486	0.567				
487	0.676				
488	0.755				
489	0.789				
490	0.767				
491	0.711				
492	0.599				
493	0.472				
494	0.399				
495	0.319				
496	0.265				
497	0.235				
498	0.302				
499	0.494				
500	0.639				
501	0.646				
502	0.67				
503	0.657				
504	0.533				
505	0.302				
506	0.073				
507	0.02				
508	0.0				
509	0.061				
510	0.185				
511	0.319				
512	0.411				
513	0.425				
514	0.417				
515	0.408				
516	0.321				
517	0.154				
518	0.066				
519	0.04				
520	0.03				
521	0.027				
522	0.074				
523	0.112				
524	0.159				
525	0.199				
526	0.224				
527	0.222				
528	0.244				
529	0.218				
530	0.176				
531	0.161				
532	0.177				
533	0.204				
534	0.233				
535	0.281				
536	0.304				
537	0.324				
538	0.298				
539	0.28				
540	0.249				
541	0.192				
542	0.219				
543	0.279				
544	0.365				
545	0.448				
546	0.521				
547	0.557				
548	0.606				
549	0.656				
550	0.703				
551	0.748				
552	0.722				
553	0.694				
554	0.626				
555	0.561				
556	0.474				
557	0.317				
558	0.206				
559	0.143				
560	0.119				
561	0.157				
562	0.283				
563	0.468				
564	0.613				
565	0.727				
566	0.756				
567	0.774				
568	0.775				
569	0.715				
570	0.65				
571	0.618				
572	0.75				
573	0.947				
574	1.129				
575	1.238				
576	1.262				
577	1.234				
578	1.154				
579	1.015				
580	0.858				
581	0.709				
582	0.613				
583	0.561				
584	0.561				
585	0.557				
586	0.622				
587	0.755				
588	0.945				
589	1.143				
590	1.292				
591	1.353				
592	1.348				
593	1.274				
594	1.116				
595	0.868				
596	0.594				
597	0.409				
598	0.34				
599	0.338				
600	0.438				
601	0.629				
602	0.952				
603	1.373				
604	1.729				
605	1.936				
606	1.994				
607	1.973				
608	1.87				
609	1.7				
610	1.527				
611	1.487				
612	1.639				
613	1.863				
614	2.053				
615	2.14				
616	2.177				
617	2.165				
618	2.136				
619	2.06				
620	1.909				
621	1.681				
622	1.448				
623	1.267				
624	1.142				
625	1.074				
626	1.05				
627	1.07				
628	1.098				
629	1.117				
630	1.116				
631	1.127				
632	1.193				
633	1.325				
634	1.539				
635	1.873				
636	2.398				
637	3.229				
638	4.539				
639	6.601				
640	9.608				
641	13.331				
642	17.747				
643	22.479				
644	27.312				
645	32.722				
646	38.993				
647	46.07				
648	53.774				
649	61.182				
650	67.8				
651	74.013				
652	80.187				
653	86.096				
654	91.06				
655	94.422				
656	96.11				
657	96.78				
658	97.114				
659	97.383				
660	97.578				
661	97.643				
662	97.609				
663	97.492				
664	97.369				
665	97.226				
666	97.089				
667	96.983				
668	96.935				
669	96.977				
670	97.109				
671	97.325				
672	97.566				
673	97.752				
674	97.871				
675	97.856				
676	97.751				
677	97.564				
678	97.344				
679	97.199				
680	97.137				
681	97.156				
682	97.273				
683	97.412				
684	97.539				
685	97.607				
686	97.623				
687	97.588				
688	97.523				
689	97.457				
690	97.438				
691	97.467				
692	97.539				
693	97.618				
694	97.657				
695	97.656				
696	97.589				
697	97.472				
698	97.327				
699	97.224				
700	97.163				
701	97.189				
702	97.303				
703	97.516				
704	97.745				
705	97.961				
706	98.113				
