Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	4.132		Chroma		RET266/3x
301	0.987				
302	1.279				
303	13.024				
304	68.266				
305	9.995				
306	14.898				
307	2.487				
308	3.791				
309	66.595				
310	70.366				
311	28.172				
312	78.627				
313	75.839				
314	55.288				
315	86.05				
316	50.895				
317	96.327				
318	69.815				
319	84.477				
320	81.144				
321	57.155				
322	46.916				
323	74.287				
324	40.269				
325	41.753				
326	68.716				
327	33.76				
328	83.118				
329	81.484				
330	78.947				
331	38.753				
332	84.103				
333	83.97				
334	75.341				
335	46.294				
336	81.551				
337	57.407				
338	75.962				
339	75.203				
340	85.948				
341	51.86				
342	53.102				
343	89.91				
344	74.488				
345	76.82				
346	94.851				
347	45.935				
348	42.588				
349	80.747				
350	84.257				
351	90.006				
352	61.903				
353	61.292				
354	94.462				
355	96.947				
356	96.926				
357	73.394				
358	71.628				
359	92.289				
360	92.547				
361	99.038				
362	86.448				
363	77.673				
364	94.434				
365	87.962				
366	93.876				
367	87.834				
368	58.552				
369	69.361				
370	87.631				
371	62.12				
372	63.522				
373	87.902				
374	99.259				
375	89.053				
376	87.181				
377	97.325				
378	89.919				
379	90.99				
380	94.883				
381	78.799				
382	85.841				
383	98.961				
384	90.851				
385	98.923				
386	84.42				
387	70.455				
388	87.699				
389	93.459				
390	86.268				
391	97.06				
392	81.185				
393	75.39				
394	92.607				
395	73.524				
396	61.528				
397	77.661				
398	76.633				
399	61.254				
400	69.085				
401	90.043				
402	96.34				
403	93.585				
404	88.354				
405	90.988				
406	99.705				
407	92.299				
408	85.056				
409	91.174				
410	89.169				
411	80.225				
412	86.54				
413	99.284				
414	95.866				
415	94.127				
416	96.307				
417	84.109				
418	75.55				
419	83.989				
420	96.647				
421	95.389				
422	95.988				
423	99.667				
424	89.446				
425	79.984				
426	84.697				
427	93.381				
428	90.291				
429	88.497				
430	96.758				
431	95.477				
432	77.639				
433	67.88				
434	74.036				
435	91.725				
436	98.433				
437	86.785				
438	80.0				
439	85.023				
440	94.743				
441	97.565				
442	95.131				
443	94.807				
444	95.27				
445	93.4				
446	91.801				
447	92.739				
448	94.047				
449	94.124				
450	94.481				
451	95.207				
452	94.727				
453	94.07				
454	94.946				
455	95.631				
456	94.317				
457	93.436				
458	94.709				
459	94.992				
460	92.322				
461	90.863				
462	93.399				
463	96.027				
464	94.67				
465	93.379				
466	96.109				
467	98.145				
468	93.842				
469	89.231				
470	91.094				
471	94.967				
472	89.983				
473	80.666				
474	79.263				
475	87.937				
476	93.733				
477	82.242				
478	68.802				
479	66.368				
480	75.925				
481	91.383				
482	97.708				
483	94.293				
484	93.794				
485	97.851				
486	98.653				
487	94.052				
