Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		RET792lp
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.002				
343	0.004				
344	0.01				
345	0.02				
346	0.041				
347	0.083				
348	0.159				
349	0.273				
350	0.458				
351	0.722				
352	1.14				
353	1.7				
354	2.5				
355	3.56				
356	4.96				
357	6.61				
358	8.36				
359	10.1				
360	11.3				
361	11.1				
362	9.72				
363	5.64				
364	1.16				
365	0.017				
366	0.001				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.001				
372	0.013				
373	1.16				
374	19.5				
375	39.4				
376	51.6				
377	48.6				
378	51.1				
379	51.7				
380	51.1				
381	52.5				
382	51.5				
383	49.7				
384	53.4				
385	51.0				
386	51.8				
387	54.1				
388	52.4				
389	54.5				
390	53.5				
391	52.5				
392	53.9				
393	50.0				
394	51.6				
395	48.5				
396	48.6				
397	47.9				
398	46.5				
399	47.9				
400	46.1				
401	48.6				
402	45.7				
403	48.9				
404	46.9				
405	49.2				
406	46.6				
407	48.9				
408	46.7				
409	48.6				
410	46.2				
411	48.5				
412	46.3				
413	48.6				
414	46.9				
415	48.3				
416	46.8				
417	48.3				
418	46.3				
419	48.9				
420	45.3				
421	49.3				
422	46.0				
423	48.4				
424	49.1				
425	48.0				
426	52.3				
427	49.8				
428	54.0				
429	53.0				
430	55.2				
431	55.7				
432	56.9				
433	56.4				
434	58.0				
435	56.9				
436	55.0				
437	59.9				
438	52.8				
439	58.3				
440	57.8				
441	51.5				
442	62.9				
443	55.8				
444	57.3				
445	66.5				
446	57.3				
447	64.8				
448	69.2				
449	63.2				
450	70.7				
451	72.5				
452	67.1				
453	70.7				
454	75.6				
455	67.5				
456	68.8				
457	78.1				
458	64.6				
459	65.0				
460	79.5				
461	63.1				
462	61.9				
463	80.3				
464	65.6				
465	62.0				
466	81.4				
467	72.0				
468	64.8				
469	81.3				
470	82.1				
471	72.9				
472	79.6				
473	87.5				
474	82.7				
475	78.8				
476	88.2				
477	89.6				
478	76.2				
479	82.5				
