Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	32.62		Chroma		RT488rdc
381	38.808				
382	43.021				
383	34.146				
384	25.385				
385	30.723				
386	41.736				
387	40.397				
388	32.719				
389	38.644				
390	47.326				
391	41.249				
392	28.531				
393	29.427				
394	40.467				
395	45.754				
396	37.197				
397	30.499				
398	38.641				
399	48.44				
400	43.055				
401	29.478				
402	26.663				
403	37.631				
404	46.189				
405	40.66				
406	28.114				
407	25.752				
408	36.486				
409	48.01				
410	43.892				
411	30.043				
412	22.841				
413	29.678				
414	43.035				
415	47.42				
416	36.458				
417	24.408				
418	22.608				
419	32.933				
420	46.486				
421	45.052				
422	30.527				
423	19.946				
424	18.693				
425	30.102				
426	44.755				
427	48.283				
428	36.814				
429	25.56				
430	26.632				
431	40.046				
432	47.692				
433	40.414				
434	26.03				
435	15.223				
436	12.989				
437	19.156				
438	34.339				
439	47.773				
440	45.773				
441	34.318				
442	29.36				
443	37.923				
444	46.464				
445	45.082				
446	33.27				
447	20.106				
448	13.67				
449	17.134				
450	26.718				
451	35.79				
452	34.4				
453	24.708				
454	14.231				
455	10.362				
456	15.39				
457	23.416				
458	27.59				
459	24.34				
460	14.75				
461	8.581				
462	9.036				
463	10.218				
464	12.767				
465	11.468				
466	5.208				
467	0.951				
468	0.241				
469	0.126				
470	0.092				
471	0.074				
472	0.064				
473	0.057				
474	0.05				
475	0.054				
476	0.052				
477	0.049				
478	0.061				
479	0.061				
480	0.073				
481	0.083				
482	0.097				
483	0.135				
484	0.189				
485	0.306				
486	0.568				
487	1.113				
488	2.619				
489	7.133				
490	17.447				
491	41.173				
492	64.369				
493	82.639				
494	90.528				
495	92.783				
496	93.382				
497	93.499				
498	93.392				
499	93.37				
500	93.489				
501	93.699				
502	94.136				
503	94.358				
504	94.449				
505	94.438				
506	94.245				
507	94.129				
508	94.074				
509	94.186				
510	94.41				
511	94.625				
512	94.711				
513	94.641				
514	94.493				
515	94.394				
516	94.329				
517	94.318				
518	94.408				
519	94.541				
520	94.537				
521	94.474				
522	94.388				
523	94.311				
524	94.304				
525	94.409				
526	94.578				
527	94.612				
528	94.586				
529	94.484				
530	94.364				
531	94.167				
532	94.099				
533	94.081				
534	94.305				
535	94.513				
536	94.731				
537	94.773				
538	94.824				
539	94.697				
540	94.53				
541	94.391				
542	94.31				
543	94.373				
544	94.443				
545	94.579				
546	94.699				
547	94.784				
548	94.75				
549	94.623				
550	94.567				
551	94.529				
552	94.547				
553	94.535				
554	94.471				
555	94.334				
556	93.973				
557	93.633				
558	93.173				
559	92.774				
560	92.681				
561	92.645				
562	92.72				
563	93.146				
564	93.367				
565	93.596				
566	93.8				
567	93.945				
568	93.822				
569	93.74				
570	93.715				
571	93.756				
572	93.746				
573	93.888				
574	94.095				
575	94.106				
576	94.145				
577	94.201				
578	94.012				
579	93.867				
580	93.568				
581	93.571				
582	93.572				
583	93.985				
584	94.234				
585	94.522				
586	94.932				
587	95.288				
588	95.461				
589	95.549				
590	94.959				
591	94.686				
592	94.239				
593	94.203				
594	94.227				
595	94.213				
596	94.375				
597	94.791				
598	95.496				
599	95.559				
600	95.598				
601	95.777				
602	95.146				
603	94.73				
604	94.514				
605	94.41				
606	94.268				
607	94.226				
608	94.43				
609	94.829				
610	95.154				
611	95.507				
612	95.732				
613	95.748				
614	95.446				
615	95.223				
616	94.798				
617	94.372				
618	94.13				
619	94.097				
620	94.036				
621	94.295				
622	94.621				
623	94.971				
624	95.18				
625	95.324				
626	95.224				
627	94.997				
628	94.745				
629	94.284				
630	93.881				
631	93.529				
632	93.291				
633	93.343				
634	93.641				
635	93.951				
636	94.325				
637	94.909				
638	95.255				
639	95.453				
640	95.582				
641	95.459				
642	95.219				
643	94.868				
644	94.539				
645	94.371				
646	94.223				
647	94.188				
648	94.445				
649	94.744				
650	95.244				
651	95.614				
652	96.043				
653	96.283				
654	96.398				
655	96.398				
656	96.039				
657	95.617				
658	95.29				
659	94.898				
660	94.725				
661	94.729				
662	94.909				
663	95.187				
664	95.576				
665	95.985				
666	96.5				
667	96.807				
668	96.802				
669	96.558				
670	96.053				
671	95.597				
672	94.899				
673	94.244				
674	93.715				
675	93.364				
676	93.209				
677	93.395				
678	93.655				
679	94.127				
680	94.691				
681	95.28				
682	95.839				
683	96.211				
684	96.387				
685	96.343				
686	96.196				
687	95.772				
688	95.258				
689	94.755				
690	94.149				
691	93.784				
692	93.417				
693	93.288				
694	93.405				
695	93.618				
696	94.058				
697	94.573				
698	95.142				
699	95.666				
700	96.139				
701	96.501				
702	96.564				
703	96.453				
704	96.257				
705	96.032				
706	95.656				
707	95.141				
708	94.84				
709	94.562				
710	94.47				
711	94.43				
712	94.415				
713	94.652				
714	94.898				
715	95.17				
716	95.398				
717	95.626				
718	95.798				
719	95.845				
720	95.913				
721	95.925				
722	95.796				
723	95.705				
724	95.671				
725	95.717				
726	95.805				
727	95.851				
728	95.943				
729	96.112				
730	96.171				
731	96.114				
732	96.325				
733	96.205				
734	96.502				
735	96.559				
736	96.549				
737	96.482				
738	96.364				
739	96.296				
740	96.336				
741	96.36				
742	96.315				
743	96.326				
744	96.439				
745	96.419				
746	96.43				
747	96.438				
748	96.32				
749	96.218				
750	96.182				
751	96.042				
752	95.964				
753	95.802				
754	95.6				
755	95.315				
756	95.281				
757	95.175				
758	95.034				
759	94.859				
760	94.799				
761	94.645				
762	94.616				
763	94.565				
764	94.657				
765	94.69				
766	94.677				
767	94.847				
768	94.992				
769	95.219				
770	95.379				
771	95.55				
772	95.682				
773	95.81				
774	95.832				
775	95.712				
776	95.491				
777	95.235				
778	94.911				
779	94.576				
780	94.299				
781	93.898				
782	93.356				
783	92.761				
784	92.033				
785	90.978				
786	89.638				
787	88.04				
788	86.254				
789	84.267				
790	82.399				
791	81.017				
792	80.077				
793	79.795				
794	80.512				
795	82.067				
796	84.149				
797	86.341				
798	87.239				
799	85.638				
800	81.053				
801	74.831				
802	68.813				
803	63.91				
804	60.637				
805	59.021				
806	58.726				
807	60.028				
808	62.439				
809	63.436				
810	59.494				
811	50.945				
812	42.192				
813	36.419				
814	33.438				
815	31.603				
816	30.492				
817	30.071				
818	30.245				
819	31.193				
820	33.0				
821	35.623				
822	38.971				
823	42.564				
824	45.438				
825	46.155				
826	43.636				
827	38.338				
828	31.778				
829	25.633				
830	20.388				
831	16.286				
832	13.604				
833	11.9				
834	10.999				
835	10.859				
836	11.664				
837	14.024				
838	18.947				
839	26.539				
840	31.663				
841	28.731				
842	18.612				
843	8.851				
844	3.359				
845	1.539				
846	0.798				
847	0.449				
848	0.27				
849	0.161				
850	0.107				
851	0.078				
852	0.054				
853	0.033				
854	0.026				
855	0.021				
856	0.013				
857	0.008				
858	0.008				
859	0.001				
860	0.002				
861	0.003				
862	0.0				
863	0.0				
864	0.006				
865	0.004				
866	0.001				
867	0.001				
868	0.003				
869	0.003				
870	0.0				
871	0.0				
872	0.001				
873	0.002				
874	0.001				
875	0.0				
876	0.0				
877	0.0				
878	0.0				
879	0.004				
880	0.002				
881	0.002				
882	0.003				
883	0.0				
884	0.0				
885	0.001				
886	0.001				
887	0.002				
888	0.0				
889	0.001				
890	0.002				
891	0.0				
892	0.0				
893	0.0				
894	0.0				
895	0.001				
896	0.002				
897	0.002				
898	0.001				
899	0.001				
900	0.0				
