Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.009		Chroma		T412lpxt
351	0.063				
352	0.144				
353	0.277				
354	0.392				
355	0.465				
356	0.464				
357	0.424				
358	0.379				
359	0.378				
360	0.412				
361	0.418				
362	0.366				
363	0.306				
364	0.293				
365	0.336				
366	0.322				
367	0.295				
368	0.297				
369	0.304				
370	0.317				
371	0.297				
372	0.288				
373	0.301				
374	0.251				
375	0.194				
376	0.16				
377	0.12				
378	0.168				
379	0.23				
380	0.155				
381	0.037				
382	0.003				
383	0.0				
384	0.0				
385	0.024				
386	0.104				
387	0.098				
388	0.433				
389	0.5				
390	0.55				
391	0.516				
392	0.431				
393	0.378				
394	0.459				
395	0.602				
396	0.662				
397	0.609				
398	0.431				
399	0.268				
400	0.23				
401	0.204				
402	0.196				
403	0.214				
404	0.255				
405	0.35				
406	0.616				
407	2.441				
408	11.037				
409	26.789				
410	41.165				
411	52.966				
412	69.172				
413	86.2				
414	94.616				
415	95.981				
416	96.152				
417	96.241				
418	96.429				
419	96.688				
420	96.874				
421	97.124				
422	97.461				
423	97.659				
424	97.575				
425	97.551				
426	97.445				
427	97.183				
428	97.081				
429	97.101				
430	97.123				
431	97.135				
432	97.349				
433	97.438				
434	97.041				
435	96.65				
436	96.979				
437	97.708				
438	97.841				
439	97.457				
440	96.99				
441	97.035				
442	97.608				
443	97.879				
444	97.607				
445	97.087				
446	96.878				
447	97.256				
448	97.517				
449	97.341				
450	96.885				
451	96.721				
452	97.124				
453	97.621				
454	97.623				
455	97.478				
456	97.583				
457	98.023				
458	98.179				
459	97.814				
460	97.328				
461	97.388				
462	97.848				
463	97.966				
464	97.409				
465	96.798				
466	96.744				
467	97.315				
468	97.901				
469	97.888				
470	97.199				
471	96.609				
472	96.556				
473	97.098				
474	97.627				
475	97.745				
476	97.505				
477	97.403				
478	97.701				
479	98.064				
480	98.046				
481	97.465				
482	96.74				
483	96.569				
484	97.041				
485	97.709				
486	97.999				
487	97.468				
488	96.648				
489	96.003				
490	95.935				
491	96.585				
492	97.451				
493	97.904				
494	97.784				
495	97.371				
496	97.038				
497	97.176				
498	97.618				
499	97.968				
500	98.007				
501	97.679				
502	97.284				
503	97.039				
504	97.141				
505	97.43				
506	97.716				
507	97.729				
508	97.379				
509	96.963				
510	96.717				
511	96.896				
512	97.427				
513	98.027				
514	98.389				
515	98.339				
516	97.859				
517	97.25				
518	96.919				
519	96.955				
520	97.329				
521	97.781				
522	98.088				
523	98.12				
524	97.967				
525	97.77				
526	97.609				
527	97.61				
528	97.725				
529	97.81				
530	97.789				
531	97.676				
532	97.49				
533	97.339				
534	97.318				
535	97.383				
536	97.434				
537	97.433				
538	97.387				
539	97.242				
540	97.053				
541	97.033				
542	97.183				
543	97.415				
544	97.632				
545	97.758				
546	97.819				
547	97.759				
548	97.667				
549	97.612				
550	97.636				
551	97.712				
552	97.75				
553	97.704				
554	97.561				
555	97.36				
556	97.242				
557	97.284				
558	97.492				
559	97.675				
560	97.744				
561	97.725				
562	97.629				
563	97.412				
564	97.263				
565	97.174				
566	97.201				
567	97.391				
