Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	1.448		Chroma		T510lpxrxt
381	1.197				
382	0.876				
383	0.641				
384	0.524				
385	0.526				
386	0.611				
387	0.651				
388	0.384				
389	0.592				
390	0.919				
391	1.726				
392	2.547				
393	1.941				
394	0.909				
395	0.614				
396	0.512				
397	0.465				
398	0.622				
399	0.871				
400	1.405				
401	1.98				
402	1.531				
403	0.843				
404	0.507				
405	0.394				
406	0.372				
407	0.386				
408	0.374				
409	0.573				
410	0.92				
411	1.322				
412	1.201				
413	0.744				
414	0.425				
415	0.364				
416	0.312				
417	0.273				
418	0.266				
419	0.31				
420	0.424				
421	0.711				
422	0.949				
423	0.908				
424	0.578				
425	0.39				
426	0.258				
427	0.211				
428	0.193				
429	0.227				
430	0.221				
431	0.315				
432	0.46				
433	0.703				
434	0.997				
435	0.996				
436	0.693				
437	0.423				
438	0.285				
439	0.234				
440	0.2				
441	0.174				
442	0.213				
443	0.255				
444	0.371				
445	0.537				
446	0.877				
447	1.445				
448	1.507				
449	0.939				
450	0.519				
451	0.324				
452	0.248				
453	0.204				
454	0.22				
455	0.296				
456	0.315				
457	0.3				
458	0.454				
459	1.109				
460	2.423				
461	2.587				
462	1.142				
463	0.395				
464	0.18				
465	0.126				
466	0.1				
467	0.086				
468	0.08				
469	0.064				
470	0.064				
471	0.061				
472	0.071				
473	0.06				
474	0.068				
475	0.056				
476	0.062				
477	0.071				
478	0.066				
479	0.075				
480	0.062				
481	0.094				
482	0.089				
483	0.089				
484	0.101				
485	0.119				
486	0.133				
487	0.177				
488	0.209				
489	0.277				
490	0.353				
491	0.466				
492	0.626				
493	0.814				
494	1.071				
495	1.381				
496	1.766				
497	2.225				
498	2.788				
499	3.501				
500	4.379				
501	5.567				
502	7.096				
503	9.357				
504	12.358				
505	16.199				
506	21.68				
507	27.595				
508	34.587				
509	41.453				
510	46.889				
511	52.357				
512	58.499				
513	66.546				
514	77.873				
515	88.368				
516	95.331				
517	97.889				
518	98.187				
519	98.017				
520	98.098				
521	98.446				
522	98.718				
523	98.9				
524	98.912				
525	98.792				
526	98.629				
527	98.451				
528	98.365				
529	98.304				
530	98.45				
531	98.548				
532	98.72				
533	98.747				
534	99.029				
535	99.002				
536	98.882				
537	98.612				
538	98.562				
539	98.542				
540	98.462				
541	98.364				
542	98.392				
543	98.462				
544	98.512				
545	98.456				
546	98.526				
547	98.482				
548	98.432				
549	98.308				
550	98.215				
551	98.124				
552	98.079				
553	97.965				
554	97.881				
555	97.875				
556	97.883				
557	97.926				
