Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	88.4		Chroma		T570lp
381	55.929				
382	29.771				
383	12.514				
384	6.469				
385	3.581				
386	2.354				
387	1.853				
388	1.632				
389	1.51				
390	1.402				
391	1.413				
392	1.556				
393	1.858				
394	2.652				
395	4.039				
396	6.59				
397	11.951				
398	20.225				
399	35.66				
400	53.818				
401	71.461				
402	81.799				
403	79.499				
404	76.297				
405	77.036				
406	79.107				
407	80.636				
408	80.659				
409	80.087				
410	79.939				
411	79.821				
412	78.181				
413	74.774				
414	71.399				
415	68.547				
416	68.448				
417	71.747				
418	77.62				
419	82.49				
420	82.771				
421	77.434				
422	70.668				
423	65.802				
424	64.632				
425	67.622				
426	74.666				
427	83.46				
428	89.073				
429	87.846				
430	81.311				
431	73.734				
432	69.103				
433	68.953				
434	73.571				
435	81.621				
436	89.29				
437	93.165				
438	89.775				
439	81.937				
440	74.835				
441	71.284				
442	72.183				
443	77.63				
444	84.163				
445	90.849				
446	92.062				
447	86.31				
448	77.59				
449	70.129				
450	66.539				
451	66.619				
452	70.982				
453	78.33				
454	85.483				
455	87.521				
456	82.459				
457	73.812				
458	65.575				
459	60.437				
460	58.458				
461	60.294				
462	66.07				
463	74.473				
464	81.29				
465	83.356				
466	78.316				
467	69.605				
468	60.993				
469	55.344				
470	52.558				
471	53.389				
472	58.68				
473	68.294				
474	78.782				
475	86.326				
476	84.825				
477	75.927				
478	65.874				
479	56.69				
480	50.381				
481	47.647				
482	49.291				
483	55.941				
484	65.494				
485	78.8				
486	85.953				
487	82.409				
488	72.207				
489	60.608				
490	50.362				
491	43.316				
492	40.044				
493	40.58				
494	46.158				
495	58.177				
496	71.028				
497	74.622				
498	70.54				
499	65.312				
500	57.092				
501	46.55				
502	36.865				
503	29.752				
504	26.55				
505	26.36				
506	31.804				
507	45.41				
508	53.177				
509	48.517				
510	45.226				
511	48.804				
512	50.405				
513	43.093				
514	31.304				
515	22.019				
516	17.219				
517	18.836				
518	27.541				
519	25.537				
520	17.022				
521	12.605				
522	15.306				
523	22.356				
524	35.959				
525	38.454				
526	24.991				
527	10.886				
528	4.763				
529	2.724				
530	1.641				
531	1.016				
532	0.704				
533	0.518				
534	0.4				
535	0.318				
536	0.267				
537	0.226				
538	0.198				
539	0.178				
540	0.167				
541	0.164				
542	0.168				
543	0.167				
544	0.162				
545	0.16				
546	0.172				
547	0.163				
548	0.171				
549	0.184				
550	0.198				
551	0.22				
552	0.248				
553	0.289				
554	0.349				
555	0.417				
556	0.495				
557	0.606				
558	0.762				
559	0.979				
560	1.274				
561	1.688				
562	2.276				
563	3.128				
564	4.407				
565	6.275				
566	9.03				
567	13.038				
568	19.202				
569	26.328				
570	34.149				
571	41.744				
572	48.429				
573	54.446				
574	60.799				
575	68.472				
576	77.174				
577	85.079				
578	90.73				
579	93.945				
580	95.8				
581	96.674				
582	97.256				
583	97.645				
584	97.794				
585	97.84				
586	97.679				
587	97.571				
588	97.407				
589	97.391				
590	97.28				
591	97.333				
592	97.386				
593	97.546				
594	97.653				
595	97.775				
596	97.759				
597	97.709				
598	97.593				
599	97.647				
600	97.542				
601	97.465				
602	97.384				
603	97.382				
604	97.347				
605	97.425				
606	97.444				
607	97.581				
608	97.751				
609	97.797				
610	97.904				
611	97.938				
612	97.958				
613	98.004				
614	97.974				
615	97.961				
616	97.894				
617	97.811				
618	97.78				
619	97.684				
620	97.503				
621	97.482				
622	97.479				
623	97.482				
624	97.448				
625	97.486				
626	97.545				
627	97.449				
628	97.568				
629	97.638				
630	97.681				
631	97.844				
632	97.819				
633	97.99				
634	97.976				
635	98.063				
636	97.912				
637	98.067				
638	98.049				
639	98.097				
640	97.88				
641	97.933				
642	97.834				
643	97.745				
644	97.741				
645	97.79				
646	97.853				
647	97.715				
648	97.935				
649	97.927				
650	98.095				
651	98.112				
652	97.969				
653	98.166				
654	98.225				
655	98.141				
656	98.086				
657	97.859				
658	97.808				
659	97.831				
660	97.763				
661	97.679				
662	97.551				
663	97.665				
664	97.559				
665	97.714				
666	97.79				
667	97.853				
668	98.015				
669	98.041				
670	98.224				
671	98.328				
672	98.197				
673	98.314				
674	98.294				
675	98.281				
676	98.147				
677	98.033				
678	97.935				
679	97.628				
680	97.484				
681	97.325				
682	97.15				
683	97.045				
684	96.835				
685	96.778				
686	96.725				
687	96.786				
688	96.83				
689	97.048				
690	97.223				
691	97.361				
692	97.557				
693	97.708				
694	97.929				
695	98.169				
696	98.277				
697	98.326				
698	98.295				
699	98.089				
700	97.956				
701	97.721				
702	97.39				
703	96.994				
704	96.691				
705	96.178				
706	95.845				
707	95.431				
708	95.174				
709	95.03				
710	94.749				
711	94.72				
712	94.701				
713	94.876				
714	95.194				
715	95.277				
716	95.736				
717	96.133				
718	96.653				
719	96.845				
720	97.222				
721	97.589				
722	97.735				
723	97.805				
724	97.876				
725	97.68				
726	97.428				
727	96.92				
728	96.331				
729	95.835				
730	95.191				
731	94.571				
732	93.843				
733	93.095				
734	92.421				
735	91.833				
736	91.182				
737	90.836				
738	90.583				
739	90.416				
740	90.27				
741	90.403				
742	90.666				
743	90.826				
744	91.054				
745	91.689				
746	92.2				
747	92.828				
748	93.654				
749	94.083				
750	94.324				
