Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.854		Chroma		T588lpxr
381	1.135				
382	0.764				
383	0.38				
384	0.215				
385	0.117				
386	0.059				
387	0.139				
388	1.343				
389	2.289				
390	3.425				
391	5.752				
392	8.861				
393	13.181				
394	18.414				
395	22.124				
396	20.65				
397	13.647				
398	9.073				
399	14.462				
400	24.242				
401	25.555				
402	20.094				
403	16.228				
404	16.071				
405	21.203				
406	28.934				
407	30.948				
408	27.576				
409	25.83				
410	26.606				
411	23.309				
412	16.831				
413	13.036				
414	11.386				
415	10.113				
416	15.131				
417	27.064				
418	37.916				
419	45.186				
420	50.508				
421	48.405				
422	37.329				
423	26.929				
424	24.809				
425	26.662				
426	24.53				
427	16.448				
428	7.599				
429	2.743				
430	1.02				
431	0.796				
432	1.842				
433	5.024				
434	10.199				
435	13.508				
436	13.191				
437	11.286				
438	10.729				
439	13.445				
440	16.573				
441	14.521				
442	8.454				
443	5.092				
444	6.71				
445	9.641				
446	7.657				
447	2.98				
448	0.926				
449	0.795				
450	0.996				
451	1.092				
452	0.985				
453	0.746				
454	0.475				
455	0.282				
456	0.208				
457	0.224				
458	0.25				
459	0.234				
460	0.204				
461	0.24				
462	0.431				
463	0.827				
464	1.219				
465	1.238				
466	0.835				
467	0.388				
468	0.232				
469	0.303				
470	0.526				
471	0.598				
472	0.436				
473	0.271				
474	0.27				
475	0.319				
476	0.309				
477	0.243				
478	0.222				
479	0.268				
480	0.315				
481	0.304				
482	0.315				
483	0.417				
484	0.578				
485	0.625				
486	0.51				
487	0.442				
488	0.579				
489	0.883				
490	1.131				
491	1.099				
492	0.95				
493	0.956				
494	1.084				
495	1.11				
496	0.946				
497	0.738				
498	0.677				
499	0.804				
500	0.926				
501	0.811				
502	0.538				
503	0.37				
504	0.373				
505	0.411				
506	0.368				
507	0.261				
508	0.176				
509	0.174				
510	0.234				
511	0.298				
512	0.286				
513	0.218				
514	0.184				
515	0.208				
516	0.255				
517	0.262				
518	0.218				
519	0.175				
520	0.182				
521	0.275				
522	0.436				
523	0.522				
524	0.46				
525	0.381				
526	0.425				
527	0.682				
528	1.058				
529	1.253				
530	1.158				
531	1.039				
532	1.083				
533	1.184				
534	1.158				
535	1.066				
536	1.104				
537	1.268				
538	1.253				
539	0.948				
540	0.629				
541	0.542				
542	0.556				
543	0.611				
544	0.715				
545	0.663				
546	0.42				
547	0.211				
548	0.143				
549	0.166				
550	0.261				
551	0.386				
552	0.4				
553	0.283				
554	0.178				
555	0.15				
556	0.213				
557	0.41				
558	0.676				
559	0.742				
560	0.52				
561	0.287				
562	0.221				
563	0.287				
564	0.568				
565	1.115				
566	1.435				
567	1.056				
568	0.544				
569	0.324				
570	0.312				
571	0.421				
572	0.658				
573	0.944				
574	1.041				
575	0.869				
576	0.598				
577	0.431				
578	0.377				
579	0.404				
580	0.518				
581	0.765				
582	1.373				
583	3.031				
584	7.142				
585	15.594				
586	27.53				
587	39.482				
588	50.662				
589	66.468				
590	84.133				
591	94.038				
592	95.358				
593	94.395				
594	94.528				
595	95.895				
596	97.138				
597	97.034				
598	96.156				
599	96.122				
600	96.825				
601	97.233				
602	98.249				
603	97.751				
604	97.46				
605	97.577				
606	97.578				
607	97.523				
608	97.378				
609	97.341				
610	97.492				
611	97.641				
612	97.764				
613	97.829				
614	97.852				
615	97.824				
616	97.68				
617	97.3				
618	96.991				
619	97.011				
620	97.399				
621	97.913				
622	98.292				
623	98.38				
624	98.214				
625	97.962				
626	97.832				
627	97.943				
628	98.358				
629	98.566				
630	98.52				
631	98.239				
632	97.755				
633	97.335				
634	97.239				
635	97.444				
636	97.768				
637	98.145				
638	98.234				
639	97.925				
640	97.587				
641	97.411				
642	97.528				
643	97.773				
644	98.071				
645	98.378				
646	98.344				
647	98.04				
648	97.589				
649	97.231				
650	97.126				
651	97.434				
652	98.003				
653	98.38				
654	98.479				
655	98.546				
656	98.43				
657	98.256				
658	98.093				
659	98.006				
660	98.124				
661	98.195				
662	97.992				
663	97.691				
664	97.57				
665	97.506				
666	97.371				
667	97.336				
668	97.5				
669	97.747				
670	97.967				
671	98.228				
672	98.408				
673	98.404				
674	98.381				
675	98.411				
676	98.497				
677	98.536				
678	98.352				
679	97.969				
680	97.657				
681	97.333				
682	97.119				
683	96.99				
684	97.028				
685	97.296				
686	97.67				
687	98.037				
688	98.19				
689	98.149				
690	98.113				
691	98.132				
692	98.155				
693	98.21				
694	98.294				
695	98.387				
696	98.374				
697	98.303				
698	98.232				
699	98.057				
700	97.899				
701	97.878				
702	97.866				
703	97.841				
704	97.868				
705	98.012				
706	98.087				
707	98.111				
708	98.122				
709	98.132				
710	98.169				
711	98.126				
712	98.074				
713	98.132				
714	98.077				
715	97.96				
716	97.933				
717	97.912				
718	97.979				
719	97.966				
720	97.964				
721	98.105				
722	98.238				
723	98.246				
724	98.174				
725	98.156				
726	98.116				
727	97.995				
728	97.911				
729	97.85				
730	97.814				
731	97.782				
732	97.799				
733	97.789				
734	97.758				
735	97.646				
736	97.652				
737	97.658				
738	97.607				
739	97.587				
740	97.623				
741	97.71				
742	97.843				
743	97.84				
744	97.901				
745	97.885				
746	97.874				
747	97.935				
748	97.839				
749	97.761				
750	97.608				
751	97.716				
752	97.463				
753	97.106				
754	97.052				
755	96.845				
756	96.712				
757	96.811				
758	97.043				
759	97.212				
760	97.44				
761	97.57				
762	97.738				
763	97.993				
764	98.159				
765	98.323				
766	98.327				
767	98.29				
768	98.334				
769	98.362				
770	98.364				
771	98.399				
772	98.497				
773	98.621				
774	98.686				
775	98.733				
776	98.736				
777	98.635				
778	98.451				
779	98.182				
780	97.84				
781	97.439				
782	96.965				
783	96.07				
784	94.286				
785	90.398				
786	83.585				
787	73.794				
788	61.972				
789	51.122				
790	43.413				
791	38.661				
792	36.755				
793	37.253				
794	39.851				
795	43.547				
796	45.833				
797	43.662				
798	32.977				
799	22.398				
800	13.22				
801	7.542				
802	4.478				
803	2.763				
804	1.807				
805	1.247				
806	0.898				
807	0.67				
808	0.522				
809	0.42				
810	0.35				
811	0.298				
812	0.259				
813	0.229				
814	0.214				
815	0.202				
816	0.198				
817	0.19				
818	0.192				
819	0.193				
820	0.193				
821	0.188				
822	0.177				
823	0.168				
824	0.153				
825	0.135				
826	0.121				
827	0.102				
828	0.083				
829	0.073				
830	0.062				
831	0.05				
832	0.05				
833	0.043				
834	0.037				
835	0.033				
836	0.032				
837	0.031				
838	0.035				
839	0.034				
840	0.031				
841	0.031				
842	0.035				
843	0.034				
844	0.033				
845	0.035				
846	0.037				
847	0.041				
848	0.044				
849	0.048				
850	0.05				
