Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		ZET405/473/561/640m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.001				
418	0.008				
419	0.587				
420	44.986				
421	91.448				
422	93.755				
423	92.083				
424	92.133				
425	95.471				
426	96.137				
427	95.584				
428	94.586				
429	95.938				
430	93.185				
431	93.685				
432	96.144				
433	92.813				
434	90.472				
435	93.434				
436	94.24				
437	95.55				
438	95.692				
439	94.16				
440	92.129				
441	90.068				
442	92.773				
443	96.999				
444	96.772				
445	94.719				
446	93.77				
447	95.08				
448	95.999				
449	95.154				
450	95.932				
451	97.106				
452	96.946				
453	97.243				
454	96.693				
455	94.908				
456	92.77				
457	92.705				
458	94.037				
459	96.042				
460	94.443				
461	86.336				
462	90.188				
463	41.476				
464	3.71				
465	0.209				
466	0.01				
467	0.001				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.001				
479	0.008				
480	0.153				
481	12.032				
482	72.305				
483	91.176				
484	85.616				
485	92.196				
486	96.283				
487	93.001				
488	90.084				
489	90.366				
490	93.601				
491	95.817				
492	97.113				
493	93.349				
494	89.832				
495	91.294				
496	89.406				
497	88.855				
498	94.404				
499	95.349				
500	93.723				
501	95.156				
502	94.26				
503	93.787				
504	96.221				
505	96.231				
506	95.577				
507	97.135				
508	97.032				
509	95.787				
510	96.484				
511	97.679				
512	97.67				
513	95.67				
514	92.599				
515	91.193				
516	93.702				
517	97.026				
518	98.005				
519	98.172				
520	97.654				
521	96.889				
522	95.455				
523	94.743				
524	94.369				
525	93.493				
526	92.737				
527	92.1				
528	93.158				
529	96.079				
530	96.4				
531	91.97				
532	88.923				
533	92.069				
534	95.501				
535	93.001				
536	91.376				
537	94.78				
538	97.039				
539	96.093				
540	96.614				
541	97.97				
542	97.844				
543	97.404				
544	95.256				
545	95.034				
546	97.031				
547	95.979				
548	97.062				
549	62.419				
550	4.146				
551	1.578				
552	0.119				
553	0.017				
554	0.004				
555	0.001				
556	0.001				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.001				
568	0.002				
569	0.007				
570	0.033				
571	0.248				
572	4.236				
573	46.146				
574	83.475				
575	92.595				
576	90.295				
577	90.172				
578	94.868				
579	95.86				
580	92.45				
581	88.85				
582	89.119				
583	91.552				
584	92.298				
585	92.532				
586	95.427				
587	97.257				
588	94.188				
589	91.097				
590	92.295				
591	95.034				
592	95.226				
593	92.839				
594	91.596				
595	92.352				
596	94.015				
597	95.897				
598	97.345				
599	97.276				
600	95.505				
601	94.143				
602	93.981				
603	94.136				
604	93.038				
605	90.779				
606	87.534				
607	85.027				
608	85.929				
609	91.147				
610	96.697				
611	97.208				
612	93.56				
613	89.151				
614	86.045				
615	87.541				
616	94.261				
617	97.528				
618	94.083				
619	48.142				
620	4.742				
621	2.136				
622	0.552				
623	0.143				
624	0.033				
625	0.007				
626	0.002				
627	0.001				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
