Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
301	0.0		Chroma		ZET405/488/561/640m-TRFv2
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.003				
414	0.65				
415	32.227				
416	90.292				
417	93.271				
418	93.389				
419	91.671				
420	89.897				
421	94.788				
422	94.235				
423	93.634				
424	94.093				
425	94.575				
426	93.244				
427	94.728				
428	94.546				
429	93.51				
430	96.242				
431	96.88				
432	97.072				
433	96.552				
434	94.702				
435	92.521				
436	93.811				
437	95.846				
438	96.312				
439	95.948				
440	94.552				
441	94.351				
442	95.798				
443	92.463				
444	88.377				
445	91.393				
446	96.257				
447	97.53				
448	95.893				
449	91.349				
450	90.631				
451	94.713				
452	95.371				
453	95.114				
454	95.055				
455	93.654				
456	95.461				
457	97.243				
458	96.113				
459	95.754				
460	95.638				
461	94.225				
462	92.08				
463	91.77				
464	92.927				
465	94.69				
466	96.909				
467	96.833				
468	95.862				
469	94.532				
470	89.414				
471	83.699				
472	71.984				
473	14.746				
474	0.359				
475	0.011				
476	0.001				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.001				
497	0.007				
498	0.111				
499	5.448				
500	58.556				
501	95.14				
502	95.9				
503	96.126				
504	95.186				
505	94.703				
506	94.939				
507	95.773				
508	97.119				
509	97.281				
510	95.868				
511	95.366				
512	95.69				
513	94.343				
514	91.841				
515	91.553				
516	93.337				
517	94.275				
518	94.671				
519	96.198				
520	97.792				
521	97.522				
522	95.457				
523	93.202				
524	92.3				
525	91.995				
526	91.167				
527	92.45				
528	95.845				
529	94.438				
530	88.338				
531	86.583				
532	91.145				
533	95.73				
534	96.838				
535	95.645				
536	94.106				
537	95.316				
538	96.211				
539	92.213				
540	88.929				
541	89.339				
542	90.494				
543	93.181				
544	95.915				
545	94.728				
546	67.323				
547	10.752				
548	0.479				
549	0.037				
550	0.005				
551	0.001				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.001				
569	0.004				
570	0.025				
571	0.22				
572	4.156				
573	44.994				
574	94.851				
575	97.441				
576	97.132				
577	98.164				
578	97.77				
579	97.662				
580	97.941				
581	97.861				
582	97.9				
583	98.018				
584	97.846				
585	98.124				
586	98.33				
587	97.309				
588	95.792				
589	94.484				
590	93.87				
591	94.222				
592	95.941				
593	97.47				
594	97.441				
595	96.295				
596	96.123				
597	96.989				
598	97.14				
599	96.009				
600	95.251				
601	96.059				
602	97.057				
603	96.73				
604	95.57				
605	95.477				
606	96.575				
607	97.2				
608	97.041				
609	97.049				
610	96.565				
611	95.066				
612	94.542				
613	95.296				
614	90.236				
615	43.178				
616	7.054				
