Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
301	0.0		Chroma		ZET405/488/561/640mv2
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.007				
414	1.291				
415	48.745				
416	94.898				
417	96.518				
418	96.582				
419	95.654				
420	94.68				
421	97.325				
422	97.032				
423	96.713				
424	96.957				
425	97.212				
426	96.504				
427	97.293				
428	97.197				
429	96.646				
430	98.085				
431	98.415				
432	98.514				
433	98.246				
434	97.279				
435	96.115				
436	96.807				
437	97.879				
438	98.122				
439	97.932				
440	97.2				
441	97.093				
442	97.854				
443	96.084				
444	93.83				
445	95.503				
446	98.093				
447	98.75				
448	97.903				
449	95.479				
450	95.085				
451	97.285				
452	97.631				
453	97.496				
454	97.465				
455	96.723				
456	97.678				
457	98.602				
458	98.018				
459	97.831				
460	97.771				
461	97.027				
462	95.877				
463	95.708				
464	96.334				
465	97.273				
466	98.43				
467	98.391				
468	97.887				
469	97.189				
470	94.411				
471	91.126				
472	83.71				
473	25.702				
474	0.716				
475	0.022				
476	0.002				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.001				
497	0.014				
498	0.221				
499	10.333				
500	73.861				
501	97.509				
502	97.907				
503	98.025				
504	97.534				
505	97.279				
506	97.404				
507	97.841				
508	98.538				
509	98.622				
510	97.89				
511	97.628				
512	97.798				
513	97.089				
514	95.747				
515	95.59				
516	96.554				
517	97.053				
518	97.263				
519	98.062				
520	98.884				
521	98.746				
522	97.676				
523	96.482				
524	95.996				
525	95.83				
526	95.38				
527	96.077				
528	97.878				
529	97.139				
530	93.808				
531	92.809				
532	95.367				
533	97.819				
534	98.393				
535	97.774				
536	96.963				
537	97.602				
538	98.069				
539	95.949				
540	94.14				
541	94.37				
542	95.01				
543	96.47				
544	97.915				
545	97.293				
546	80.471				
547	19.416				
