Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		ZET445/561m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.002				
456	0.021				
457	0.659				
458	32.304				
459	92.319				
460	98.109				
461	97.437				
462	96.587				
463	97.433				
464	97.675				
465	97.748				
466	96.827				
467	96.656				
468	98.382				
469	97.055				
470	95.551				
471	97.604				
472	98.039				
473	98.048				
474	98.102				
475	97.446				
476	97.877				
477	98.157				
478	97.659				
479	98.017				
480	97.076				
481	97.885				
482	98.066				
483	98.077				
484	97.441				
485	97.983				
486	97.764				
487	98.209				
488	97.639				
489	98.351				
490	98.332				
491	98.233				
492	97.703				
493	98.262				
494	98.074				
495	98.428				
496	98.408				
497	98.617				
498	98.535				
499	98.261				
500	97.312				
501	98.421				
502	98.711				
503	98.412				
504	97.803				
505	98.296				
506	97.765				
507	98.233				
508	97.818				
509	97.851				
510	98.714				
511	98.449				
512	97.757				
513	96.029				
514	97.666				
515	98.817				
516	98.846				
517	97.972				
518	97.69				
519	98.577				
520	97.972				
521	98.369				
522	97.264				
523	97.236				
524	97.987				
525	98.229				
526	98.85				
527	98.309				
528	98.337				
529	96.576				
530	95.673				
531	96.918				
532	98.288				
533	98.507				
534	97.184				
535	97.603				
536	96.976				
537	97.61				
538	98.558				
539	97.628				
540	98.428				
541	96.436				
542	97.408				
543	98.206				
544	97.803				
545	98.069				
546	97.035				
547	96.259				
548	95.378				
549	93.132				
550	92.002				
551	55.952				
552	3.671				
553	0.098				
554	0.015				
555	0.001				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.001				
570	0.009				
571	0.139				
572	9.692				
573	74.889				
574	98.332				
575	98.601				
576	96.308				
577	97.993				
578	96.7				
579	96.386				
580	98.2				
581	98.923				
582	97.75				
583	93.2				
584	93.718				
585	95.956				
586	92.394				
587	92.02				
588	96.988				
589	99.014				
590	98.645				
591	97.913				
592	96.22				
593	96.604				
594	97.912				
595	96.205				
596	95.34				
597	97.645				
598	99.19				
599	98.851				
600	97.692				
601	95.301				
602	94.221				
603	96.185				
604	96.55				
605	93.657				
606	93.54				
607	97.237				
608	99.033				
609	98.356				
610	98.833				
611	99.068				
612	97.437				
613	97.184				
614	98.865				
615	98.64				
616	97.048				
617	97.644				
618	99.133				
619	98.301				
620	96.996				
621	97.844				
622	99.13				
623	99.21				
624	99.079				
625	98.798				
626	97.372				
627	96.376				
628	97.527				
629	99.067				
630	98.534				
631	97.714				
632	98.353				
633	98.956				
634	98.198				
635	97.862				
636	98.91				
637	99.232				
638	97.976				
639	97.559				
640	98.741				
641	99.181				
642	97.783				
643	96.935				
644	98.062				
645	99.258				
646	98.796				
647	97.919				
