Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		ZET488/561/635m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.013				
409	0.005				
410	0.0				
411	0.003				
412	0.004				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.001				
428	0.001				
429	0.16				
430	0.092				
431	0.0				
432	0.0				
433	0.001				
434	0.142				
435	0.061				
436	0.0				
437	0.0				
438	0.001				
439	0.011				
440	0.002				
441	0.005				
442	0.447				
443	0.256				
444	0.05				
445	0.001				
446	0.0				
447	0.001				
448	0.038				
449	0.025				
450	0.193				
451	0.092				
452	0.001				
453	0.0				
454	0.0				
455	0.001				
456	0.106				
457	0.352				
458	0.072				
459	0.001				
460	0.0				
461	0.003				
462	0.02				
463	0.004				
464	0.004				
465	0.041				
466	0.033				
467	1.824				
468	4.21				
469	1.905				
470	0.119				
471	0.012				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.001				
498	0.018				
499	1.408				
500	44.741				
501	95.73				
502	98.283				
503	98.149				
504	98.332				
505	98.202				
506	98.145				
507	98.375				
508	98.488				
509	98.355				
510	98.346				
511	98.461				
512	98.431				
513	98.292				
514	97.503				
515	97.396				
516	98.094				
517	98.383				
518	98.138				
519	98.284				
520	98.435				
521	98.439				
522	98.557				
523	98.613				
524	98.603				
525	98.282				
526	98.301				
527	98.542				
528	98.29				
529	97.676				
530	97.813				
531	98.129				
532	97.711				
533	97.607				
534	98.164				
535	97.905				
536	98.051				
537	98.099				
538	97.163				
539	97.649				
540	97.636				
541	94.981				
542	94.918				
543	96.877				
544	96.524				
545	40.531				
546	3.379				
547	0.497				
548	0.032				
549	0.004				
550	0.001				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.001				
575	0.002				
576	0.015				
577	0.131				
578	2.274				
579	36.229				
580	89.406				
581	96.085				
582	97.19				
583	95.982				
584	96.127				
585	96.769				
586	96.773				
587	95.99				
588	96.552				
589	97.822				
590	98.576				
591	98.851				
592	98.592				
593	98.128				
594	98.016				
595	98.567				
596	98.529				
597	97.518				
598	97.219				
599	98.155				
600	98.403				
601	97.748				
602	97.008				
603	97.362				
604	97.924				
605	97.586				
606	98.061				
607	98.127				
608	96.581				
609	94.646				
610	95.5				
611	97.913				
612	97.809				
613	97.75				
614	97.783				
615	47.849				
616	3.593				
617	1.892				
618	0.221				
619	0.041				
620	0.01				
621	0.003				
622	0.001				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.001				
648	0.002				
649	0.006				
650	0.018				
651	0.067				
652	0.317				
653	2.039				
654	18.011				
655	72.062				
656	96.833				
657	97.716				
658	95.359				
659	92.896				
660	93.876				
661	95.769				
662	97.29				
663	98.113				
664	98.718				
665	98.458				
666	97.415				
667	96.696				
668	96.818				
669	97.691				
670	98.534				
671	98.887				
672	98.498				
673	98.136				
674	97.655				
675	97.64				
676	97.607				
677	97.809				
678	98.134				
679	98.386				
680	98.713				
681	98.958				
682	99.037				
683	99.023				
684	99.035				
685	98.994				
686	98.843				
687	98.676				
688	98.228				
689	98.108				
690	98.401				
691	98.581				
692	98.86				
693	98.789				
694	98.373				
695	97.734				
696	97.363				
697	97.864				
698	98.48				
699	99.144				
700	99.041				
701	98.757				
702	98.403				
703	98.436				
704	98.583				
705	98.859				
706	98.989				
707	99.136				
708	98.557				
709	97.915				
710	97.489				
711	97.65				
712	98.063				
713	98.569				
714	99.065				
715	99.204				
716	99.119				
717	98.934				
718	98.82				
719	99.194				
720	99.178				
721	99.099				
722	98.726				
723	98.42				
724	98.318				
725	98.733				
726	98.902				
727	99.027				
728	99.076				
729	98.89				
730	98.729				
731	98.146				
732	98.243				
733	98.514				
734	98.544				
735	98.913				
736	98.752				
737	99.071				
738	98.99				
739	99.077				
740	98.934				
741	98.738				
742	98.998				
743	98.965				
744	98.899				
745	99.108				
746	98.955				
747	99.06				
748	99.013				
749	98.999				
750	98.965				
751	98.408				
752	98.923				
753	98.884				
754	98.966				
755	98.817				
756	98.995				
757	98.658				
758	98.41				
759	98.27				
760	98.44				
761	98.412				
762	98.216				
763	98.88				
764	98.432				
765	97.836				
766	98.022				
767	98.377				
768	98.486				
769	98.757				
770	98.946				
771	98.623				
772	98.371				
773	97.596				
774	96.848				
775	96.834				
776	96.855				
777	97.351				
778	97.783				
779	97.786				
780	98.653				
781	97.873				
782	97.67				
783	96.597				
784	94.257				
785	87.648				
786	76.178				
787	61.144				
788	46.83				
789	35.136				
790	26.975				
791	22.161				
792	19.79				
793	20.002				
794	23.344				
795	32.193				
796	50.234				
797	64.151				
798	51.225				
799	32.736				
