Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.043		Chroma		ZT1064rdc-sp
381	0.072				
382	0.111				
383	0.131				
384	0.162				
385	0.312				
386	0.431				
387	0.951				
388	2.256				
389	3.984				
390	8.0				
391	15.767				
392	26.816				
393	38.841				
394	45.241				
395	48.403				
396	53.889				
397	65.285				
398	81.88				
399	91.791				
400	95.632				
401	96.62				
402	96.946				
403	96.886				
404	96.712				
405	96.292				
406	96.242				
407	96.486				
408	96.86				
409	97.246				
410	97.514				
411	97.484				
412	97.32				
413	97.006				
414	96.678				
415	96.476				
416	96.662				
417	96.889				
418	97.142				
419	97.414				
420	97.786				
421	98.004				
422	98.093				
423	98.061				
424	97.887				
425	97.752				
426	97.509				
427	97.244				
428	97.027				
429	96.957				
430	96.775				
431	96.679				
432	96.7				
433	96.669				
434	96.753				
435	96.825				
436	96.992				
437	97.023				
438	97.25				
439	97.354				
440	97.395				
441	97.409				
442	97.369				
443	97.334				
444	97.122				
445	97.131				
446	97.171				
447	97.357				
448	97.138				
449	97.159				
450	97.224				
451	97.272				
452	97.325				
453	97.31				
454	97.467				
455	97.394				
456	97.343				
457	97.154				
458	97.171				
459	97.229				
460	97.177				
461	97.04				
462	96.746				
463	96.741				
464	96.875				
465	96.968				
466	97.098				
467	97.283				
468	97.352				
469	97.349				
470	97.444				
471	97.535				
472	97.6				
473	97.697				
474	97.626				
475	97.462				
476	97.234				
477	97.038				
478	96.874				
479	96.737				
480	96.664				
481	96.54				
482	96.437				
483	96.388				
484	96.465				
485	96.599				
486	96.573				
487	96.649				
488	96.731				
489	96.901				
490	97.08				
491	97.194				
492	97.197				
493	97.279				
494	97.316				
495	97.33				
496	97.362				
497	97.456				
498	97.44				
499	97.504				
500	97.464				
501	97.447				
502	97.348				
503	97.421				
504	97.417				
505	97.415				
506	97.463				
507	97.523				
508	97.579				
509	97.685				
510	97.757				
511	97.811				
512	97.818				
513	97.865				
514	97.936				
515	98.032				
516	97.992				
517	97.985				
518	97.997				
519	97.906				
520	97.824				
521	97.815				
522	97.746				
523	97.781				
524	97.746				
525	97.681				
526	97.712				
527	97.752				
528	97.897				
529	97.882				
530	97.637				
531	97.453				
532	97.414				
533	97.358				
534	97.26				
535	97.083				
536	96.921				
537	96.866				
538	96.792				
539	96.751				
540	96.707				
541	96.604				
542	96.611				
543	96.624				
544	96.671				
545	96.693				
546	96.688				
547	96.709				
548	96.814				
549	96.905				
550	96.929				
551	96.862				
552	96.903				
553	96.861				
554	96.731				
555	96.63				
556	96.596				
557	96.637				
558	96.571				
559	96.479				
560	96.439				
561	96.446				
562	96.455				
563	96.497				
564	96.499				
565	96.508				
566	96.579				
567	96.62				
568	96.754				
569	96.87				
570	96.957				
571	97.099				
572	97.234				
573	97.351				
574	97.478				
575	97.566				
576	97.596				
577	97.686				
578	97.765				
579	97.745				
580	97.648				
581	97.439				
582	97.257				
583	97.15				
584	97.102				
585	97.005				
586	96.934				
587	96.865				
588	96.763				
589	96.667				
590	96.665				
591	96.599				
592	96.536				
593	96.49				
594	96.473				
595	96.469				
596	96.604				
597	96.609				
598	96.675				
599	96.659				
600	96.683				
601	96.961				
602	97.262				
603	97.264				
604	97.342				
605	97.404				
606	97.449				
607	97.377				
608	97.371				
609	97.384				
610	97.362				
611	97.218				
612	97.114				
613	97.171				
614	97.136				
615	97.119				
616	96.96				
617	96.925				
618	96.929				
619	96.954				
620	96.98				
621	97.12				
622	97.184				
623	97.134				
624	97.146				
625	97.239				
626	97.213				
627	97.306				
628	97.347				
629	97.458				
630	97.498				
631	97.548				
632	97.617				
633	97.601				
634	97.749				
635	97.703				
636	97.681				
637	97.616				
638	97.544				
639	97.552				
640	97.57				
641	97.502				
642	97.246				
643	97.127				
644	97.047				
645	96.917				
646	96.853				
647	96.703				
648	96.579				
649	96.419				
650	96.407				
651	96.38				
652	96.302				
653	96.21				
654	96.221				
655	96.286				
656	96.263				
657	96.239				
658	96.31				
659	96.394				
660	96.404				
661	96.577				
662	96.605				
663	96.58				
664	96.644				
665	96.622				
666	96.836				
667	96.915				
668	96.972				
669	97.142				
670	97.077				
671	97.19				
672	97.147				
673	97.01				
674	97.001				
675	96.944				
676	96.891				
677	96.916				
678	96.792				
679	96.654				
680	96.541				
681	96.423				
682	96.293				
683	96.223				
684	96.134				
685	96.1				
686	95.969				
687	95.881				
688	95.792				
689	95.797				
690	95.822				
691	95.615				
692	95.651				
693	95.644				
694	95.72				
695	95.795				
696	95.787				
697	95.877				
698	96.105				
699	96.206				
700	96.348				
701	96.355				
702	96.472				
703	96.646				
704	96.914				
705	97.18				
706	97.47				
707	97.561				
708	97.44				
709	97.398				
710	97.572				
711	97.568				
712	97.588				
713	97.573				
714	97.579				
715	97.544				
716	97.471				
717	97.445				
718	97.342				
719	97.247				
720	97.147				
721	97.051				
722	96.813				
723	96.641				
724	96.655				
725	96.552				
726	96.494				
727	96.342				
728	96.393				
729	96.567				
730	96.424				
731	96.241				
732	96.146				
733	96.165				
734	96.078				
735	96.111				
736	96.066				
737	96.109				
738	96.172				
739	96.285				
740	96.356				
741	96.416				
742	96.604				
743	96.687				
744	96.786				
745	96.92				
746	96.961				
747	97.052				
748	97.1				
749	97.161				
750	97.134				
751	97.223				
752	97.264				
753	97.194				
754	97.187				
755	97.252				
756	97.204				
757	97.151				
758	97.022				
759	96.868				
760	96.781				
761	96.7				
762	96.551				
763	96.415				
764	96.291				
765	96.202				
766	96.071				
767	95.921				
768	95.77				
769	95.66				
770	95.521				
771	95.393				
772	95.362				
773	95.308				
774	95.251				
775	95.143				
776	95.065				
777	95.079				
778	95.073				
779	95.165				
780	95.196				
781	95.258				
782	95.398				
783	95.495				
784	95.744				
785	95.814				
786	96.025				
787	96.15				
788	96.303				
789	96.483				
790	96.674				
791	96.909				
792	97.078				
793	97.199				
794	97.329				
795	97.434				
796	97.539				
797	97.565				
798	97.723				
799	97.802				
800	97.822				
801	97.832				
802	97.773				
803	97.714				
804	97.593				
805	97.481				
806	97.356				
807	97.222				
808	96.976				
809	96.782				
810	96.607				
811	96.342				
812	96.176				
813	95.982				
814	95.753				
815	95.458				
816	95.228				
817	94.97				
818	94.809				
819	94.639				
820	94.476				
821	94.356				
822	94.305				
823	94.19				
824	94.109				
825	94.057				
826	94.054				
827	94.048				
828	94.16				
829	94.258				
830	94.324				
831	94.463				
832	94.581				
833	94.618				
834	94.821				
835	95.034				
836	95.31				
837	95.493				
838	95.676				
839	95.851				
840	96.025				
841	96.264				
842	96.497				
843	96.564				
844	96.618				
845	96.759				
846	96.833				
847	96.884				
848	97.0				
849	97.064				
850	97.075				
851	97.057				
852	97.041				
853	96.961				
854	96.86				
855	96.752				
856	96.632				
857	96.55				
858	96.417				
859	96.331				
860	96.235				
861	96.137				
862	96.017				
863	95.918				
864	95.809				
865	95.584				
866	95.504				
867	95.289				
868	95.043				
869	94.639				
870	94.039				
871	93.365				
872	92.507				
873	91.28				
874	89.859				
875	88.165				
876	86.152				
877	83.949				
878	81.437				
879	78.905				
880	76.188				
881	73.635				
882	71.057				
883	68.749				
884	66.583				
885	64.547				
886	62.705				
887	61.146				
888	59.749				
889	58.555				
890	57.62				
891	56.761				
892	55.971				
893	55.336				
894	54.798				
895	54.25				
896	53.747				
897	53.217				
898	52.71				
899	52.045				
900	51.332				
901	50.581				
902	49.537				
903	48.334				
904	47.033				
905	45.538				
906	43.845				
907	42.075				
908	40.084				
909	37.998				
910	35.964				
911	33.735				
912	31.566				
913	29.503				
914	27.379				
915	25.33				
916	23.41				
917	21.668				
918	19.934				
919	18.32				
920	16.832				
921	15.457				
922	14.254				
923	13.09				
924	12.005				
925	11.032				
926	10.205				
927	9.42				
928	8.687				
929	8.021				
930	7.42				
931	6.881				
932	6.388				
933	5.932				
934	5.518				
935	5.182				
936	4.839				
937	4.536				
938	4.243				
939	3.971				
940	3.73				
941	3.501				
942	3.296				
943	3.107				
944	2.907				
945	2.596				
946	2.442				
947	2.304				
948	2.18				
949	2.059				
950	1.95				
951	1.844				
952	1.746				
953	1.654				
954	1.567				
955	1.485				
956	1.411				
957	1.343				
958	1.284				
959	1.213				
960	1.154				
961	1.102				
962	1.051				
963	1.013				
964	0.975				
965	0.924				
966	0.893				
967	0.859				
968	0.825				
969	0.793				
970	0.754				
971	0.733				
972	0.705				
973	0.678				
974	0.662				
975	0.636				
976	0.616				
977	0.588				
978	0.577				
979	0.559				
980	0.542				
981	0.528				
982	0.5				
983	0.493				
984	0.477				
985	0.467				
986	0.456				
987	0.452				
988	0.439				
989	0.428				
990	0.412				
991	0.411				
992	0.4				
993	0.387				
994	0.383				
995	0.367				
996	0.367				
997	0.356				
998	0.35				
999	0.341				
1000	0.341				
1001	0.327				
1002	0.321				
1003	0.319				
1004	0.31				
1005	0.308				
1006	0.31				
1007	0.297				
1008	0.299				
1009	0.294				
1010	0.284				
1011	0.285				
1012	0.278				
1013	0.271				
1014	0.267				
1015	0.272				
1016	0.267				
1017	0.26				
1018	0.256				
1019	0.26				
1020	0.254				
1021	0.251				
1022	0.253				
1023	0.243				
1024	0.244				
1025	0.249				
1026	0.24				
1027	0.244				
1028	0.245				
1029	0.246				
1030	0.228				
1031	0.241				
1032	0.242				
1033	0.233				
1034	0.235				
1035	0.237				
1036	0.237				
1037	0.232				
1038	0.229				
1039	0.224				
1040	0.232				
1041	0.23				
1042	0.241				
1043	0.228				
1044	0.225				
1045	0.222				
1046	0.242				
1047	0.237				
1048	0.231				
1049	0.236				
1050	0.23				
1051	0.233				
1052	0.244				
1053	0.243				
1054	0.234				
1055	0.233				
