Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	41.353		Chroma		ZT365bcm
301	33.091				
302	25.99				
303	22.338				
304	20.937				
305	19.299				
306	14.39				
307	10.337				
308	7.936				
309	7.311				
310	8.185				
311	10.293				
312	14.767				
313	22.459				
314	29.01				
315	24.748				
316	14.829				
317	6.902				
318	3.371				
319	1.818				
320	1.095				
321	0.678				
322	0.439				
323	0.37				
324	0.248				
325	0.112				
326	0.097				
327	0.035				
328	0.152				
329	0.025				
330	0.083				
331	0.083				
332	0.079				
333	0.123				
334	0.009				
335	0.053				
336	0.0				
337	0.058				
338	0.022				
339	0.058				
340	0.046				
341	0.048				
342	0.063				
343	0.052				
344	0.047				
345	0.045				
346	0.038				
347	0.042				
348	0.012				
349	0.043				
350	0.042				
351	0.05				
352	0.027				
353	0.06				
354	0.047				
355	0.053				
356	0.065				
357	0.063				
358	0.067				
359	0.07				
360	0.093				
361	0.071				
362	0.085				
363	0.091				
364	0.101				
365	0.115				
366	0.114				
367	0.156				
368	0.168				
369	0.184				
370	0.215				
371	0.256				
372	0.287				
373	0.338				
374	0.383				
375	0.453				
376	0.533				
377	0.64				
378	0.748				
379	0.883				
380	1.092				
381	1.257				
382	1.54				
383	1.926				
384	2.389				
385	2.941				
386	3.734				
387	4.675				
388	6.2				
389	7.999				
390	10.103				
391	12.761				
392	15.905				
393	19.413				
394	24.093				
395	28.704				
396	33.567				
397	38.22				
398	42.085				
399	45.343				
400	47.708				
401	49.169				
402	50.094				
403	50.99				
404	51.581				
405	52.576				
406	53.87				
407	55.915				
408	60.023				
409	63.847				
410	68.471				
411	73.99				
412	80.238				
413	85.731				
414	90.432				
415	93.982				
416	96.143				
417	97.469				
418	97.901				
419	97.959				
420	97.852				
421	97.473				
422	97.253				
423	97.189				
424	97.342				
425	97.267				
426	97.445				
427	97.653				
428	97.787				
429	97.918				
430	98.04				
431	98.32				
432	98.299				
433	98.433				
434	98.797				
435	98.518				
436	98.519				
437	98.547				
438	98.635				
439	98.475				
440	98.341				
441	98.397				
442	98.38				
443	98.481				
444	98.559				
445	98.504				
446	98.485				
447	98.553				
448	98.647				
449	98.731				
450	98.662				
451	98.682				
452	98.803				
453	98.844				
454	98.628				
455	98.585				
456	98.666				
457	98.585				
458	98.498				
459	98.445				
460	98.509				
461	98.424				
462	98.454				
463	98.292				
464	98.269				
465	98.258				
466	98.255				
467	98.391				
468	98.349				
469	98.383				
470	98.357				
471	98.08				
472	98.277				
473	98.325				
474	98.295				
475	98.427				
476	98.444				
477	98.395				
478	98.468				
479	98.644				
480	98.707				
481	98.595				
482	98.669				
483	98.8				
484	98.7				
485	98.555				
486	98.661				
487	99.001				
488	99.017				
489	98.985				
490	98.964				
491	98.834				
492	98.963				
493	98.756				
494	98.701				
495	98.603				
496	98.665				
497	98.676				
498	98.613				
499	98.582				
500	98.594				
501	98.559				
502	98.586				
503	98.483				
504	98.349				
505	98.345				
506	98.279				
507	98.274				
508	98.095				
509	98.258				
510	98.172				
511	98.264				
512	98.304				
513	98.236				
514	98.351				
515	98.38				
516	98.386				
517	98.499				
518	98.555				
519	98.631				
520	98.613				
521	98.59				
522	98.525				
523	98.347				
524	98.462				
525	98.492				
526	98.223				
527	98.403				
528	98.324				
529	98.367				
530	98.506				
531	98.595				
532	98.706				
533	98.785				
534	98.726				
535	98.599				
536	98.563				
537	98.531				
538	98.437				
539	98.431				
540	98.461				
541	98.399				
542	98.402				
543	98.25				
544	98.335				
545	98.28				
546	98.448				
547	98.487				
548	98.432				
549	98.45				
550	98.339				
551	98.339				
552	98.316				
553	98.309				
554	98.283				
555	98.3				
556	98.227				
557	98.234				
558	98.285				
559	98.248				
560	98.198				
561	98.149				
562	98.113				
563	98.122				
564	98.078				
565	98.105				
566	98.098				
567	97.996				
568	97.968				
569	98.025				
570	98.081				
571	98.095				
572	98.089				
573	98.037				
574	97.905				
575	97.888				
576	97.853				
577	97.931				
578	97.722				
579	97.844				
580	97.903				
581	97.953				
582	97.887				
583	97.978				
584	97.93				
585	97.85				
586	97.934				
587	97.94				
588	97.914				
589	97.965				
590	97.91				
591	97.878				
592	97.89				
593	97.874				
594	97.85				
595	97.822				
596	97.82				
597	97.781				
598	97.767				
599	97.753				
600	97.697				
601	98.321				
602	98.241				
603	98.187				
604	98.248				
605	98.374				
606	98.3				
607	98.163				
608	98.153				
609	98.019				
610	97.944				
611	97.971				
612	97.987				
613	97.958				
614	97.884				
615	97.736				
616	97.642				
617	97.751				
618	97.655				
619	97.646				
620	97.637				
621	97.346				
622	97.224				
623	97.348				
624	97.417				
625	97.405				
626	97.427				
627	97.393				
628	97.261				
629	97.334				
630	97.327				
631	97.325				
632	97.365				
633	97.364				
634	97.34				
635	97.394				
636	97.286				
637	97.264				
638	97.358				
639	97.391				
640	97.225				
641	97.18				
642	97.063				
643	97.012				
644	97.013				
645	97.111				
646	97.134				
647	97.165				
648	97.058				
649	96.978				
650	97.021				
651	97.025				
652	97.11				
653	97.131				
654	97.152				
655	97.14				
656	97.13				
657	97.124				
658	97.066				
659	97.015				
660	96.987				
661	97.017				
662	97.027				
663	97.016				
664	96.967				
665	96.921				
666	96.981				
667	96.979				
668	96.984				
669	96.874				
670	96.863				
671	96.875				
672	96.877				
673	96.844				
674	96.888				
675	96.902				
676	96.871				
677	97.001				
678	96.866				
679	96.745				
680	96.888				
681	96.793				
682	96.776				
683	96.741				
684	96.762				
685	96.734				
686	96.691				
687	96.582				
688	96.502				
689	96.495				
690	96.481				
691	96.464				
692	96.375				
693	96.288				
694	96.385				
695	96.347				
696	96.276				
697	96.207				
698	96.113				
699	96.079				
700	96.015				
701	96.038				
702	95.998				
703	95.927				
704	95.878				
705	95.807				
706	95.74				
707	95.736				
708	95.714				
709	95.683				
710	95.668				
711	95.62				
712	95.604				
713	95.575				
714	95.54				
715	95.512				
716	95.465				
717	95.446				
718	95.369				
719	95.322				
720	95.297				
721	95.261				
722	95.249				
723	95.252				
724	95.225				
725	95.183				
726	95.161				
727	95.212				
728	95.194				
729	95.227				
730	95.217				
731	95.157				
732	95.173				
733	95.109				
734	95.048				
735	95.059				
736	95.109				
737	95.065				
738	95.123				
739	95.13				
740	95.111				
741	95.075				
742	95.077				
743	95.049				
744	95.107				
745	95.114				
746	95.038				
747	95.03				
748	95.069				
749	95.026				
750	95.012				
751	95.022				
752	94.994				
753	94.962				
754	94.883				
755	94.878				
756	95.001				
757	94.894				
758	94.908				
759	94.908				
760	94.824				
761	94.792				
762	94.817				
763	94.836				
764	94.914				
765	94.881				
766	95.046				
767	94.98				
768	94.837				
769	94.724				
770	94.683				
771	94.79				
772	94.864				
773	94.836				
774	94.866				
775	94.853				
776	94.75				
777	94.69				
778	94.67				
779	94.66				
780	94.589				
781	94.576				
782	94.558				
783	94.519				
784	94.542				
785	94.506				
786	94.375				
787	94.347				
788	94.453				
789	94.481				
790	94.358				
791	94.239				
792	94.33				
793	94.204				
794	94.099				
795	94.173				
796	94.324				
797	94.108				
798	93.665				
799	93.633				
800	93.562				
