Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.216		Chroma		ZT405/473-491/NIRrpc
381	0.179				
382	0.142				
383	0.128				
384	0.234				
385	1.092				
386	4.381				
387	4.494				
388	1.402				
389	1.335				
390	2.749				
391	3.759				
392	2.955				
393	3.239				
394	5.601				
395	10.298				
396	15.062				
397	16.759				
398	8.078				
399	1.25				
400	0.383				
401	0.297				
402	0.3				
403	0.272				
404	0.234				
405	0.261				
406	0.27				
407	0.298				
408	0.353				
409	0.451				
410	0.579				
411	0.784				
412	1.139				
413	2.068				
414	5.03				
415	12.98				
416	28.75				
417	40.591				
418	46.109				
419	54.72				
420	70.725				
421	87.472				
422	94.751				
423	95.528				
424	95.841				
425	95.998				
426	96.15				
427	96.457				
428	96.576				
429	96.322				
430	95.871				
431	95.694				
432	95.981				
433	96.452				
434	96.878				
435	97.012				
436	96.689				
437	96.069				
438	95.045				
439	94.454				
440	94.527				
441	95.393				
442	96.288				
443	96.8				
444	96.794				
445	96.534				
446	96.512				
447	96.509				
448	96.52				
449	96.384				
450	96.124				
451	95.912				
452	95.773				
453	95.81				
454	95.975				
455	96.232				
456	96.441				
457	96.516				
458	96.406				
459	96.088				
460	95.72				
461	95.529				
462	95.468				
463	95.083				
464	93.751				
465	90.088				
466	83.065				
467	71.376				
468	57.489				
469	40.186				
470	23.832				
471	11.678				
472	5.783				
473	2.92				
474	1.706				
475	1.046				
476	0.726				
477	0.531				
478	0.417				
479	0.351				
480	0.31				
481	0.286				
482	0.276				
483	0.279				
484	0.288				
485	0.315				
486	0.352				
487	0.414				
488	0.52				
489	0.677				
490	0.956				
491	1.476				
492	2.381				
493	4.348				
494	8.329				
495	16.758				
496	29.56				
497	42.631				
498	48.426				
499	49.552				
500	54.844				
501	68.308				
502	84.072				
503	91.026				
504	92.47				
505	93.98				
506	95.612				
507	96.289				
508	96.037				
509	95.595				
510	95.685				
511	96.143				
512	96.796				
513	97.173				
514	97.049				
515	96.646				
516	96.22				
517	95.879				
518	95.828				
519	95.964				
520	96.258				
521	96.534				
522	96.661				
523	96.681				
524	96.687				
525	96.791				
526	96.867				
527	97.011				
528	97.189				
529	97.183				
530	97.036				
531	96.787				
532	96.457				
533	96.126				
534	95.827				
535	95.685				
536	95.75				
537	95.943				
538	96.33				
539	96.724				
540	97.075				
541	97.333				
542	97.454				
543	97.449				
544	97.499				
545	97.401				
546	97.327				
547	97.202				
548	97.194				
549	97.113				
550	97.21				
551	97.236				
552	97.183				
553	97.039				
554	97.135				
555	97.131				
556	97.191				
557	97.251				
558	97.351				
559	97.314				
560	97.421				
561	97.62				
562	97.738				
563	97.764				
564	97.718				
565	97.58				
566	97.467				
567	97.349				
568	97.333				
569	97.257				
570	97.224				
571	97.167				
572	97.174				
573	97.117				
574	97.046				
575	97.035				
576	97.029				
577	96.962				
578	96.98				
579	97.019				
580	97.08				
581	97.116				
582	97.173				
583	97.326				
584	97.426				
585	97.562				
586	97.622				
587	97.674				
588	97.78				
589	97.878				
590	97.872				
591	97.883				
592	97.881				
593	97.879				
594	97.891				
595	97.882				
596	97.871				
597	97.822				
598	97.823				
599	97.847				
600	97.93				
601	98.141				
602	98.387				
603	98.475				
604	98.784				
605	98.723				
606	98.548				
607	98.337				
608	98.115				
609	98.152				
610	97.957				
611	97.686				
612	97.609				
613	97.666				
614	97.737				
615	97.964				
616	98.368				
617	98.412				
618	98.348				
619	98.374				
620	98.443				
621	98.431				
622	98.382				
623	98.263				
624	98.235				
625	98.151				
626	98.168				
627	98.278				
628	98.454				
629	98.561				
630	98.877				
631	98.988				
632	98.867				
633	98.871				
634	98.582				
635	98.32				
636	98.007				
637	97.725				
638	97.458				
639	97.281				
640	97.226				
641	97.32				
642	97.552				
643	97.919				
644	98.196				
645	98.512				
646	98.652				
647	98.681				
648	98.6				
649	98.482				
650	98.371				
651	98.228				
652	98.09				
653	97.9				
654	97.842				
655	97.775				
656	97.816				
657	97.935				
658	97.959				
659	97.933				
660	97.877				
661	97.755				
662	97.675				
663	97.603				
664	97.528				
665	97.53				
666	97.596				
667	97.771				
668	97.983				
669	98.23				
670	98.435				
671	98.701				
672	98.853				
673	99.072				
674	99.16				
675	99.237				
676	99.18				
677	99.204				
678	99.229				
679	99.107				
680	99.104				
681	99.068				
682	99.107				
683	99.073				
684	99.116				
685	99.312				
686	99.509				
687	99.763				
688	100.0				
689	99.894				
690	99.543				
691	98.9				
692	97.93				
693	96.974				
694	96.689				
695	97.163				
696	97.813				
697	96.576				
698	90.729				
699	80.078				
700	66.755				
701	56.553				
702	49.473				
703	44.352				
704	40.865				
705	38.245				
706	36.393				
707	35.696				
708	36.155				
709	37.877				
710	41.115				
711	44.881				
712	47.296				
713	44.807				
714	36.616				
715	25.139				
716	15.903				
717	9.438				
718	5.859				
719	3.626				
720	2.429				
721	1.655				
722	1.194				
723	0.891				
724	0.671				
725	0.525				
726	0.416				
727	0.333				
728	0.286				
729	0.233				
730	0.207				
731	0.185				
732	0.155				
733	0.143				
734	0.133				
735	0.124				
736	0.119				
737	0.115				
738	0.107				
739	0.109				
740	0.104				
741	0.11				
742	0.104				
743	0.104				
744	0.114				
745	0.124				
746	0.145				
747	0.176				
748	0.235				
749	0.32				
750	0.363				
751	0.353				
752	0.347				
753	0.395				
754	0.492				
755	0.667				
756	0.891				
757	1.189				
758	1.444				
759	1.508				
760	1.348				
761	1.074				
762	0.808				
763	0.613				
764	0.471				
765	0.377				
766	0.31				
767	0.263				
768	0.228				
769	0.208				
770	0.19				
771	0.179				
772	0.168				
773	0.165				
774	0.158				
775	0.149				
776	0.15				
777	0.151				
778	0.156				
779	0.156				
780	0.163				
781	0.162				
782	0.175				
783	0.183				
784	0.183				
785	0.2				
786	0.211				
787	0.23				
788	0.237				
789	0.249				
790	0.27				
791	0.291				
792	0.297				
793	0.322				
794	0.34				
795	0.364				
796	0.375				
797	0.392				
798	0.414				
799	0.431				
800	0.456				
801	0.491				
802	0.514				
803	0.547				
804	0.588				
805	0.626				
806	0.676				
807	0.745				
808	0.816				
809	0.899				
810	0.995				
811	1.124				
812	1.243				
813	1.364				
814	1.458				
815	1.482				
816	1.434				
817	1.309				
818	1.133				
819	0.948				
820	0.768				
821	0.616				
822	0.502				
823	0.412				
824	0.348				
825	0.314				
826	0.306				
827	0.313				
828	0.316				
829	0.311				
830	0.302				
831	0.349				
832	0.596				
833	0.956				
834	0.96				
835	0.687				
836	0.318				
837	0.136				
838	0.105				
839	0.098				
840	0.105				
841	0.101				
842	0.112				
843	0.125				
844	0.144				
845	0.165				
846	0.213				
847	0.274				
848	0.375				
849	0.577				
850	0.935				
851	1.546				
852	2.208				
853	2.37				
854	1.803				
855	1.09				
856	0.614				
857	0.355				
858	0.23				
859	0.164				
860	0.117				
861	0.095				
862	0.071				
863	0.054				
864	0.042				
865	0.037				
866	0.035				
867	0.03				
868	0.032				
869	0.025				
870	0.022				
871	0.023				
872	0.02				
873	0.016				
874	0.021				
875	0.013				
876	0.02				
877	0.018				
878	0.02				
879	0.019				
880	0.022				
881	0.02				
882	0.022				
883	0.026				
884	0.029				
885	0.03				
886	0.035				
887	0.043				
888	0.049				
889	0.059				
890	0.075				
891	0.093				
892	0.116				
893	0.162				
894	0.234				
895	0.339				
896	0.504				
897	0.682				
898	0.828				
899	0.849				
900	0.745				
901	0.575				
902	0.421				
903	0.303				
904	0.22				
905	0.173				
906	0.139				
907	0.111				
908	0.095				
909	0.082				
910	0.073				
911	0.066				
912	0.061				
913	0.056				
914	0.054				
915	0.052				
916	0.052				
917	0.051				
918	0.05				
919	0.049				
920	0.049				
921	0.051				
922	0.059				
923	0.063				
924	0.076				
925	0.1				
926	0.116				
927	0.117				
928	0.11				
929	0.108				
930	0.11				
931	0.125				
932	0.145				
933	0.169				
934	0.192				
935	0.232				
936	0.28				
937	0.34				
938	0.421				
939	0.535				
940	0.681				
941	0.879				
942	1.133				
943	1.448				
944	1.798				
945	2.137				
946	2.398				
947	2.529				
948	2.506				
949	2.363				
950	2.145				
951	1.913				
952	1.682				
953	1.474				
954	1.292				
955	1.131				
956	0.992				
957	0.871				
958	0.766				
959	0.676				
960	0.596				
961	0.529				
962	0.473				
963	0.43				
964	0.397				
965	0.383				
966	0.358				
967	0.313				
968	0.259				
969	0.213				
970	0.182				
971	0.156				
972	0.138				
973	0.126				
974	0.113				
975	0.103				
976	0.097				
977	0.09				
978	0.084				
979	0.079				
980	0.075				
981	0.073				
982	0.068				
983	0.071				
984	0.065				
985	0.066				
986	0.06				
987	0.061				
988	0.065				
989	0.065				
990	0.066				
991	0.068				
992	0.067				
993	0.075				
994	0.077				
995	0.082				
996	0.085				
997	0.094				
998	0.103				
999	0.117				
1000	0.126				
1001	0.14				
1002	0.159				
1003	0.184				
1004	0.216				
1005	0.261				
1006	0.314				
1007	0.389				
1008	0.499				
1009	0.653				
1010	0.869				
1011	1.192				
1012	1.603				
1013	2.018				
1014	2.346				
1015	2.424				
1016	2.235				
1017	1.855				
1018	1.456				
1019	1.092				
1020	0.829				
1021	0.64				
1022	0.509				
1023	0.419				
1024	0.352				
1025	0.297				
1026	0.258				
1027	0.23				
1028	0.207				
1029	0.185				
1030	0.17				
1031	0.16				
1032	0.15				
1033	0.142				
1034	0.134				
1035	0.133				
1036	0.127				
1037	0.123				
1038	0.128				
1039	0.132				
1040	0.141				
1041	0.149				
1042	0.191				
1043	0.247				
1044	0.274				
1045	0.248				
1046	0.203				
1047	0.172				
1048	0.171				
1049	0.172				
1050	0.182				
1051	0.195				
1052	0.202				
1053	0.218				
1054	0.237				
1055	0.265				
1056	0.291				
1057	0.324				
1058	0.369				
1059	0.414				
1060	0.47				
1061	0.547				
1062	0.623				
1063	0.721				
1064	0.834				
1065	0.966				
1066	1.121				
1067	1.284				
1068	1.461				
1069	1.636				
1070	1.794				
1071	1.912				
1072	1.982				
1073	2.005				
1074	1.983				
1075	1.912				
1076	1.819				
1077	1.705				
1078	1.601				
1079	1.492				
1080	1.389				
1081	1.318				
1082	1.246				
1083	1.183				
1084	1.143				
1085	1.108				
1086	1.081				
1087	1.064				
1088	1.062				
1089	1.076				
1090	1.08				
1091	1.114				
1092	1.173				
1093	1.22				
1094	1.26				
1095	1.326				
1096	1.364				
1097	1.421				
1098	1.489				
1099	1.591				
1100	1.708				
