Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	2.829		Chroma		ZT405/488/532/640rpc-XT
381	3.261				
382	3.868				
383	10.459				
384	18.723				
385	16.106				
386	7.4				
387	2.973				
388	2.382				
389	3.771				
390	6.708				
391	9.01				
392	12.603				
393	15.906				
394	11.224				
395	3.885				
396	2.136				
397	2.906				
398	4.856				
399	9.656				
400	13.937				
401	8.308				
402	1.894				
403	1.045				
404	0.936				
405	0.629				
406	0.332				
407	0.236				
408	0.2				
409	0.197				
410	0.21				
411	0.226				
412	0.297				
413	0.569				
414	2.063				
415	8.698				
416	24.413				
417	41.342				
418	48.645				
419	53.908				
420	68.241				
421	86.422				
422	94.025				
423	94.972				
424	95.171				
425	96.143				
426	97.145				
427	97.203				
428	96.993				
429	97.173				
430	97.219				
431	97.066				
432	97.249				
433	97.648				
434	98.017				
435	98.347				
436	98.444				
437	97.946				
438	96.935				
439	96.048				
440	95.846				
441	96.301				
442	96.6				
443	96.602				
444	96.458				
445	96.32				
446	96.587				
447	97.063				
448	97.303				
449	97.324				
450	96.77				
451	95.514				
452	94.261				
453	94.09				
454	95.067				
455	96.155				
456	96.5				
457	96.215				
458	96.004				
459	96.404				
460	97.022				
461	97.238				
462	97.012				
463	96.748				
464	96.706				
465	96.68				
466	96.365				
467	95.923				
468	95.655				
469	96.176				
470	96.979				
471	97.025				
472	96.503				
473	96.277				
474	96.339				
475	96.429				
476	95.855				
477	91.657				
478	76.261				
479	49.91				
480	25.317				
481	12.464				
482	6.387				
483	3.735				
484	2.52				
485	1.906				
486	1.623				
487	1.519				
488	1.564				
489	1.785				
490	2.263				
491	3.183				
492	5.129				
493	9.092				
494	17.291				
495	30.141				
496	45.064				
497	56.254				
498	68.309				
499	83.668				
500	93.426				
501	96.205				
502	96.942				
503	97.253				
504	96.68				
505	95.982				
506	96.134				
507	96.949				
508	97.564				
509	97.233				
510	96.421				
511	95.934				
512	96.002				
513	96.4				
514	96.711				
515	96.785				
516	96.751				
517	96.816				
518	96.759				
519	96.314				
520	95.75				
521	95.625				
522	94.255				
523	85.498				
524	65.219				
525	39.582				
526	21.228				
527	12.113				
528	7.391				
529	4.969				
530	3.706				
531	2.939				
532	2.48				
533	2.277				
534	2.231				
535	2.332				
536	2.606				
537	3.105				
538	4.014				
539	5.496				
540	7.994				
541	12.084				
542	19.148				
543	29.387				
544	40.627				
545	50.584				
546	57.984				
547	66.353				
548	77.891				
549	89.503				
550	94.591				
