Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
351	36.195		Chroma		ZT405/488/561/640rpcv2
352	22.93				
353	7.146				
354	2.897				
355	4.764				
356	5.871				
357	5.457				
358	4.997				
359	3.034				
360	2.716				
361	5.562				
362	8.301				
363	11.561				
364	8.144				
365	2.877				
366	3.025				
367	4.39				
368	7.185				
369	5.68				
370	3.568				
371	0.902				
372	0.066				
373	0.092				
374	0.188				
375	0.789				
376	2.372				
377	2.049				
378	0.808				
379	0.23				
380	0.018				
381	0.264				
382	0.394				
383	0.122				
384	0.143				
385	0.202				
386	0.213				
387	1.061				
388	0.753				
389	0.705				
390	0.722				
391	0.593				
392	0.819				
393	0.738				
394	0.468				
395	0.546				
396	0.864				
397	0.673				
398	0.408				
399	0.369				
400	0.662				
401	1.201				
402	1.573				
403	1.534				
404	0.894				
405	0.567				
406	0.627				
407	0.774				
408	1.169				
409	2.798				
410	8.661				
411	25.116				
412	39.793				
413	49.598				
414	67.114				
415	86.865				
416	93.252				
417	93.961				
418	95.407				
419	96.602				
420	97.186				
421	97.072				
422	97.334				
423	97.091				
424	96.627				
425	96.632				
426	96.347				
427	96.495				
428	96.623				
429	96.495				
430	96.926				
431	97.566				
432	97.198				
433	96.882				
434	97.452				
435	97.621				
436	97.562				
437	97.166				
438	95.759				
439	94.985				
440	96.333				
441	97.386				
442	96.756				
443	96.457				
444	97.058				
445	97.147				
446	97.572				
447	97.73				
448	97.297				
449	96.704				
450	96.594				
451	96.642				
452	95.785				
453	95.753				
454	96.905				
455	97.718				
456	97.652				
457	96.783				
458	95.18				
459	94.138				
460	94.271				
461	96.25				
462	97.19				
463	96.93				
464	97.202				
465	97.221				
466	95.832				
467	94.993				
468	95.51				
469	96.071				
470	97.217				
471	97.709				
472	97.553				
473	97.132				
474	96.198				
475	92.23				
476	79.139				
477	58.995				
478	39.08				
479	18.204				
480	7.232				
481	3.299				
482	2.091				
483	1.745				
484	1.714				
485	1.724				
486	1.449				
487	1.026				
488	0.775				
489	0.675				
490	0.711				
491	0.864				
492	1.276				
493	2.271				
494	5.571				
495	14.709				
496	32.991				
497	48.362				
498	61.606				
499	82.96				
500	92.387				
501	94.481				
502	94.965				
503	95.337				
504	96.572				
505	94.996				
506	92.072				
507	91.118				
508	93.439				
509	95.591				
510	97.018				
511	96.687				
512	96.514				
513	95.818				
514	94.877				
515	94.357				
516	95.457				
517	96.902				
518	97.332				
519	97.326				
520	97.137				
521	97.263				
522	97.491				
523	97.409				
524	96.348				
525	96.077				
526	96.254				
527	96.749				
528	97.471				
529	97.749				
530	97.607				
531	97.086				
532	96.36				
533	95.986				
534	95.874				
535	96.322				
536	96.958				
537	97.23				
538	97.029				
539	97.067				
540	97.309				
541	97.268				
542	96.878				
543	96.198				
544	95.995				
545	96.398				
546	96.79				
547	95.766				
548	92.166				
549	81.909				
550	66.091				
551	52.668				
552	38.348				
553	21.454				
554	10.037				
555	4.895				
556	2.714				
557	1.803				
558	1.264				
559	0.997				
560	0.884				
561	0.837				
562	0.873				
563	0.996				
564	1.252				
565	1.706				
566	2.629				
567	4.528				
568	8.576				
569	17.071				
570	30.202				
571	48.754				
572	68.016				
573	85.242				
574	92.949				
575	94.687				
576	96.086				
577	96.855				
578	96.457				
579	96.161				
580	96.657				
581	96.739				
582	96.082				
583	94.923				
584	94.366				
585	94.727				
586	95.865				
587	97.171				
588	97.634				
589	97.82				
590	97.762				
591	97.669				
592	97.685				
593	97.586				
594	97.291				
595	97.181				
596	97.163				
597	97.283				
598	97.468				
599	97.578				
600	97.439				
601	97.444				
602	97.482				
603	97.234				
604	97.148				
605	97.111				
606	96.793				
607	96.699				
608	96.874				
609	97.461				
610	97.715				
611	97.689				
612	97.239				
613	96.86				
614	96.299				
615	95.889				
616	96.222				
617	96.479				
618	96.1				
619	93.544				
620	83.577				
621	69.57				
622	55.398				
623	49.428				
624	46.106				
625	39.862				
626	27.007				
627	14.665				
628	7.297				
629	3.86				
630	2.073				
631	1.34				
632	0.877				
633	0.637				
634	0.476				
635	0.382				
636	0.325				
637	0.291				
638	0.268				
639	0.265				
640	0.266				
641	0.293				
642	0.324				
643	0.383				
644	0.475				
645	0.617				
646	0.854				
647	1.275				
648	2.051				
649	3.656				
650	7.259				
651	14.403				
652	25.826				
653	38.693				
654	50.883				
655	63.246				
656	76.596				
657	89.512				
658	94.284				
659	95.432				
660	96.526				
661	97.234				
662	97.336				
663	97.436				
664	97.707				
665	97.926				
666	97.62				
667	96.641				
668	95.394				
669	94.751				
670	94.841				
671	95.769				
672	96.885				
673	98.084				
674	98.469				
675	98.369				
676	97.782				
677	97.478				
678	97.122				
679	96.87				
680	96.69				
681	96.546				
682	96.272				
683	95.983				
684	95.916				
685	96.286				
686	96.791				
687	97.384				
688	97.832				
689	97.929				
690	97.816				
691	97.567				
692	97.301				
693	97.143				
694	97.164				
695	97.359				
696	97.579				
697	97.834				
698	97.882				
699	97.85				
700	97.676				
701	97.446				
702	97.274				
703	97.235				
704	97.188				
705	97.209				
706	97.119				
707	97.055				
708	96.974				
709	97.13				
710	97.305				
711	97.388				
712	97.47				
713	97.473				
714	97.446				
715	97.241				
716	97.021				
717	97.022				
718	97.123				
719	97.434				
720	97.827				
721	98.22				
722	98.357				
723	98.305				
724	97.986				
725	97.455				
726	97.155				
727	96.769				
728	96.609				
729	96.731				
730	97.143				
731	97.545				
732	97.783				
733	97.863				
734	97.762				
735	97.478				
736	97.058				
737	96.785				
738	96.693				
739	96.769				
740	96.89				
741	97.111				
742	97.322				
743	97.174				
744	96.742				
745	96.158				
746	95.464				
747	94.734				
748	94.425				
749	94.559				
750	94.859				
751	95.555				
752	96.352				
753	97.011				
754	96.709				
755	95.395				
756	92.71				
757	89.023				
758	84.379				
759	80.043				
760	76.392				
761	74.152				
762	73.258				
763	74.112				
764	75.674				
765	75.424				
766	70.148				
767	62.076				
768	53.843				
769	48.431				
770	44.93				
771	42.785				
772	41.576				
773	41.759				
774	43.248				
775	45.378				
776	47.426				
777	46.742				
778	42.389				
779	35.191				
780	26.214				
781	18.262				
782	11.903				
783	8.188				
784	6.554				
785	5.236				
786	4.401				
787	4.096				
788	4.099				
789	4.528				
790	5.509				
791	7.574				
792	10.682				
793	12.28				
794	9.633				
795	5.278				
796	2.512				
797	1.253				
798	0.694				
799	0.428				
800	0.294				
801	0.0				
