Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	1.953		Chroma		ZT405/488/561rpc
381	1.938				
382	0.817				
383	0.089				
384	0.046				
385	0.041				
386	0.166				
387	0.369				
388	0.215				
389	0.235				
390	1.632				
391	7.687				
392	4.048				
393	9.277				
394	3.363				
395	0.859				
396	0.254				
397	1.195				
398	7.695				
399	2.26				
400	0.771				
401	0.881				
402	0.303				
403	0.074				
404	0.034				
405	0.039				
406	0.036				
407	0.098				
408	0.479				
409	1.017				
410	0.677				
411	0.526				
412	0.519				
413	0.736				
414	1.323				
415	2.68				
416	6.775				
417	20.754				
418	39.393				
419	43.725				
420	49.535				
421	69.565				
422	88.653				
423	89.313				
424	95.101				
425	95.379				
426	94.617				
427	94.981				
428	94.674				
429	94.719				
430	95.837				
431	96.522				
432	96.562				
433	97.093				
434	96.854				
435	95.183				
436	94.257				
437	95.268				
438	96.249				
439	95.659				
440	95.282				
441	96.002				
442	97.362				
443	97.507				
444	96.54				
445	95.895				
446	95.76				
447	95.548				
448	94.913				
449	94.866				
450	95.821				
451	96.955				
452	96.896				
453	96.291				
454	96.416				
455	97.467				
456	97.827				
457	96.929				
458	96.148				
459	96.364				
460	97.64				
461	98.315				
462	96.882				
463	94.444				
464	93.429				
465	94.65				
466	96.798				
467	97.656				
468	96.838				
469	95.919				
470	96.471				
471	97.73				
472	98.093				
473	97.188				
474	95.831				
475	94.981				
476	94.164				
477	93.547				
478	92.417				
479	82.391				
480	55.252				
481	33.341				
482	15.424				
483	7.097				
484	3.802				
485	2.295				
486	1.577				
487	1.279				
488	1.097				
489	1.044				
490	1.102				
491	1.295				
492	1.596				
493	2.264				
494	3.577				
495	6.236				
496	11.805				
497	21.663				
498	36.106				
499	49.392				
500	62.922				
501	78.826				
502	88.75				
503	91.993				
504	93.263				
505	94.591				
506	95.855				
507	96.74				
508	97.322				
509	97.143				
510	96.237				
511	95.126				
512	94.668				
513	95.34				
514	96.687				
515	97.835				
516	97.987				
517	97.049				
518	95.791				
519	95.384				
520	95.905				
521	96.851				
522	97.162				
523	96.582				
524	95.167				
525	93.67				
526	93.034				
527	93.64				
528	94.976				
529	96.282				
530	96.977				
531	96.714				
532	96.099				
533	95.965				
534	96.607				
535	97.569				
536	97.989				
537	97.132				
538	95.514				
539	94.004				
540	93.744				
541	94.781				
542	96.202				
543	96.74				
544	96.074				
545	95.141				
546	95.608				
547	96.646				
548	89.949				
549	77.67				
550	58.935				
551	38.36				
552	24.847				
553	15.766				
554	10.236				
555	6.977				
556	5.081				
557	3.924				
558	3.256				
559	2.817				
560	2.567				
561	2.509				
562	2.587				
563	2.807				
564	3.222				
565	3.921				
566	5.064				
567	6.934				
568	10.095				
569	15.297				
570	25.106				
571	37.899				
572	53.626				
573	70.682				
574	84.906				
575	92.372				
576	93.262				
577	92.881				
578	93.824				
579	95.641				
580	96.959				
581	96.67				
582	95.07				
583	93.167				
584	91.953				
585	92.04				
586	93.253				
587	95.107				
588	96.837				
589	97.65				
590	97.078				
591	95.684				
592	94.125				
593	92.984				
594	92.746				
595	93.348				
596	94.667				
597	96.153				
598	97.223				
599	97.746				
600	97.478				
601	96.764				
602	95.928				
603	95.445				
604	95.334				
605	95.842				
606	96.62				
607	97.415				
608	98.071				
609	98.221				
610	97.988				
611	97.334				
612	96.633				
613	96.078				
614	95.685				
615	95.72				
616	95.945				
617	96.396				
618	96.836				
619	96.956				
620	96.926				
621	96.602				
622	96.07				
623	95.414				
624	94.85				
625	94.443				
626	94.431				
627	94.631				
628	95.18				
629	95.888				
630	96.541				
631	97.131				
632	97.489				
633	97.637				
634	97.576				
635	97.342				
636	97.109				
637	96.805				
638	96.502				
639	96.472				
640	96.492				
641	96.663				
642	97.038				
643	97.396				
644	97.715				
645	98.036				
646	98.298				
647	98.429				
648	98.366				
649	98.236				
650	97.894				
651	97.617				
652	97.199				
653	96.961				
654	96.829				
655	96.744				
656	96.819				
657	96.942				
658	97.119				
659	97.295				
660	97.484				
661	97.531				
662	97.54				
663	97.514				
664	97.521				
665	97.407				
666	97.487				
667	97.594				
668	97.706				
669	98.015				
670	98.155				
671	98.324				
672	98.435				
673	98.142				
674	97.702				
675	97.36				
676	96.649				
677	96.017				
678	95.437				
679	95.086				
680	94.923				
681	94.981				
682	95.307				
683	95.731				
684	96.525				
685	97.041				
686	97.542				
687	97.892				
688	98.203				
689	98.178				
690	98.126				
691	98.022				
692	97.956				
693	97.939				
694	97.919				
695	98.035				
696	98.202				
697	98.268				
698	98.223				
699	97.907				
700	97.282				
701	96.256				
702	94.961				
703	92.966				
704	90.638				
705	87.927				
706	84.719				
707	81.967				
708	79.262				
709	76.572				
710	73.42				
711	70.285				
712	66.977				
713	63.39				
714	60.438				
715	58.263				
716	57.3				
717	57.673				
718	59.142				
719	59.999				
720	58.995				
721	55.483				
722	50.507				
723	44.761				
724	40.914				
725	39.038				
726	38.959				
727	40.499				
728	42.981				
729	46.074				
730	49.231				
731	50.718				
732	50.729				
733	49.341				
734	46.848				
735	43.625				
736	41.32				
737	39.978				
738	39.56				
739	39.776				
740	40.047				
741	39.097				
742	36.188				
743	30.972				
744	23.909				
745	18.442				
746	13.245				
747	10.022				
748	7.665				
749	6.246				
750	5.097				
