Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.16		Chroma	rpc	ZT440-445/488-491/594 rpc
381	0.178				
382	0.204				
383	0.459				
384	1.39				
385	5.974				
386	9.202				
387	4.725				
388	0.511				
389	0.404				
390	0.803				
391	0.982				
392	0.665				
393	1.828				
394	4.249				
395	3.765				
396	1.679				
397	1.723				
398	7.702				
399	16.203				
400	23.685				
401	25.824				
402	18.449				
403	13.045				
404	12.189				
405	7.182				
406	2.01				
407	1.781				
408	7.364				
409	16.545				
410	16.402				
411	8.816				
412	5.823				
413	11.804				
414	25.718				
415	36.393				
416	42.63				
417	44.526				
418	39.885				
419	33.335				
420	35.268				
421	29.784				
422	13.899				
423	12.5				
424	18.189				
425	12.466				
426	4.138				
427	1.751				
428	2.097				
429	3.334				
430	4.743				
431	5.248				
432	5.119				
433	5.759				
434	6.574				
435	4.766				
436	1.826				
437	0.595				
438	0.348				
439	0.263				
440	0.276				
441	0.275				
442	0.273				
443	0.277				
444	0.267				
445	0.331				
446	0.542				
447	1.357				
448	4.974				
449	16.504				
450	33.712				
451	45.505				
452	49.445				
453	58.821				
454	77.547				
455	91.699				
456	96.081				
457	96.43				
458	95.999				
459	95.587				
460	95.2				
461	95.507				
462	96.759				
463	97.252				
464	96.312				
465	95.462				
466	96.007				
467	96.491				
468	96.361				
469	96.176				
470	96.365				
471	96.298				
472	95.696				
473	94.92				
474	94.885				
475	95.361				
476	95.936				
477	96.376				
478	96.311				
479	92.844				
480	79.656				
481	52.631				
482	26.64				
483	11.124				
484	5.213				
485	2.794				
486	1.789				
487	1.33				
488	1.109				
489	1.041				
490	1.066				
491	1.209				
492	1.504				
493	2.136				
494	3.326				
495	5.67				
496	10.692				
497	20.932				
498	34.676				
499	45.618				
500	52.834				
501	61.929				
502	76.45				
503	89.146				
504	94.815				
505	95.252				
506	94.273				
507	93.822				
508	94.253				
509	95.267				
510	96.321				
511	96.803				
512	97.098				
513	97.135				
514	97.238				
515	96.857				
516	96.338				
517	96.159				
518	96.264				
519	96.752				
520	96.986				
521	96.462				
522	95.54				
523	94.895				
524	94.952				
525	95.803				
526	96.445				
527	96.346				
528	95.647				
529	94.821				
530	94.597				
531	95.154				
532	96.015				
533	96.978				
534	97.295				
535	97.099				
536	96.657				
537	96.527				
538	96.702				
539	97.149				
540	97.399				
541	97.464				
542	97.244				
543	97.019				
544	96.965				
545	97.052				
546	97.192				
547	97.338				
548	97.29				
549	97.377				
550	97.487				
551	97.354				
552	97.149				
553	96.765				
554	96.476				
555	96.14				
556	96.014				
557	96.456				
558	96.809				
559	97.1				
560	97.029				
561	96.538				
562	96.02				
563	95.688				
564	95.54				
565	95.867				
566	96.492				
567	97.046				
568	97.334				
569	97.176				
570	96.639				
571	96.03				
572	95.643				
573	95.861				
574	96.592				
575	96.959				
576	95.764				
577	91.029				
578	82.558				
579	72.011				
580	61.932				
581	53.475				
582	45.723				
583	37.737				
584	28.325				
585	19.489				
586	12.706				
587	7.988				
