Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.0		Chroma		ZT440/488/561/635rpc
381	0.004				
382	0.34				
383	2.163				
384	4.31				
385	3.387				
386	0.717				
387	1.607				
388	1.606				
389	2.476				
390	6.167				
391	12.474				
392	17.61				
393	14.035				
394	5.185				
395	1.051				
396	1.965				
397	1.9				
398	0.384				
399	0.297				
400	0.735				
401	0.48				
402	0.023				
403	0.099				
404	0.061				
405	0.072				
406	0.301				
407	0.644				
408	0.528				
409	0.651				
410	1.711				
411	5.697				
412	9.845				
413	6.206				
414	4.187				
415	5.088				
416	2.473				
417	0.292				
418	0.062				
419	0.108				
420	0.47				
421	3.43				
422	9.161				
423	11.458				
424	8.988				
425	4.434				
426	1.747				
427	0.777				
428	2.252				
429	8.746				
430	11.051				
431	6.642				
432	6.926				
433	12.138				
434	8.929				
435	2.555				
436	0.944				
437	1.077				
438	1.549				
439	1.565				
440	1.12				
441	1.01				
442	1.268				
443	1.992				
444	4.337				
445	10.159				
446	21.72				
447	33.967				
448	43.53				
449	53.459				
450	73.49				
451	93.092				
452	98.311				
453	98.061				
454	97.737				
455	97.688				
456	97.522				
457	98.023				
458	98.328				
459	97.355				
460	96.974				
461	97.843				
462	98.343				
463	97.645				
464	96.726				
465	97.396				
466	98.287				
467	98.154				
468	97.647				
469	97.745				
470	98.173				
471	98.228				
472	97.605				
473	97.166				
474	97.126				
475	97.231				
476	97.081				
477	96.567				
478	95.786				
479	95.285				
480	87.443				
481	64.026				
482	32.451				
483	14.012				
484	6.429				
485	3.904				
486	2.866				
487	2.545				
488	2.686				
489	3.363				
490	4.872				
491	8.439				
492	15.959				
493	28.236				
494	41.165				
495	54.386				
496	68.224				
497	84.645				
498	95.351				
499	97.072				
500	97.518				
501	98.483				
502	98.529				
503	97.846				
504	97.786				
505	98.22				
506	98.678				
507	98.889				
508	98.769				
509	99.0				
510	98.555				
511	98.173				
512	97.044				
513	96.499				
514	96.237				
515	96.096				
516	95.725				
517	96.032				
518	96.034				
519	96.447				
520	96.96				
521	97.457				
522	97.62				
523	97.49				
524	97.386				
525	97.413				
526	97.958				
527	98.327				
528	98.696				
529	98.596				
530	98.108				
531	97.351				
532	96.748				
533	96.438				
534	96.378				
535	96.649				
536	97.136				
537	97.58				
538	97.926				
539	97.78				
540	97.412				
541	97.261				
542	97.289				
543	97.48				
544	97.219				
545	96.182				
546	94.762				
547	94.824				
548	95.901				
549	91.446				
550	73.036				
551	46.335				
552	25.651				
553	14.868				
554	8.988				
555	5.984				
556	4.379				
557	3.515				
558	3.089				
559	2.897				
560	2.924				
561	3.186				
562	3.687				
563	4.653				
564	6.323				
565	8.963				
566	13.723				
567	21.42				
568	31.891				
569	43.312				
570	53.971				
571	63.897				
572	77.454				
573	90.34				
574	96.75				
575	97.664				
576	97.97				
577	98.232				
578	98.502				
579	98.404				
580	97.807				
581	97.627				
582	97.461				
583	97.672				
584	97.78				
585	97.756				
586	97.794				
587	97.203				
588	97.138				
589	97.22				
590	97.756				
591	98.156				
592	98.308				
593	98.339				
594	98.123				
595	97.741				
596	97.731				
597	98.011				
598	98.307				
599	98.527				
600	98.532				
601	97.925				
602	97.165				
603	96.483				
604	96.228				
605	96.518				
606	97.238				
607	98.03				
608	98.552				
609	98.282				
610	97.77				
611	97.118				
612	96.549				
613	96.492				
614	96.936				
615	97.108				
616	96.696				
617	95.769				
618	95.174				
619	96.131				
620	96.921				
621	94.262				
