Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	10.845		Chroma		ZT442dcrb
301	16.24				
302	18.547				
303	21.264				
304	23.187				
305	24.225				
306	25.339				
307	25.27				
308	25.192				
309	24.446				
310	24.463				
311	23.725				
312	24.699				
313	24.308				
314	25.435				
315	24.89				
316	23.341				
317	17.487				
318	9.184				
319	2.113				
320	0.311				
321	0.247				
322	0.222				
323	0.224				
324	0.235				
325	0.454				
326	2.217				
327	13.733				
328	31.558				
329	46.328				
330	64.754				
331	76.91				
332	80.275				
333	81.534				
334	82.148				
335	83.728				
336	84.597				
337	86.054				
338	87.247				
339	87.907				
340	89.108				
341	89.63				
342	89.915				
343	90.975				
344	91.486				
345	92.037				
346	92.39				
347	92.773				
348	93.355				
349	92.924				
350	92.956				
351	93.748				
352	93.485				
353	93.143				
354	94.238				
355	94.492				
356	93.671				
357	94.332				
358	95.163				
359	94.125				
360	94.364				
361	95.06				
362	94.923				
363	94.167				
364	94.717				
365	95.476				
366	95.277				
367	95.029				
368	95.814				
369	96.273				
370	95.578				
371	95.235				
372	95.112				
373	95.354				
374	95.335				
375	95.319				
376	95.185				
377	95.41				
378	95.73				
379	95.783				
380	95.441				
381	95.121				
382	95.252				
383	95.659				
384	95.61				
385	95.046				
386	94.959				
387	95.38				
388	95.613				
389	95.35				
390	95.225				
391	95.753				
392	96.13				
393	96.052				
394	95.845				
395	95.712				
396	95.698				
397	95.818				
398	96.024				
399	96.044				
400	95.9				
401	95.927				
402	95.821				
403	96.083				
404	96.635				
405	96.553				
406	96.368				
407	96.158				
408	96.14				
409	96.607				
410	96.754				
411	96.189				
412	95.895				
413	95.869				
414	96.227				
415	96.154				
416	95.603				
417	95.399				
418	96.056				
419	96.611				
420	96.446				
421	95.696				
422	95.696				
423	96.421				
424	96.67				
425	96.6				
426	96.672				
427	96.436				
428	94.537				
429	91.179				
430	90.129				
431	84.436				
432	64.068				
433	37.964				
434	16.952				
435	7.4				
436	3.363				
437	1.952				
438	1.299				
439	0.97				
440	0.82				
441	0.756				
442	0.748				
443	0.835				
444	0.989				
445	1.286				
446	1.989				
447	3.339				
448	6.813				
449	14.631				
450	29.513				
451	44.02				
452	51.598				
453	59.707				
454	77.197				
455	90.629				
456	92.029				
457	93.403				
458	95.685				
459	96.288				
460	95.395				
461	95.404				
462	96.424				
463	96.952				
464	96.381				
465	95.435				
466	94.667				
467	95.114				
468	96.45				
469	97.525				
470	97.449				
471	96.781				
472	96.12				
473	96.072				
474	96.815				
475	97.67				
476	97.912				
477	97.461				
478	96.605				
479	96.077				
480	96.258				
481	97.134				
482	97.959				
483	98.155				
484	97.488				
485	96.333				
486	95.641				
487	95.631				
488	96.364				
489	97.482				
490	98.139				
491	97.983				
492	97.222				
493	96.24				
494	95.423				
495	95.433				
496	96.202				
497	97.376				
498	98.022				
499	98.153				
500	97.393				
501	96.253				
502	95.297				
503	95.085				
504	95.641				
505	96.652				
506	97.653				
507	97.991				
508	97.648				
509	96.778				
510	95.776				
511	95.117				
512	95.264				
513	96.138				
514	97.019				
515	97.966				
516	98.28				
517	97.953				
518	97.065				
519	96.357				
520	95.82				
521	95.842				
522	96.362				
523	97.222				
524	97.892				
525	98.156				
526	97.863				
527	97.303				
528	96.591				
529	96.205				
530	96.339				
531	96.859				
532	97.596				
533	98.197				
534	98.25				
535	97.941				
536	97.407				
537	96.785				
538	96.177				
539	95.875				
540	96.172				
541	96.921				
542	97.45				
543	97.899				
544	97.974				
545	97.638				
546	97.054				
547	96.306				
548	95.749				
549	95.587				
550	95.63				
551	95.98				
552	96.468				
553	97.096				
554	97.477				
555	97.571				
556	97.188				
557	96.691				
558	96.143				
559	95.791				
560	95.574				
561	95.664				
562	96.138				
563	96.768				
564	97.412				
565	97.858				
566	98.254				
567	98.167				
568	97.693				
569	97.136				
570	96.698				
571	96.368				
572	96.282				
573	96.357				
574	96.703				
575	97.186				
576	97.564				
577	97.649				
578	97.685				
579	97.541				
580	97.251				
581	96.854				
582	96.494				
583	96.318				
584	96.297				
585	96.295				
586	96.399				
587	96.633				
588	97.204				
589	97.429				
590	97.463				
591	97.656				
592	97.601				
593	97.481				
594	97.511				
595	97.293				
596	97.229				
597	97.168				
598	97.364				
599	97.464				
600	97.739				
601	97.786				
602	97.751				
603	97.868				
604	98.001				
605	98.052				
606	98.131				
607	97.994				
608	97.827				
609	97.728				
610	97.695				
611	97.795				
612	97.524				
613	97.504				
614	97.526				
615	97.57				
616	97.591				
617	97.63				
618	97.767				
619	97.799				
620	97.925				
621	98.096				
622	98.227				
623	98.029				
624	97.857				
625	97.826				
626	97.631				
627	97.448				
628	97.323				
629	97.385				
630	97.3				
631	97.489				
632	97.659				
633	97.779				
634	97.919				
635	97.996				
636	98.092				
637	98.216				
638	98.225				
639	97.945				
640	97.624				
641	97.38				
642	97.048				
643	96.955				
644	97.006				
645	97.098				
646	97.176				
647	97.355				
648	97.537				
649	97.732				
650	97.956				
651	97.875				
652	97.836				
653	97.684				
654	97.583				
655	97.389				
656	97.169				
657	96.894				
658	96.803				
659	96.742				
660	96.935				
661	97.034				
662	97.265				
663	97.452				
664	97.625				
665	97.586				
666	97.563				
667	97.738				
668	97.581				
669	97.368				
670	97.362				
671	97.208				
672	96.862				
673	96.402				
674	95.968				
675	95.925				
676	95.835				
677	95.663				
678	95.76				
679	95.858				
680	95.994				
681	96.06				
682	96.298				
683	96.693				
684	96.927				
685	96.929				
686	96.937				
687	96.705				
688	96.606				
689	96.144				
690	95.449				
691	94.969				
692	94.505				
693	94.086				
694	93.658				
695	93.29				
696	93.364				
697	93.369				
698	93.442				
699	93.752				
700	94.045				
701	94.457				
702	94.803				
703	95.293				
704	95.596				
705	95.915				
706	95.977				
707	95.925				
708	95.648				
709	95.339				
710	94.677				
711	93.74				
712	92.8				
713	91.848				
714	91.151				
715	90.356				
716	89.689				
717	89.315				
718	89.146				
719	89.206				
720	89.479				
721	89.979				
722	90.673				
723	91.518				
724	92.326				
725	93.238				
726	93.963				
727	94.532				
728	94.714				
729	94.518				
730	93.92				
731	92.891				
732	91.689				
733	90.08				
734	88.447				
735	86.716				
736	85.263				
737	83.924				
738	83.007				
739	82.404				
740	82.322				
741	82.65				
742	83.381				
743	84.6				
744	86.176				
745	87.761				
746	89.512				
747	91.085				
748	92.663				
749	93.696				
750	94.076				
751	93.655				
752	92.458				
753	90.715				
754	88.354				
755	85.859				
756	83.036				
757	80.497				
758	78.307				
759	76.421				
760	75.095				
761	74.356				
762	74.084				
763	74.467				
764	75.245				
765	76.595				
766	78.648				
767	80.958				
768	83.455				
769	86.204				
770	88.805				
771	90.803				
772	92.311				
773	92.979				
774	92.472				
775	90.745				
776	87.762				
777	84.034				
778	79.976				
779	75.971				
780	72.345				
781	68.854				
782	66.031				
783	63.807				
784	62.107				
785	61.062				
786	60.661				
787	60.818				
788	61.606				
789	63.058				
790	65.114				
791	67.933				
792	71.128				
793	74.945				
794	79.207				
795	83.697				
796	87.633				
797	90.581				
798	91.859				
799	91.085				
800	87.965				
801	82.798				
802	76.792				
803	70.385				
804	64.21				
805	58.701				
806	53.801				
807	49.45				
808	45.993				
809	42.99				
810	40.403				
811	38.313				
812	36.612				
813	35.258				
814	34.182				
815	33.31				
816	32.657				
817	32.256				
818	32.108				
819	32.168				
820	32.435				
821	32.893				
822	33.38				
823	34.087				
824	34.82				
825	35.641				
826	36.529				
827	37.424				
828	38.314				
829	39.309				
830	40.191				
831	41.022				
832	41.817				
833	42.465				
834	43.007				
835	43.321				
836	43.422				
837	43.325				
838	43.061				
839	42.507				
840	41.825				
841	40.963				
842	39.967				
843	38.946				
844	37.781				
845	36.605				
846	35.511				
847	34.42				
848	33.336				
849	32.173				
850	31.177				
851	30.384				
852	29.677				
853	29.108				
854	28.662				
855	28.273				
856	28.032				
857	27.941				
858	27.961				
859	28.125				
860	28.422				
861	28.895				
862	29.602				
863	30.424				
864	31.365				
865	32.543				
866	33.856				
867	35.352				
868	37.224				
869	39.345				
870	41.585				
871	44.18				
872	47.011				
873	50.224				
874	53.421				
875	56.738				
876	60.289				
877	63.69				
878	66.971				
879	70.217				
880	73.025				
881	75.538				
882	77.371				
883	78.329				
884	78.236				
885	77.075				
886	74.937				
887	72.247				
888	68.935				
889	65.797				
890	62.589				
891	59.823				
892	57.254				
893	55.118				
894	53.578				
895	52.373				
896	51.641				
897	51.229				
898	51.193				
899	51.52				
900	52.055				
901	52.965				
902	54.215				
903	55.616				
904	57.306				
905	59.175				
906	61.119				
907	63.357				
908	65.555				
909	67.684				
910	69.811				
911	71.871				
912	73.56				
913	74.987				
914	75.998				
915	76.457				
916	76.345				
917	75.655				
918	74.354				
919	72.654				
920	70.843				
921	68.756				
922	66.615				
923	64.434				
924	62.591				
925	60.895				
926	59.37				
927	58.111				
928	57.129				
929	56.479				
930	56.085				
931	55.954				
932	56.019				
933	56.324				
934	56.868				
935	57.637				
936	58.618				
937	59.767				
938	60.895				
939	62.347				
940	63.963				
941	65.599				
942	67.233				
943	68.819				
944	70.242				
945	71.487				
946	72.466				
947	73.1				
948	73.437				
949	73.457				
950	73.043				
951	72.284				
952	71.345				
953	70.065				
954	68.637				
955	67.188				
956	65.649				
957	64.127				
958	62.564				
959	61.198				
960	59.975				
961	58.93				
962	58.18				
963	57.549				
964	57.151				
965	56.897				
966	56.837				
967	56.949				
968	57.218				
969	57.629				
970	58.248				
971	59.024				
972	59.922				
973	60.885				
974	61.929				
975	63.032				
976	64.154				
977	65.417				
978	66.581				
979	67.572				
980	68.511				
981	69.467				
982	69.958				
983	70.342				
984	70.53				
985	70.464				
986	70.153				
987	69.596				
988	68.782				
989	67.78				
990	66.615				
991	65.383				
992	64.11				
993	62.906				
994	61.836				
995	60.687				
996	59.682				
997	58.825				
998	58.117				
999	57.492				
1000	57.016				
