Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	2.619		Chroma		ZT473/546/633/700/780rpc
381	2.933				
382	3.38				
383	3.406				
384	1.857				
385	0.563				
386	0.395				
387	1.488				
388	6.347				
389	9.213				
390	6.703				
391	7.386				
392	10.409				
393	6.461				
394	1.199				
395	0.357				
396	0.299				
397	1.113				
398	5.097				
399	7.644				
400	4.073				
401	1.361				
402	3.584				
403	6.313				
404	3.818				
405	0.598				
406	0.113				
407	0.101				
408	0.07				
409	0.098				
410	0.133				
411	0.129				
412	0.691				
413	3.491				
414	6.65				
415	5.425				
416	2.194				
417	1.045				
418	1.51				
419	4.038				
420	12.377				
421	23.781				
422	26.726				
423	20.671				
424	13.622				
425	9.815				
426	9.24				
427	8.634				
428	8.113				
429	8.372				
430	10.464				
431	15.617				
432	24.844				
433	38.93				
434	54.393				
435	62.279				
436	56.281				
437	37.834				
438	21.236				
439	11.931				
440	8.414				
441	8.193				
442	12.042				
443	25.357				
444	41.328				
445	31.824				
446	13.563				
447	4.258				
448	2.147				
449	1.468				
450	1.217				
451	1.215				
452	1.422				
453	1.98				
454	3.28				
455	6.986				
456	17.435				
457	39.485				
458	47.888				
459	31.728				
460	14.347				
461	5.345				
462	2.366				
463	1.185				
464	0.7				
465	0.469				
466	0.352				
467	0.315				
468	0.291				
469	0.269				
470	0.289				
471	0.341				
472	0.406				
473	0.541				
474	0.779				
475	1.283				
476	2.202				
477	4.074				
478	8.489				
479	17.994				
480	30.386				
481	43.676				
482	50.27				
483	56.304				
484	65.046				
485	78.394				
486	88.69				
487	92.533				
488	93.688				
489	94.501				
490	95.574				
491	96.484				
492	97.129				
493	97.323				
494	96.266				
495	94.362				
496	92.596				
497	91.53				
498	91.82				
499	93.123				
500	94.895				
501	96.175				
502	96.528				
503	96.115				
504	95.464				
505	95.095				
506	95.367				
507	95.911				
508	96.143				
509	96.215				
510	95.615				
511	94.61				
512	93.662				
513	93.239				
514	93.494				
515	94.227				
516	95.322				
517	96.316				
518	97.223				
519	97.783				
520	98.279				
521	98.571				
522	98.642				
523	98.261				
524	97.349				
525	96.295				
526	95.488				
527	95.255				
528	95.831				
529	95.218				
530	90.861				
531	80.896				
532	66.214				
533	50.294				
534	36.731				
535	25.493				
536	17.853				
537	12.998				
538	9.623				
539	7.465				
540	5.855				
541	5.019				
542	4.476				
543	4.139				
544	4.018				
545	4.054				
546	4.273				
547	4.711				
548	5.432				
549	6.504				
550	8.22				
551	11.113				
552	15.168				
553	20.915				
554	29.315				
555	39.508				
556	50.673				
557	61.094				
558	70.617				
559	80.371				
560	88.115				
561	92.027				
562	92.576				
563	92.041				
564	91.796				
565	92.5				
566	93.803				
567	95.272				
568	96.389				
569	97.102				
570	97.348				
571	97.15				
572	96.784				
573	96.557				
574	96.368				
575	96.317				
576	96.386				
577	96.557				
578	96.592				
579	96.533				
580	96.594				
581	96.566				
582	96.568				
583	96.55				
584	96.696				
585	96.809				
586	96.947				
587	97.033				
588	97.282				
589	97.423				
590	97.608				
591	97.572				
592	97.798				
593	97.831				
594	97.939				
595	98.054				
596	98.063				
597	97.908				
598	97.732				
599	97.378				
600	96.984				
601	96.569				
602	96.25				
603	96.055				
604	96.152				
605	96.384				
606	96.886				
607	97.429				
608	97.995				
609	98.388				
610	98.588				
611	98.509				
612	98.223				
613	97.738				
614	96.552				
615	94.324				
616	90.374				
617	84.054				
618	75.496				
619	65.592				
620	55.212				
621	44.982				
622	35.714				
623	27.781				
624	21.593				
625	16.808				
626	13.249				
627	10.653				
628	8.775				
629	7.385				
630	6.352				
631	5.445				
632	4.709				
633	4.32				
634	4.023				
635	3.847				
636	3.763				
637	3.756				
638	3.826				
639	3.959				
640	4.207				
641	4.554				
642	5.1				
643	6.044				
644	6.993				
645	8.245				
646	10.032				
647	12.665				
648	16.125				
649	20.881				
650	27.073				
651	35.249				
652	44.414				
653	54.963				
654	65.223				
655	75.447				
656	85.202				
657	91.945				
658	94.161				
659	92.822				
660	90.574				
661	89.515				
662	90.006				
663	91.732				
664	94.067				
665	95.996				
666	96.992				
667	96.854				
668	95.609				
669	93.741				
670	92.324				
671	92.174				
672	93.335				
673	95.38				
674	96.748				
675	95.321				
676	89.504				
677	79.056				
678	65.369				
679	52.406				
680	41.212				
681	32.135				
682	24.826				
683	19.733				
684	15.91				
685	12.909				
686	10.814				
687	9.226				
688	8.047				
689	7.106				
690	6.432				
691	5.921				
692	5.552				
693	5.279				
694	5.111				
695	5.032				
696	5.046				
697	5.113				
698	5.284				
699	5.528				
700	5.882				
701	6.379				
702	6.987				
703	7.785				
704	8.859				
705	10.178				
706	11.984				
707	14.234				
708	17.008				
709	20.569				
710	25.22				
711	30.41				
712	36.908				
713	43.714				
714	51.499				
715	59.371				
716	68.238				
717	76.777				
718	85.206				
719	91.571				
720	95.424				
721	96.868				
722	96.383				
723	95.268				
724	94.24				
725	93.754				
726	93.778				
727	94.285				
728	95.016				
729	96.039				
730	96.905				
731	97.657				
732	98.156				
733	98.466				
734	98.62				
735	98.711				
736	98.681				
737	98.64				
738	98.707				
739	98.735				
740	98.869				
741	98.893				
742	98.757				
743	98.61				
744	98.455				
745	98.305				
746	98.176				
747	98.049				
748	98.024				
749	98.172				
750	98.324				
751	98.03				
752	96.984				
753	94.833				
754	91.275				
755	85.582				
756	78.232				
757	70.315				
758	61.818				
759	53.321				
760	45.45				
761	38.346				
762	32.505				
763	27.245				
764	22.855				
765	19.28				
766	16.438				
767	14.226				
768	12.313				
769	10.769				
770	9.541				
771	8.587				
772	7.743				
773	7.066				
774	6.534				
775	6.091				
776	5.739				
777	5.472				
778	5.28				
779	5.087				
780	4.81				
781	4.758				
782	4.765				
783	4.828				
784	4.953				
785	5.11				
786	5.329				
787	5.62				
788	6.114				
789	6.742				
790	7.338				
791	8.013				
792	8.875				
793	9.888				
794	11.132				
795	12.637				
796	14.407				
797	16.639				
798	19.676				
799	22.87				
800	26.91				
801	31.601				
802	36.974				
803	42.901				
804	49.238				
805	55.857				
806	62.725				
807	69.79				
808	77.055				
809	84.048				
810	89.807				
811	93.476				
812	94.778				
813	94.108				
814	92.305				
815	90.41				
816	88.872				
817	88.029				
818	87.87				
819	88.42				
820	89.461				
821	90.896				
822	92.597				
823	94.327				
824	95.99				
825	97.269				
826	98.213				
827	98.641				
828	98.517				
829	98.092				
830	97.323				
831	96.434				
832	95.61				
833	94.834				
834	94.217				
835	93.989				
836	93.974				
837	94.156				
838	94.624				
839	95.303				
840	95.973				
841	96.635				
842	97.325				
843	97.89				
844	98.15				
845	98.271				
846	98.023				
847	97.698				
848	96.988				
849	96.152				
850	95.317				
851	94.515				
852	93.753				
853	93.176				
854	92.759				
855	92.556				
856	92.6				
857	92.932				
858	93.401				
859	93.866				
860	94.256				
861	94.646				
862	94.911				
863	94.938				
864	94.752				
865	94.451				
866	94.12				
867	93.753				
868	93.696				
869	93.862				
870	94.166				
871	94.419				
872	94.063				
873	92.382				
874	88.373				
875	82.538				
876	74.943				
877	67.75				
878	61.464				
879	56.145				
880	52.325				
881	49.051				
882	46.233				
883	43.374				
884	40.486				
885	37.141				
886	33.684				
887	29.883				
888	26.224				
889	22.437				
890	19.103				
891	15.995				
892	13.335				
893	11.22				
894	9.32				
895	7.852				
896	6.557				
897	5.567				
898	4.698				
