Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	3.756		Chroma		ZT532/640rpc
381	10.071				
382	12.547				
383	9.769				
384	8.545				
385	6.138				
386	2.33				
387	0.986				
388	1.338				
389	4.773				
390	8.614				
391	6.718				
392	2.966				
393	3.823				
394	8.235				
395	8.121				
396	3.439				
397	1.232				
398	1.44				
399	4.624				
400	15.472				
401	29.271				
402	29.078				
403	24.833				
404	26.6				
405	25.769				
406	19.896				
407	11.797				
408	5.166				
409	1.694				
410	0.835				
411	0.664				
412	0.608				
413	0.697				
414	0.717				
415	0.691				
416	0.622				
417	0.774				
418	1.343				
419	3.231				
420	5.748				
421	6.72				
422	5.225				
423	3.193				
424	1.713				
425	1.062				
426	0.999				
427	1.64				
428	5.013				
429	13.374				
430	15.972				
431	10.863				
432	6.454				
433	3.472				
434	4.007				
435	11.994				
436	19.734				
437	15.423				
438	5.116				
439	1.635				
440	1.468				
441	2.627				
442	7.202				
443	19.475				
444	31.998				
445	37.911				
446	36.64				
447	24.34				
448	10.424				
449	3.287				
450	1.518				
451	1.243				
452	1.666				
453	3.997				
454	11.04				
455	15.761				
456	10.453				
457	4.017				
458	1.979				
459	2.166				
460	3.868				
461	7.283				
462	9.632				
463	7.83				
464	4.303				
465	2.415				
466	2.088				
467	2.598				
468	4.344				
469	9.448				
470	19.403				
471	30.504				
472	31.826				
473	25.064				
474	19.548				
475	18.158				
476	18.159				
477	17.01				
478	14.68				
479	13.04				
480	13.142				
481	15.496				
482	21.037				
483	26.93				
484	27.53				
485	20.562				
486	13.941				
487	9.676				
488	7.192				
489	6.173				
490	6.059				
491	7.845				
492	11.303				
493	14.799				
494	17.808				
495	17.794				
496	11.592				
497	5.638				
498	2.823				
499	1.667				
500	1.236				
501	1.047				
502	0.986				
503	1.016				
504	1.093				
505	1.17				
506	1.211				
507	1.188				
508	1.135				
509	1.104				
510	1.082				
511	1.103				
512	1.165				
513	1.25				
514	1.267				
515	1.219				
516	1.116				
517	0.971				
518	0.86				
519	0.784				
520	0.752				
521	0.774				
522	0.819				
523	0.898				
524	0.96				
525	0.988				
526	0.958				
527	0.886				
528	0.795				
529	0.742				
530	0.709				
531	0.716				
532	0.749				
533	0.784				
534	0.882				
535	1.065				
536	1.384				
537	1.961				
538	2.974				
539	4.814				
540	8.61				
541	16.249				
542	26.239				
543	37.522				
544	46.242				
545	50.134				
546	53.48				
547	62.514				
548	79.064				
549	91.695				
550	94.906				
551	95.135				
552	96.018				
553	96.307				
554	95.288				
555	93.816				
556	93.155				
557	93.917				
558	95.421				
