Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	15.116		Chroma		ZT568rdc
381	10.25				
382	3.846				
383	2.563				
384	3.512				
385	2.288				
386	0.225				
387	0.062				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.018				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.068				
401	0.939				
402	4.376				
403	9.287				
404	12.083				
405	12.648				
406	11.295				
407	13.406				
408	18.794				
409	21.907				
410	19.827				
411	11.853				
412	7.459				
413	8.818				
414	15.88				
415	22.625				
416	19.631				
417	12.309				
418	12.932				
419	21.051				
420	26.003				
421	19.859				
422	12.252				
423	14.288				
424	20.175				
425	17.632				
426	8.615				
427	2.995				
428	2.173				
429	2.895				
430	3.701				
431	3.015				
432	1.441				
433	0.615				
434	0.432				
435	0.478				
436	0.731				
437	0.875				
438	0.667				
439	0.313				
440	0.151				
441	0.11				
442	0.131				
443	0.179				
444	0.248				
445	0.259				
446	0.177				
447	0.1				
448	0.046				
449	0.042				
450	0.06				
451	0.076				
452	0.099				
453	0.123				
454	0.077				
455	0.058				
456	0.028				
457	0.013				
458	0.03				
459	0.025				
460	0.054				
461	0.061				
462	0.056				
463	0.055				
464	0.006				
465	0.021				
466	0.024				
467	0.012				
468	0.023				
469	0.054				
470	0.064				
471	0.066				
472	0.05				
473	0.05				
474	0.032				
475	0.02				
476	0.028				
477	0.026				
478	0.046				
479	0.065				
480	0.074				
481	0.075				
482	0.066				
483	0.04				
484	0.039				
485	0.032				
486	0.048				
487	0.056				
488	0.058				
489	0.09				
490	0.124				
491	0.132				
492	0.119				
493	0.091				
494	0.079				
495	0.059				
496	0.062				
497	0.072				
498	0.077				
499	0.121				
500	0.162				
501	0.243				
502	0.315				
503	0.341				
504	0.332				
505	0.291				
506	0.246				
507	0.246				
508	0.246				
509	0.291				
510	0.353				
511	0.481				
512	0.651				
513	0.823				
514	0.907				
515	0.867				
516	0.746				
517	0.621				
518	0.534				
519	0.495				
520	0.508				
521	0.555				
522	0.683				
523	0.906				
524	1.229				
525	1.615				
526	1.847				
527	1.783				
528	1.455				
529	1.106				
530	0.824				
531	0.685				
532	0.619				
533	0.637				
534	0.722				
535	0.913				
536	1.353				
537	2.13				
538	2.815				
539	2.767				
540	1.899				
541	1.021				
542	0.569				
543	0.35				
544	0.243				
545	0.187				
546	0.152				
547	0.133				
548	0.118				
549	0.116				
550	0.118				
551	0.124				
552	0.133				
553	0.145				
554	0.173				
555	0.204				
556	0.228				
557	0.267				
558	0.317				
559	0.38				
560	0.439				
561	0.502				
562	0.582				
563	0.695				
564	0.817				
565	0.981				
566	1.196				
567	1.523				
568	1.983				
569	2.683				
570	3.76				
571	5.468				
572	8.19				
573	12.178				
574	18.576				
575	26.812				
576	36.131				
577	45.198				
578	54.278				
579	65.894				
580	78.974				
581	89.9				
582	94.207				
583	94.89				
584	95.144				
585	95.657				
586	96.276				
587	96.672				
588	96.881				
589	97.08				
590	97.165				
591	97.0				
592	96.905				
593	96.765				
594	96.605				
595	96.566				
596	96.668				
597	96.826				
598	96.907				
599	96.964				
600	96.86				
601	96.738				
602	96.638				
603	96.578				
604	96.604				
605	97.169				
606	97.385				
607	97.792				
608	98.176				
609	98.374				
610	98.211				
611	97.938				
612	97.758				
613	97.625				
614	97.446				
615	97.316				
616	97.21				
617	97.329				
618	97.448				
619	97.752				
620	97.874				
621	98.06				
622	98.234				
623	98.334				
624	98.132				
625	97.935				
626	97.916				
627	97.841				
628	97.997				
629	98.057				
630	98.23				
631	98.294				
632	98.48				
633	98.555				
634	98.629				
635	98.575				
636	98.445				
637	98.279				
638	98.236				
639	98.275				
640	98.361				
641	98.387				
642	98.475				
643	98.385				
644	98.537				
645	98.663				
646	98.597				
647	98.551				
648	98.457				
649	98.396				
650	98.323				
651	98.009				
652	97.711				
653	97.845				
654	97.938				
655	97.959				
656	98.159				
657	98.255				
658	98.434				
659	98.633				
660	98.773				
661	98.815				
662	98.827				
663	98.734				
664	98.458				
665	98.422				
666	98.216				
667	98.055				
668	97.984				
669	97.92				
670	97.924				
671	97.938				
672	98.096				
673	98.252				
674	98.333				
675	98.514				
676	98.616				
677	98.769				
678	98.755				
679	98.757				
680	98.63				
681	98.524				
682	98.417				
683	98.473				
684	98.193				
685	98.314				
686	98.342				
687	98.266				
688	98.414				
689	98.6				
690	98.694				
691	98.694				
692	98.751				
693	98.794				
694	98.743				
695	98.727				
696	98.649				
697	98.616				
698	98.56				
699	98.492				
700	98.463				
701	98.479				
702	98.506				
703	98.519				
704	98.546				
705	98.607				
706	98.663				
707	98.702				
708	98.739				
709	98.767				
710	98.78				
711	98.747				
712	98.728				
713	98.692				
714	98.743				
715	98.712				
716	98.608				
717	98.508				
718	98.415				
719	98.504				
720	98.509				
721	98.537				
722	98.609				
723	98.813				
724	98.757				
725	98.655				
726	98.785				
727	98.761				
728	98.783				
729	98.691				
730	98.764				
731	98.759				
732	98.69				
733	98.698				
734	98.67				
735	98.691				
736	98.59				
737	98.566				
738	98.558				
739	98.489				
740	98.378				
741	98.421				
742	98.501				
743	98.493				
744	98.435				
745	98.558				
746	98.551				
747	98.593				
748	98.713				
749	98.641				
750	98.602				
751	98.548				
752	98.511				
753	98.441				
754	98.422				
755	98.486				
756	98.463				
757	98.515				
758	98.497				
759	98.572				
760	98.558				
761	98.656				
762	98.69				
763	98.707				
764	98.7				
765	98.734				
766	98.764				
767	98.711				
768	98.686				
769	98.627				
770	98.486				
771	98.401				
772	98.248				
773	98.307				
774	98.312				
775	98.345				
776	98.305				
777	98.251				
778	98.214				
779	98.293				
780	98.335				
781	98.514				
782	98.483				
783	98.619				
784	98.634				
785	98.632				
786	98.587				
787	98.738				
788	98.7				
789	98.694				
790	98.733				
791	98.723				
792	98.684				
793	98.772				
794	98.831				
795	98.813				
796	98.807				
797	98.665				
798	98.594				
799	98.623				
800	98.555				
801	98.503				
