Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	5.387		Chroma		ZTUV-405/488/561rpc
301	4.009				
302	2.975				
303	2.159				
304	1.865				
305	1.385				
306	1.182				
307	0.986				
308	0.801				
309	0.629				
310	0.453				
311	0.486				
312	0.35				
313	0.374				
314	0.369				
315	0.292				
316	0.271				
317	0.224				
318	0.221				
319	0.21				
320	0.194				
321	0.173				
322	0.16				
323	0.154				
324	0.124				
325	0.122				
326	0.123				
327	0.118				
328	0.1				
329	0.109				
330	0.088				
331	0.097				
332	0.073				
333	0.092				
334	0.084				
335	0.078				
336	0.084				
337	0.087				
338	0.086				
339	0.088				
340	0.08				
341	0.079				
342	0.084				
343	0.085				
344	0.084				
345	0.081				
346	0.093				
347	0.091				
348	0.087				
349	0.082				
350	0.08				
351	0.086				
352	0.089				
353	0.087				
354	0.09				
355	0.085				
356	0.082				
357	0.082				
358	0.084				
359	0.085				
360	0.082				
361	0.075				
362	0.08				
363	0.071				
364	0.07				
365	0.072				
366	0.079				
367	0.087				
368	0.097				
369	0.088				
370	0.116				
371	0.125				
372	0.089				
373	0.081				
374	0.069				
375	0.071				
376	0.091				
377	0.102				
378	0.075				
379	0.075				
380	0.089				
381	0.101				
382	0.095				
383	0.094				
384	0.125				
385	0.135				
386	0.21				
387	0.309				
388	0.396				
389	0.463				
390	0.938				
391	1.197				
392	0.84				
393	0.456				
394	0.365				
395	0.469				
396	1.218				
397	1.616				
398	0.849				
399	0.457				
400	0.373				
401	0.351				
402	0.296				
403	0.267				
404	0.217				
405	0.239				
406	0.276				
407	0.405				
408	0.537				
409	0.742				
410	1.026				
411	1.69				
412	4.324				
413	12.969				
414	30.347				
415	40.055				
416	40.98				
417	46.61				
418	64.069				
419	84.701				
420	94.063				
421	96.062				
422	96.225				
423	96.178				
424	96.219				
425	96.741				
426	97.041				
427	97.109				
428	97.121				
429	97.321				
430	97.639				
431	97.834				
432	97.895				
433	97.746				
434	97.585				
435	97.645				
436	97.71				
437	97.615				
438	97.275				
439	97.042				
440	97.025				
441	96.846				
442	96.246				
443	95.449				
444	95.096				
445	95.448				
446	96.355				
447	97.456				
448	97.98				
449	98.064				
450	97.979				
451	97.855				
452	97.72				
453	97.319				
454	96.745				
455	96.291				
456	95.975				
457	96.103				
458	96.394				
459	96.709				
460	97.038				
461	97.236				
462	97.173				
463	96.823				
464	96.436				
465	95.821				
466	95.684				
467	96.238				
468	96.943				
469	97.085				
470	96.18				
471	94.47				
472	92.93				
473	92.626				
474	93.597				
475	95.679				
476	96.289				
477	90.904				
478	75.178				
479	48.684				
480	26.787				
481	13.254				
482	6.987				
483	4.273				
484	2.797				
485	2.104				
486	1.702				
487	1.493				
488	1.425				
489	1.459				
490	1.595				
491	1.896				
492	2.399				
493	3.328				
494	4.896				
495	8.032				
496	13.693				
497	22.332				
498	33.953				
499	43.924				
500	50.667				
501	55.096				
502	63.274				
503	77.085				
504	89.662				
505	95.098				
506	94.723				
507	93.465				
508	92.754				
509	92.868				
510	93.779				
511	95.146				
512	96.454				
513	97.323				
514	97.407				
515	96.92				
516	96.387				
517	96.279				
518	96.676				
519	97.106				
520	97.358				
521	97.095				
522	96.471				
523	95.773				
524	95.463				
525	95.562				
526	96.06				
527	96.541				
528	96.952				
529	96.934				
530	96.69				
531	96.427				
532	96.258				
533	96.184				
534	96.232				
535	96.295				
536	96.38				
537	96.555				
538	96.615				
539	96.625				
540	96.286				
541	95.387				
542	94.194				
543	93.425				
544	93.723				
545	94.292				
546	91.78				
547	81.629				
548	62.209				
549	41.168				
550	25.906				
551	16.115				
552	10.635				
553	7.434				
554	5.534				
555	4.399				
556	3.616				
557	3.103				
558	2.754				
559	2.593				
560	2.529				
561	2.568				
562	2.719				
563	3.005				
564	3.421				
565	4.132				
566	5.143				
567	6.673				
568	8.833				
569	12.392				
570	17.715				
571	25.225				
572	34.386				
573	43.566				
574	50.97				
575	55.481				
576	59.785				
577	65.441				
578	73.509				
579	82.489				
580	90.088				
581	94.625				
582	96.579				
583	97.215				
584	97.1				
585	96.827				
586	96.508				
587	96.48				
588	96.571				
589	96.763				
590	96.946				
591	97.093				
592	97.034				
593	96.912				
594	96.66				
595	96.334				
596	96.255				
597	96.25				
598	96.366				
599	96.582				
600	97.134				
601	97.314				
602	97.062				
603	97.113				
604	97.071				
605	96.955				
606	96.717				
607	96.453				
608	96.328				
609	96.341				
610	96.518				
611	96.717				
612	96.965				
613	97.255				
614	97.303				
615	97.372				
616	97.166				
617	97.013				
618	96.786				
619	96.719				
620	96.584				
621	96.516				
622	96.579				
623	96.663				
624	96.784				
625	96.952				
626	97.068				
627	97.163				
628	97.185				
629	97.177				
630	97.099				
631	97.079				
632	96.998				
633	97.092				
634	97.206				
635	97.18				
636	97.165				
637	97.068				
638	97.018				
639	96.904				
640	96.824				
641	96.747				
642	96.776				
643	96.831				
644	96.963				
645	97.063				
646	97.206				
647	97.243				
648	97.387				
649	97.465				
650	97.428				
651	97.22				
652	96.96				
653	96.817				
654	96.908				
655	96.832				
656	96.922				
657	96.947				
658	97.035				
659	97.21				
660	97.298				
661	97.415				
662	97.517				
663	97.68				
664	97.712				
665	97.769				
666	97.646				
667	97.629				
668	97.564				
669	97.485				
670	97.405				
671	97.352				
672	97.324				
673	97.376				
674	97.432				
675	97.444				
676	97.558				
677	97.619				
678	97.614				
679	97.55				
680	97.467				
681	97.18				
682	97.04				
683	96.794				
684	96.512				
685	96.339				
686	96.086				
687	95.885				
688	95.727				
689	95.641				
690	95.491				
691	95.382				
692	95.43				
693	95.413				
694	95.55				
695	95.676				
696	95.878				
697	96.209				
698	96.387				
699	96.593				
700	96.807				
701	97.04				
702	97.181				
703	97.379				
704	97.5				
705	97.563				
706	97.561				
707	97.628				
708	97.632				
709	97.628				
710	97.626				
711	97.567				
712	97.589				
713	97.624				
714	97.65				
715	97.719				
716	97.71				
717	97.7				
718	97.745				
719	97.638				
720	97.594				
721	97.512				
722	97.407				
723	97.291				
724	97.186				
725	97.016				
726	96.826				
727	96.528				
728	96.305				
729	95.973				
730	95.692				
731	95.423				
732	95.147				
733	94.846				
734	94.562				
735	94.375				
736	94.205				
737	94.116				
738	94.101				
739	94.194				
740	94.314				
741	94.507				
742	94.728				
743	94.888				
744	95.04				
745	95.12				
746	95.165				
747	95.206				
748	95.13				
749	94.98				
750	94.942				
751	94.764				
752	94.374				
753	93.505				
754	92.02				
755	89.341				
756	85.367				
757	80.367				
758	73.846				
759	66.587				
760	58.422				
761	50.849				
762	42.95				
763	35.74				
764	29.044				
765	23.948				
766	19.606				
767	16.153				
768	13.551				
769	11.342				
770	9.62				
771	8.343				
772	7.257				
773	6.406				
774	5.73				
775	5.231				
776	4.815				
777	4.492				
778	4.247				
779	4.071				
780	3.958				
781	3.888				
782	3.869				
783	3.906				
784	3.984				
785	4.127				
786	4.309				
787	4.554				
788	4.877				
789	5.25				
790	5.672				
791	6.149				
792	6.609				
793	7.053				
794	7.411				
795	7.623				
796	7.671				
797	7.503				
798	7.181				
799	6.695				
800	6.118				
