Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		et850sp2p0
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.004				
388	0.026				
389	9.023				
390	48.417				
391	74.315				
392	80.8				
393	83.347				
394	83.76				
395	85.084				
396	86.814				
397	88.107				
398	88.684				
399	89.969				
400	90.235				
401	89.949				
402	91.081				
403	92.22				
404	92.281				
405	91.539				
406	91.342				
407	91.465				
408	91.76				
409	92.522				
410	92.548				
411	91.787				
412	93.4				
413	93.811				
414	94.497				
415	93.944				
416	90.978				
417	92.396				
418	94.589				
419	93.945				
420	93.392				
421	95.449				
422	93.735				
423	92.03				
424	95.052				
425	95.535				
426	94.234				
427	93.204				
428	95.173				
429	94.724				
430	93.657				
431	94.707				
432	96.026				
433	96.349				
434	95.211				
435	96.429				
436	96.178				
437	94.896				
438	94.462				
439	95.767				
440	95.182				
441	96.403				
442	97.077				
443	96.108				
444	93.531				
445	92.966				
446	92.906				
447	93.624				
448	95.01				
449	96.578				
450	97.308				
451	96.238				
452	95.18				
453	95.472				
454	95.557				
455	96.663				
456	96.671				
457	95.447				
458	94.414				
459	94.911				
460	96.217				
461	96.831				
462	96.933				
463	95.728				
464	94.982				
465	96.64				
466	97.242				
467	97.641				
