Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		mv450200
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.001				
380	0.002				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.008				
386	0.032				
387	0.046				
388	0.003				
389	0.004				
390	0.005				
391	0.0				
392	0.005				
393	0.01				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.007				
404	0.004				
405	0.001				
406	0.011				
407	0.013				
408	0.015				
409	0.001				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.003				
417	0.033				
418	0.023				
419	0.014				
420	0.002				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.001				
427	0.009				
428	0.017				
429	0.005				
430	0.003				
431	0.005				
432	0.01				
433	0.032				
434	0.18				
435	1.007				
436	2.492				
437	5.581				
438	22.603				
439	70.232				
440	94.705				
441	98.435				
442	98.321				
443	97.685				
444	98.785				
445	99.069				
446	99.661				
447	99.085				
448	98.778				
449	98.63				
450	98.446				
451	99.185				
452	99.298				
453	99.235				
454	98.645				
455	98.363				
456	98.917				
457	97.356				
458	93.696				
459	63.327				
460	14.723				
461	2.992				
462	0.755				
463	0.277				
464	0.138				
465	0.09				
466	0.074				
467	0.075				
468	0.092				
469	0.116				
470	0.065				
471	0.06				
472	0.055				
473	0.057				
474	0.065				
475	0.072				
476	0.072				
477	0.068				
478	0.072				
479	0.087				
480	0.091				
481	0.069				
482	0.046				
483	0.037				
484	0.037				
485	0.046				
486	0.056				
487	0.051				
488	0.037				
489	0.028				
490	0.026				
491	0.029				
492	0.037				
493	0.044				
494	0.043				
495	0.039				
496	0.039				
497	0.045				
498	0.057				
499	0.063				
500	0.055				
501	0.043				
502	0.038				
503	0.039				
504	0.046				
505	0.059				
506	0.07				
507	0.069				
508	0.062				
509	0.057				
510	0.055				
511	0.054				
512	0.055				
513	0.055				
514	0.059				
515	0.065				
516	0.075				
517	0.079				
518	0.073				
519	0.062				
520	0.054				
521	0.052				
522	0.057				
523	0.067				
524	0.079				
525	0.083				
526	0.079				
527	0.073				
528	0.073				
529	0.081				
530	0.094				
531	0.102				
532	0.094				
533	0.076				
534	0.06				
535	0.051				
536	0.046				
537	0.045				
538	0.044				
539	0.044				
540	0.043				
541	0.041				
542	0.04				
543	0.039				
544	0.039				
545	0.04				
546	0.043				
547	0.048				
548	0.057				
549	0.069				
550	0.08				
551	0.079				
552	0.068				
553	0.054				
554	0.044				
555	0.04				
556	0.04				
557	0.045				
558	0.055				
559	0.066				
560	0.069				
561	0.059				
562	0.045				
563	0.035				
564	0.03				
565	0.028				
566	0.028				
567	0.032				
568	0.037				
569	0.045				
570	0.053				
571	0.061				
572	0.065				
573	0.068				
574	0.071				
575	0.072				
576	0.072				
577	0.068				
578	0.062				
579	0.055				
580	0.05				
581	0.048				
582	0.049				
583	0.052				
584	0.059				
585	0.067				
586	0.074				
587	0.078				
588	0.077				
589	0.073				
590	0.068				
591	0.065				
592	0.064				
593	0.065				
594	0.067				
595	0.07				
596	0.072				
597	0.073				
598	0.075				
599	0.076				
600	0.078				
601	0.081				
602	0.083				
603	0.086				
604	0.088				
605	0.089				
606	0.09				
607	0.091				
608	0.094				
609	0.097				
610	0.102				
611	0.105				
612	0.106				
613	0.103				
614	0.098				
615	0.092				
616	0.086				
617	0.082				
618	0.079				
619	0.077				
620	0.074				
621	0.07				
622	0.064				
623	0.057				
624	0.051				
625	0.045				
626	0.041				
627	0.039				
628	0.037				
629	0.038				
630	0.04				
631	0.044				
632	0.049				
633	0.053				
634	0.058				
635	0.059				
636	0.057				
637	0.054				
638	0.05				
639	0.046				
640	0.045				
641	0.044				
642	0.045				
643	0.048				
644	0.052				
645	0.058				
646	0.064				
647	0.068				
648	0.069				
649	0.068				
650	0.063				
651	0.058				
652	0.054				
653	0.051				
654	0.049				
655	0.048				
656	0.048				
657	0.051				
658	0.054				
659	0.059				
660	0.065				
661	0.07				
662	0.074				
663	0.076				
664	0.074				
665	0.071				
666	0.065				
667	0.06				
668	0.056				
669	0.053				
670	0.051				
671	0.051				
672	0.052				
673	0.055				
674	0.06				
675	0.067				
676	0.075				
677	0.084				
678	0.093				
679	0.099				
680	0.101				
681	0.1				
682	0.096				
683	0.09				
684	0.085				
685	0.08				
686	0.076				
687	0.072				
688	0.07				
689	0.067				
690	0.064				
691	0.061				
692	0.059				
693	0.056				
694	0.054				
695	0.052				
696	0.051				
697	0.051				
698	0.051				
699	0.053				
700	0.056				
701	0.058				
702	0.062				
703	0.066				
704	0.068				
705	0.071				
706	0.072				
707	0.073				
708	0.074				
709	0.075				
710	0.076				
711	0.078				
712	0.08				
713	0.083				
714	0.085				
715	0.084				
716	0.081				
717	0.075				
718	0.068				
719	0.061				
720	0.054				
721	0.048				
722	0.043				
723	0.041				
724	0.039				
725	0.039				
726	0.04				
727	0.042				
728	0.045				
729	0.05				
730	0.057				
731	0.065				
732	0.073				
733	0.079				
734	0.082				
735	0.08				
736	0.075				
737	0.069				
738	0.062				
739	0.056				
740	0.053				
741	0.051				
742	0.049				
743	0.05				
744	0.053				
745	0.056				
746	0.061				
747	0.067				
748	0.075				
749	0.081				
750	0.086				
751	0.089				
752	0.089				
753	0.085				
754	0.08				
755	0.075				
756	0.069				
757	0.064				
758	0.06				
759	0.057				
760	0.054				
761	0.052				
762	0.05				
763	0.049				
764	0.048				
765	0.047				
766	0.047				
767	0.047				
768	0.046				
769	0.046				
770	0.047				
771	0.047				
772	0.048				
773	0.049				
774	0.05				
775	0.051				
776	0.053				
777	0.053				
778	0.054				
779	0.054				
780	0.055				
781	0.055				
782	0.055				
783	0.055				
784	0.055				
785	0.056				
786	0.057				
787	0.059				
788	0.06				
789	0.061				
790	0.063				
