Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	45.017		Chroma		nd0440transv20
351	44.908				
352	44.934				
353	44.985				
354	44.867				
355	44.898				
356	45.001				
357	44.816				
358	45.003				
359	45.01				
360	44.895				
361	44.895				
362	44.921				
363	44.994				
364	44.958				
365	45.12				
366	44.936				
367	45.017				
368	44.889				
369	44.865				
370	45.053				
371	44.806				
372	44.921				
373	44.949				
374	44.965				
375	44.864				
376	44.858				
377	44.831				
378	44.624				
379	44.983				
380	44.839				
381	44.685				
382	44.703				
383	44.761				
384	44.808				
385	44.813				
386	44.797				
387	44.777				
388	44.631				
389	44.546				
390	44.642				
391	44.582				
392	44.635				
393	44.652				
394	44.533				
395	44.598				
396	44.494				
397	44.46				
398	44.49				
399	44.48				
400	44.385				
401	44.305				
402	44.389				
403	44.35				
404	44.304				
405	44.273				
406	44.156				
407	44.19				
408	44.147				
409	44.205				
410	44.182				
411	44.11				
412	44.056				
413	43.938				
414	43.997				
415	44.066				
416	43.939				
417	43.852				
418	43.928				
419	43.912				
420	43.935				
421	43.827				
422	43.707				
423	43.79				
424	43.657				
425	43.714				
426	43.674				
427	43.624				
428	43.623				
429	43.517				
430	43.563				
431	43.487				
432	43.318				
433	43.418				
434	43.398				
435	43.253				
436	43.411				
437	43.279				
438	43.277				
439	43.15				
440	43.245				
441	43.182				
442	43.105				
443	43.133				
444	43.044				
445	43.054				
446	43.016				
447	42.986				
448	42.997				
449	42.875				
450	42.834				
451	42.804				
452	42.702				
453	42.725				
454	42.727				
455	42.662				
456	42.641				
457	42.543				
458	42.608				
459	42.614				
460	42.528				
461	42.471				
462	42.487				
463	42.371				
464	42.381				
465	42.278				
466	42.328				
467	42.303				
468	42.256				
469	42.216				
470	42.143				
471	42.177				
472	42.071				
473	42.08				
474	42.048				
475	41.968				
476	41.922				
477	41.902				
478	41.88				
479	41.811				
480	41.848				
481	41.772				
482	41.858				
483	41.651				
484	41.719				
485	41.697				
486	41.625				
487	41.638				
488	41.605				
489	41.593				
490	41.432				
491	41.478				
492	41.363				
493	41.369				
494	41.303				
495	41.326				
496	41.31				
497	41.267				
498	41.216				
499	41.181				
500	41.186				
501	41.155				
502	41.087				
503	41.108				
504	41.049				
505	41.016				
506	40.946				
507	40.944				
508	40.956				
509	40.926				
510	40.851				
511	40.818				
512	40.783				
513	40.76				
514	40.769				
515	40.734				
516	40.684				
517	40.677				
518	40.568				
519	40.613				
520	40.487				
521	40.545				
522	40.496				
523	40.453				
524	40.411				
525	40.397				
526	40.336				
527	40.3				
528	40.329				
529	40.261				
530	40.339				
531	40.259				
532	40.172				
533	40.163				
534	40.139				
535	40.143				
536	40.099				
537	40.055				
538	39.959				
539	39.954				
540	39.935				
541	39.977				
542	39.942				
543	39.918				
544	39.859				
545	39.864				
546	39.827				
547	39.774				
548	39.712				
549	39.781				
550	39.684				
551	39.676				
552	39.692				
553	39.684				
554	39.61				
555	39.604				
556	39.55				
557	39.516				
558	39.447				
559	39.495				
560	39.364				
561	39.44				
562	39.377				
563	39.316				
564	39.3				
565	39.284				
566	39.29				
567	39.32				
568	39.196				
569	39.277				
570	39.22				
571	39.199				
572	39.135				
573	39.178				
574	39.089				
575	39.055				
576	39.066				
577	38.926				
578	38.948				
579	38.933				
580	38.891				
581	38.957				
582	38.889				
583	38.823				
584	38.759				
585	38.858				
586	38.761				
587	38.753				
588	38.755				
589	38.664				
590	38.684				
591	38.705				
592	38.637				
593	38.633				
594	38.653				
595	38.523				
596	38.578				
597	38.541				
598	38.518				
599	38.471				
600	38.47				
601	38.439				
602	38.443				
603	38.384				
604	38.472				
605	38.357				
606	38.332				
607	38.333				
608	38.322				
609	38.321				
610	38.276				
611	38.242				
612	38.201				
613	38.194				
614	38.169				
615	38.22				
616	38.088				
617	38.166				
618	38.06				
619	38.085				
620	38.083				
621	38.137				
622	37.936				
623	37.958				
624	37.977				
625	37.969				
626	37.925				
627	37.872				
628	37.883				
629	37.826				
630	37.929				
631	37.813				
632	37.821				
633	37.778				
634	37.751				
635	37.76				
636	37.786				
637	37.703				
638	37.668				
639	37.659				
640	37.692				
641	37.651				
642	37.635				
643	37.649				
644	37.524				
645	37.57				
646	37.519				
647	37.494				
648	37.498				
649	37.502				
650	37.496				
651	37.439				
652	37.352				
653	37.428				
654	37.388				
655	37.431				
656	37.363				
657	37.286				
658	37.353				
659	37.286				
660	37.306				
661	37.238				
662	37.233				
663	37.251				
664	37.194				
665	37.176				
666	37.214				
667	37.077				
668	37.167				
669	37.089				
670	37.068				
671	37.091				
672	37.019				
673	37.01				
674	37.023				
675	36.96				
676	37.007				
677	36.915				
678	36.906				
679	36.95				
680	36.917				
681	36.906				
682	36.885				
683	36.799				
684	36.816				
685	36.819				
686	36.852				
687	36.806				
688	36.815				
689	36.726				
690	36.713				
691	36.656				
692	36.674				
693	36.648				
694	36.635				
695	36.609				
696	36.67				
697	36.633				
698	36.651				
699	36.56				
700	36.507				
701	36.587				
702	36.524				
703	36.463				
704	36.511				
705	36.45				
706	36.51				
707	36.525				
708	36.395				
709	36.398				
710	36.397				
711	36.424				
712	36.388				
713	36.332				
714	36.246				
715	36.212				
716	36.308				
717	36.378				
718	36.273				
719	36.292				
720	36.312				
721	36.215				
722	36.365				
723	36.175				
724	36.143				
725	36.145				
726	36.149				
727	36.174				
728	36.089				
729	36.114				
730	36.187				
731	36.114				
732	36.07				
733	35.999				
734	36.136				
735	36.034				
736	35.977				
737	36.059				
738	36.077				
739	36.121				
740	35.863				
741	36.0				
742	35.993				
743	35.833				
744	35.916				
745	36.047				
746	35.914				
747	35.939				
748	35.928				
749	35.774				
750	0.349				
