Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	13.784		Chroma		t570lpxr0
381	5.24				
382	1.059				
383	0.292				
384	0.163				
385	0.132				
386	0.142				
387	0.153				
388	0.104				
389	0.166				
390	0.414				
391	0.794				
392	1.1				
393	1.16				
394	1.239				
395	1.737				
396	3.977				
397	11.315				
398	22.895				
399	32.952				
400	37.846				
401	39.159				
402	38.225				
403	34.51				
404	28.306				
405	22.762				
406	20.857				
407	19.74				
408	15.828				
409	11.278				
410	9.236				
411	11.077				
412	17.501				
413	26.415				
414	29.142				
415	23.7				
416	19.117				
417	21.411				
418	25.847				
419	22.672				
420	13.079				
421	5.951				
422	3.091				
423	2.612				
424	2.946				
425	3.144				
426	2.513				
427	1.427				
428	0.673				
429	0.361				
430	0.256				
431	0.236				
432	0.27				
433	0.339				
434	0.358				
435	0.274				
436	0.15				
437	0.081				
438	0.056				
439	0.044				
440	0.042				
441	0.046				
442	0.071				
443	0.107				
444	0.113				
445	0.089				
446	0.056				
447	0.026				
448	0.013				
449	0.011				
450	0.015				
451	0.019				
452	0.021				
453	0.03				
454	0.047				
455	0.048				
456	0.037				
457	0.02				
458	0.011				
459	0.008				
460	0.008				
461	0.007				
462	0.016				
463	0.023				
464	0.026				
465	0.031				
466	0.037				
467	0.032				
468	0.025				
469	0.023				
470	0.019				
471	0.011				
472	0.009				
473	0.011				
474	0.014				
475	0.016				
476	0.023				
477	0.034				
478	0.047				
479	0.05				
480	0.047				
481	0.042				
482	0.035				
483	0.033				
484	0.033				
485	0.026				
486	0.032				
487	0.038				
488	0.046				
489	0.048				
490	0.049				
491	0.054				
492	0.054				
493	0.054				
494	0.06				
495	0.067				
496	0.088				
497	0.12				
498	0.167				
499	0.225				
500	0.256				
501	0.24				
502	0.193				
503	0.143				
504	0.111				
505	0.094				
506	0.084				
507	0.085				
508	0.098				
509	0.122				
510	0.177				
511	0.279				
512	0.444				
513	0.606				
514	0.659				
515	0.55				
516	0.392				
517	0.271				
518	0.212				
519	0.185				
520	0.184				
521	0.214				
522	0.281				
523	0.432				
524	0.839				
525	1.661				
526	2.324				
527	2.084				
528	1.201				
529	0.544				
530	0.269				
531	0.164				
532	0.117				
533	0.094				
534	0.082				
535	0.073				
536	0.069				
537	0.07				
538	0.074				
539	0.08				
540	0.089				
541	0.103				
542	0.122				
543	0.15				
544	0.191				
545	0.254				
546	0.342				
547	0.461				
548	0.639				
549	0.857				
550	1.089				
551	1.325				
552	1.522				
553	1.676				
554	1.819				
555	1.979				
556	2.174				
557	2.456				
558	2.878				
559	3.49				
560	4.422				
561	5.786				
562	7.713				
563	10.515				
564	14.676				
565	20.158				
566	26.676				
567	34.214				
568	41.778				
569	49.328				
570	58.435				
571	70.278				
572	83.436				
573	93.351				
574	97.246				
575	97.851				
576	97.845				
577	98.155				
578	98.377				
579	98.338				
580	98.32				
581	98.314				
582	98.134				
583	97.957				
584	97.995				
585	98.027				
586	98.061				
587	98.203				
588	98.224				
589	98.212				
590	98.136				
591	98.068				
592	98.243				
593	98.341				
594	98.304				
595	98.213				
596	98.282				
597	98.501				
598	98.285				
599	98.344				
600	98.751				
601	98.569				
602	98.493				
603	98.125				
604	98.579				
605	98.739				
606	98.669				
607	98.554				
608	98.227				
609	97.969				
610	97.503				
611	97.611				
612	97.712				
613	97.806				
614	97.98				
615	97.803				
616	97.585				
617	97.495				
618	97.506				
619	97.401				
620	97.405				
621	97.48				
622	97.592				
623	97.772				
624	97.82				
625	97.915				
626	98.119				
627	98.028				
628	98.158				
629	98.23				
630	98.223				
631	98.238				
632	98.174				
633	98.179				
634	98.135				
635	98.12				
636	98.043				
637	98.127				
638	98.207				
639	98.182				
640	98.19				
641	98.235				
642	98.308				
643	98.368				
644	98.419				
645	98.484				
646	98.495				
647	98.458				
648	98.472				
649	98.504				
650	98.476				
651	98.494				
652	98.483				
653	98.569				
654	98.58				
655	98.495				
656	98.472				
657	98.471				
658	98.375				
659	98.426				
660	98.437				
661	98.325				
662	98.333				
663	98.265				
664	98.195				
665	98.182				
666	98.15				
667	98.095				
668	98.068				
669	97.985				
670	97.954				
671	97.997				
672	97.911				
673	97.948				
674	97.971				
675	97.927				
676	97.917				
677	97.902				
678	97.898				
679	97.915				
680	97.892				
681	97.869				
682	97.889				
683	97.81				
684	97.807				
685	97.874				
686	97.983				
687	98.017				
688	97.991				
689	98.072				
690	98.115				
691	98.12				
692	98.22				
693	98.269				
694	98.238				
695	98.242				
696	98.36				
697	98.386				
698	98.396				
699	98.391				
700	98.305				
701	98.319				
702	98.355				
703	98.255				
704	98.255				
705	98.317				
706	98.35				
707	98.387				
708	98.43				
709	98.41				
710	98.394				
711	98.382				
712	98.323				
713	98.252				
714	98.228				
715	98.268				
716	98.244				
717	98.217				
718	98.222				
719	98.127				
720	98.022				
721	98.073				
722	98.08				
723	97.996				
724	98.038				
725	98.064				
726	97.993				
727	97.923				
728	97.956				
729	97.983				
730	98.013				
731	98.077				
732	98.141				
733	98.112				
734	98.036				
735	98.224				
736	98.185				
737	98.065				
738	98.002				
739	97.991				
740	98.063				
741	98.095				
742	98.096				
743	98.035				
744	97.973				
745	97.93				
746	97.813				
747	97.768				
748	97.98				
749	98.023				
750	98.095				
751	98.149				
752	98.192				
753	98.277				
754	98.299				
755	98.371				
756	98.352				
757	98.266				
758	98.336				
759	98.396				
760	98.424				
761	98.444				
762	98.501				
763	98.511				
764	98.474				
765	98.425				
766	98.391				
767	98.351				
768	98.33				
769	98.352				
770	98.365				
771	98.318				
772	98.313				
773	98.435				
774	98.464				
775	98.409				
776	98.395				
777	98.394				
778	98.39				
779	98.376				
780	98.4				
781	98.472				
782	98.464				
783	98.375				
784	98.342				
785	98.333				
786	98.302				
787	98.305				
788	98.306				
789	98.266				
790	98.26				
791	98.237				
792	98.114				
793	97.963				
794	97.874				
795	97.929				
796	98.266				
797	98.812				
798	97.754				
799	97.746				
800	97.652				
