Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		zet405488561635mwf0
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.002				
423	0.021				
424	12.023				
425	76.204				
426	92.606				
427	95.687				
428	96.67				
429	96.143				
430	95.86				
431	96.602				
432	96.579				
433	95.492				
434	96.27				
435	93.856				
436	95.298				
437	95.933				
438	96.12				
439	95.565				
440	95.928				
441	96.55				
442	96.385				
443	96.852				
444	96.548				
445	96.685				
446	94.58				
447	95.183				
448	95.98				
449	95.951				
450	97.195				
451	95.922				
452	95.88				
453	96.117				
454	96.661				
455	96.631				
456	96.833				
457	96.342				
458	97.136				
459	96.532				
460	95.438				
461	94.191				
462	92.542				
463	94.705				
464	92.353				
465	95.286				
466	94.589				
467	90.557				
468	87.358				
469	90.205				
470	83.969				
471	72.875				
472	32.652				
473	1.891				
474	0.051				
475	0.002				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.007				
509	0.168				
510	15.175				
511	74.107				
512	93.729				
513	91.54				
514	88.554				
515	95.358				
516	97.483				
517	96.245				
518	96.175				
519	96.08				
520	93.635				
521	95.17				
522	97.33				
523	96.478				
524	93.12				
525	92.855				
526	95.116				
527	94.294				
528	95.588				
529	96.915				
530	96.827				
531	96.664				
532	95.595				
533	96.5				
534	96.453				
535	95.889				
536	96.6				
537	95.156				
538	92.633				
539	92.608				
540	84.628				
541	84.147				
542	32.936				
543	2.172				
544	0.241				
545	0.012				
546	0.001				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.002				
576	0.016				
577	0.226				
578	5.597				
579	52.789				
580	89.007				
581	90.115				
582	95.359				
583	97.285				
584	94.163				
585	92.281				
586	95.342				
587	96.125				
588	95.553				
589	97.04				
590	98.373				
591	98.205				
592	98.422				
593	98.229				
594	98.23				
595	98.117				
596	98.1				
597	98.357				
598	98.214				
599	97.194				
600	96.285				
601	95.433				
602	95.09				
603	96.26				
604	97.842				
605	97.778				
606	97.32				
607	97.903				
608	97.378				
609	96.04				
610	96.614				
611	96.459				
612	93.904				
613	93.566				
614	96.514				
615	97.849				
616	97.199				
617	96.75				
618	94.978				
619	26.555				
620	2.391				
621	0.185				
622	0.016				
623	0.002				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.001				
658	0.002				
659	0.015				
660	0.141				
661	2.775				
662	42.919				
663	94.535				
664	95.421				
665	91.999				
