Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		zet405488561647mtrf0
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.017				
421	0.299				
422	35.376				
423	90.608				
424	95.484				
425	96.267				
426	95.637				
427	93.049				
428	91.88				
429	93.765				
430	93.01				
431	96.531				
432	96.414				
433	96.998				
434	92.371				
435	95.175				
436	93.17				
437	92.839				
438	97.464				
439	99.254				
440	97.499				
441	93.747				
442	95.507				
443	98.049				
444	98.797				
445	97.862				
446	94.144				
447	95.813				
448	97.266				
449	95.234				
450	95.187				
451	96.226				
452	95.829				
453	97.348				
454	95.066				
455	92.351				
456	96.828				
457	96.849				
458	93.909				
459	95.345				
460	94.124				
461	94.823				
462	96.641				
463	91.328				
464	89.289				
465	92.272				
466	92.925				
467	95.725				
468	95.578				
469	92.594				
470	95.029				
471	92.082				
472	89.786				
473	93.193				
474	93.082				
475	95.809				
476	95.16				
477	85.573				
478	4.702				
479	2.171				
480	0.037				
481	0.001				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.012				
500	0.483				
501	18.543				
502	72.792				
503	87.881				
504	91.354				
505	94.378				
506	93.25				
507	93.485				
508	96.762				
509	97.154				
510	96.979				
511	96.326				
512	93.835				
513	94.438				
514	96.142				
515	95.061				
516	93.103				
517	94.759				
518	95.126				
519	92.878				
520	92.3				
521	95.574				
522	97.871				
523	92.896				
524	88.087				
525	88.518				
526	93.234				
527	95.779				
528	96.483				
529	97.864				
530	98.136				
531	94.114				
532	89.699				
533	90.446				
534	95.324				
535	97.753				
536	96.892				
537	97.124				
538	98.029				
539	94.661				
540	91.076				
541	93.037				
542	97.284				
543	98.595				
544	97.676				
545	98.024				
546	95.21				
547	92.519				
548	82.048				
549	6.759				
550	2.887				
551	0.167				
552	0.008				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.002				
578	0.039				
579	0.799				
580	13.618				
581	67.71				
582	88.194				
583	88.565				
584	86.329				
585	93.055				
586	96.279				
587	92.08				
588	91.144				
589	94.39				
590	96.314				
591	95.115				
592	94.964				
593	97.439				
594	97.037				
595	93.826				
596	92.434				
597	94.704				
598	98.073				
599	98.964				
600	98.05				
601	96.852				
602	95.328				
603	91.689				
604	88.215				
605	87.942				
606	90.393				
607	93.031				
608	93.221				
609	92.015				
610	92.352				
611	95.469				
612	98.134				
613	97.981				
614	96.878				
615	97.177				
616	97.337				
617	95.413				
618	93.896				
619	95.932				
620	97.762				
621	98.478				
622	96.288				
623	87.843				
624	78.751				
625	40.876				
626	3.68				
627	0.338				
628	0.021				
629	0.001				
630	0.0				
