Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		zet514topnotch0
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.001				
306	0.003				
307	0.015				
308	0.071				
309	0.258				
310	0.482				
311	0.388				
312	0.265				
313	0.439				
314	1.363				
315	2.26				
316	1.355				
317	0.841				
318	0.933				
319	1.933				
320	2.654				
321	0.884				
322	0.23				
323	0.088				
324	0.05				
325	0.04				
326	0.049				
327	0.11				
328	0.242				
329	0.123				
330	0.067				
331	0.057				
332	0.046				
333	0.059				
334	0.1				
335	0.042				
336	0.016				
337	0.009				
338	0.007				
339	0.007				
340	0.006				
341	0.009				
342	0.017				
343	0.038				
344	0.121				
345	0.467				
346	2.033				
347	9.923				
348	40.626				
349	79.415				
350	88.908				
351	89.713				
352	90.879				
353	92.261				
354	92.344				
355	92.331				
356	92.907				
357	93.429				
358	94.223				
359	93.759				
360	94.426				
361	94.309				
362	94.451				
363	93.982				
364	94.323				
365	94.305				
366	94.389				
367	94.228				
368	94.598				
369	94.725				
370	94.686				
371	95.193				
372	95.757				
373	95.637				
374	95.83				
375	96.227				
376	96.488				
377	96.218				
378	96.204				
379	95.856				
380	95.988				
381	95.713				
382	95.51				
383	95.088				
384	95.767				
385	95.629				
386	95.992				
387	96.602				
388	96.679				
389	96.333				
390	95.727				
391	95.505				
392	95.177				
393	94.989				
394	95.39				
395	95.423				
396	96.305				
397	96.209				
398	96.31				
399	96.253				
400	96.372				
401	95.913				
402	95.384				
403	95.116				
404	95.292				
405	95.797				
406	95.895				
407	95.942				
408	95.969				
409	95.941				
410	95.938				
411	95.602				
412	95.492				
413	95.271				
414	94.894				
415	94.913				
416	95.123				
417	95.031				
418	95.716				
419	95.06				
420	94.293				
421	94.218				
422	93.618				
423	93.921				
424	94.076				
425	93.711				
426	93.315				
427	94.871				
428	95.355				
429	95.868				
430	95.911				
431	96.061				
432	95.938				
433	95.368				
434	95.148				
435	95.013				
436	94.45				
437	93.983				
438	94.438				
439	94.761				
440	94.83				
441	95.363				
442	95.83				
443	95.215				
444	96.206				
445	96.604				
446	96.124				
447	96.197				
448	95.99				
449	96.002				
450	95.515				
451	96.159				
452	96.443				
453	96.525				
454	97.097				
455	97.318				
456	97.049				
457	97.226				
458	96.751				
459	96.707				
460	96.961				
461	95.99				
462	95.583				
463	95.524				
464	95.038				
465	95.162				
466	94.492				
467	94.75				
468	95.376				
469	95.713				
470	95.986				
471	95.86				
472	95.656				
473	95.673				
474	95.231				
475	96.255				
476	94.727				
477	95.452				
478	95.215				
479	94.414				
480	95.425				
481	94.192				
482	95.446				
483	94.611				
484	96.0				
485	95.866				
486	95.922				
487	96.194				
488	95.642				
489	96.553				
490	96.012				
491	96.526				
492	95.997				
493	95.853				
494	95.217				
495	94.819				
496	95.336				
497	92.885				
498	94.632				
499	94.129				
500	94.781				
501	95.186				
502	96.08				
503	95.495				
504	50.492				
505	1.8				
506	0.016				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.01				
519	0.714				
520	44.725				
521	94.818				
522	96.075				
523	95.796				
524	95.816				
525	95.985				
526	95.608				
527	94.925				
528	95.102				
529	94.695				
530	94.129				
531	94.205				
532	93.828				
533	93.812				
534	93.254				
535	93.174				
536	93.953				
537	93.641				
538	93.193				
539	94.194				
540	94.308				
541	94.481				
542	94.876				
543	95.006				
544	95.231				
545	95.755				
546	95.428				
547	95.563				
548	95.97				
549	95.4				
550	95.41				
551	95.336				
552	95.702				
553	95.438				
554	95.468				
555	95.403				
556	94.717				
557	95.107				
558	94.14				
559	94.336				
560	95.542				
561	94.99				
562	95.351				
563	95.112				
564	94.475				
565	95.452				
566	95.251				
567	95.476				
568	94.999				
569	94.628				
570	95.25				
571	94.523				
572	94.964				
573	95.084				
574	94.307				
575	94.647				
576	94.133				
577	94.179				
578	94.286				
579	93.456				
580	94.248				
581	94.107				
582	93.18				
583	94.414				
584	94.354				
585	93.843				
586	94.597				
587	93.876				
588	93.917				
589	94.646				
590	93.56				
591	94.0				
592	94.747				
593	93.633				
594	94.525				
595	95.038				
596	93.924				
597	94.942				
598	95.212				
599	94.282				
600	95.618				
601	95.447				
602	94.897				
