Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Chroma		zet532nf0
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.001				
367	0.002				
368	0.005				
369	0.009				
370	0.016				
371	0.025				
372	0.035				
373	0.051				
374	0.094				
375	0.219				
376	0.519				
377	1.202				
378	2.359				
379	4.142				
380	6.989				
381	11.842				
382	16.753				
383	22.212				
384	34.681				
385	51.039				
386	57.926				
387	57.759				
388	56.087				
389	67.067				
390	71.495				
391	78.894				
392	80.452				
393	81.531				
394	82.854				
395	86.901				
396	88.459				
397	90.197				
398	91.468				
399	91.635				
400	93.124				
401	92.835				
402	94.059				
403	94.022				
404	94.516				
405	94.868				
406	94.929				
407	94.966				
408	95.384				
409	95.541				
410	96.476				
411	96.334				
412	96.465				
413	96.704				
414	96.729				
415	97.122				
416	97.216				
417	96.764				
418	96.449				
419	96.388				
420	96.762				
421	97.152				
422	96.838				
423	96.131				
424	96.59				
425	97.227				
426	97.496				
427	97.589				
428	97.147				
429	97.089				
430	97.385				
431	97.33				
432	97.399				
433	97.136				
434	97.375				
435	96.972				
436	96.751				
437	97.291				
438	97.298				
439	97.301				
440	97.547				
441	97.301				
442	97.193				
443	97.177				
444	97.232				
445	97.5				
446	97.29				
447	97.291				
448	97.318				
449	96.79				
450	96.998				
451	97.29				
452	97.092				
453	97.363				
454	97.153				
455	96.865				
456	97.201				
457	96.64				
458	96.483				
459	97.034				
460	96.888				
461	97.064				
462	97.239				
463	97.255				
464	97.241				
465	97.292				
466	97.062				
467	97.432				
468	97.177				
469	97.256				
470	97.372				
471	97.184				
472	97.083				
473	97.427				
474	97.595				
475	97.741				
476	97.518				
477	97.455				
478	97.365				
479	97.421				
480	97.09				
481	97.44				
482	97.528				
483	97.467				
484	97.598				
485	97.509				
486	97.417				
487	97.762				
488	97.475				
489	97.42				
490	97.492				
491	97.61				
492	97.524				
493	97.157				
494	96.433				
495	97.06				
496	97.464				
497	96.369				
498	96.211				
499	97.22				
500	97.346				
501	96.624				
502	97.234				
503	97.427				
504	96.814				
505	96.997				
506	97.552				
507	96.851				
508	97.165				
509	97.694				
510	97.442				
511	97.376				
512	97.459				
513	97.198				
514	97.49				
515	97.395				
516	96.33				
517	97.221				
518	97.316				
519	96.935				
520	93.559				
521	33.924				
522	3.382				
523	0.228				
524	0.027				
525	0.005				
526	0.002				
527	0.001				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.001				
541	0.002				
542	0.009				
543	0.042				
544	0.316				
545	4.544				
546	44.947				
547	93.319				
548	97.43				
549	96.565				
550	97.3				
551	96.928				
552	95.875				
553	97.039				
554	97.665				
555	97.133				
556	97.286				
557	97.876				
558	97.424				
559	97.403				
560	97.856				
561	98.018				
562	97.567				
563	97.656				
564	98.233				
565	98.217				
566	97.921				
567	97.728				
568	97.886				
569	98.073				
570	97.739				
571	97.767				
572	98.04				
573	98.143				
574	97.514				
575	97.222				
576	98.036				
577	98.123				
578	98.245				
579	97.628				
580	97.567				
581	97.908				
582	98.204				
583	97.864				
584	97.334				
585	97.19				
586	97.689				
587	98.213				
588	98.249				
589	97.614				
590	97.723				
591	97.816				
592	98.256				
593	98.103				
594	97.742				
595	97.773				
596	97.998				
