Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	5.67		Chroma		zt543rdcxtnir0
381	4.915				
382	4.159				
383	3.901				
384	3.977				
385	4.533				
386	6.023				
387	9.414				
388	14.396				
389	16.995				
390	16.098				
391	11.176				
392	6.498				
393	3.73				
394	2.285				
395	1.58				
396	1.264				
397	0.99				
398	0.831				
399	0.789				
400	0.759				
401	0.718				
402	0.744				
403	0.819				
404	0.902				
405	1.047				
406	1.3				
407	1.67				
408	2.15				
409	3.009				
410	4.319				
411	6.768				
412	10.834				
413	18.251				
414	28.063				
415	37.397				
416	41.539				
417	39.101				
418	34.137				
419	30.716				
420	29.711				
421	32.206				
422	39.155				
423	45.423				
424	45.287				
425	40.764				
426	37.73				
427	36.025				
428	32.979				
429	28.225				
430	23.461				
431	18.907				
432	15.517				
433	12.85				
434	10.974				
435	9.556				
436	8.541				
437	7.707				
438	7.027				
439	6.491				
440	5.956				
441	5.51				
442	4.964				
443	4.546				
444	4.049				
445	3.623				
446	3.171				
447	2.801				
448	2.461				
449	2.177				
450	1.987				
451	1.814				
452	1.681				
453	1.587				
454	1.569				
455	1.567				
456	1.576				
457	1.646				
458	1.746				
459	1.907				
460	2.124				
461	2.422				
462	2.828				
463	3.47				
464	4.33				
465	5.613				
466	7.696				
467	10.8				
468	15.507				
469	18.902				
470	18.684				
471	15.332				
472	11.869				
473	8.864				
474	6.792				
475	5.235				
476	4.149				
477	3.455				
478	2.916				
479	2.549				
480	2.264				
481	2.041				
482	1.883				
483	1.765				
484	1.687				
485	1.623				
486	1.584				
487	1.578				
488	1.59				
489	1.599				
490	1.643				
491	1.685				
492	1.739				
493	1.787				
494	1.821				
495	1.845				
496	1.833				
497	1.792				
498	1.7				
499	1.587				
500	1.471				
501	1.33				
502	1.2				
503	1.082				
504	0.975				
505	0.874				
506	0.794				
507	0.72				
508	0.665				
509	0.612				
510	0.57				
511	0.531				
512	0.498				
513	0.474				
514	0.453				
515	0.429				
516	0.419				
517	0.401				
518	0.389				
519	0.382				
520	0.38				
521	0.384				
522	0.368				
523	0.376				
524	0.383				
525	0.382				
526	0.39				
527	0.4				
528	0.411				
529	0.422				
530	0.429				
531	0.454				
532	0.47				
533	0.49				
534	0.519				
535	0.552				
536	0.586				
537	0.621				
538	0.673				
539	0.726				
540	0.786				
541	0.851				
542	0.933				
543	1.019				
544	1.137				
545	1.261				
546	1.412				
547	1.569				
548	1.765				
549	2.008				
550	2.287				
551	2.616				
552	2.989				
553	3.456				
554	4.003				
555	4.663				
556	5.424				
557	6.272				
558	7.345				
559	8.607				
560	10.091				
561	11.956				
562	13.798				
563	15.978				
564	18.483				
565	21.111				
566	23.918				
567	26.684				
568	29.511				
569	32.244				
570	34.859				
571	37.175				
572	39.234				
573	41.082				
574	42.555				
575	43.871				
576	45.171				
577	46.321				
578	47.459				
579	48.893				
580	50.414				
581	52.339				
582	54.44				
583	57.22				
584	60.457				
585	64.33				
586	68.728				
587	73.519				
588	78.415				
589	83.07				
590	87.19				
591	90.688				
592	93.331				
593	95.188				
594	96.519				
595	97.326				
596	97.972				
597	98.05				
598	97.965				
599	97.945				
600	98.09				
601	97.982				
602	98.588				
603	98.658				
604	98.701				
605	98.641				
606	98.423				
607	98.45				
608	98.507				
609	98.429				
610	98.408				
611	98.432				
612	98.138				
613	98.237				
614	97.998				
615	98.196				
616	98.164				
617	97.842				
618	97.745				
619	97.803				
620	97.687				
621	97.556				
622	97.585				
623	97.707				
624	97.715				
625	97.649				
626	97.767				
627	97.704				
628	97.781				
629	97.73				
630	97.62				
631	97.688				
632	97.927				
633	97.835				
634	97.657				
635	97.494				
636	97.483				
637	97.406				
638	97.289				
639	97.265				
640	97.26				
641	97.164				
642	97.047				
643	96.935				
644	96.916				
645	96.884				
646	96.894				
647	96.868				
648	96.927				
649	96.968				
650	96.869				
651	96.949				
652	96.882				
653	96.858				
654	96.836				
655	96.772				
656	96.769				
657	96.855				
658	96.773				
659	96.869				
660	97.105				
661	97.128				
662	97.262				
663	97.282				
664	97.447				
665	97.425				
666	97.433				
667	97.488				
668	97.395				
669	97.602				
670	97.467				
671	97.523				
672	97.84				
673	97.786				
674	97.735				
675	97.896				
676	98.025				
677	97.996				
678	97.966				
679	97.957				
680	97.958				
681	97.94				
682	97.942				
683	97.917				
684	97.89				
685	97.881				
686	97.87				
687	97.814				
688	97.774				
689	97.804				
690	97.789				
691	97.703				
692	97.732				
693	97.732				
694	97.679				
695	97.665				
696	97.683				
697	97.665				
698	97.779				
699	97.607				
700	97.595				
701	97.591				
702	97.558				
703	97.509				
704	97.495				
705	97.429				
706	97.438				
707	97.432				
708	97.414				
709	97.392				
710	97.345				
711	97.307				
712	97.323				
713	97.308				
714	97.236				
715	97.207				
716	97.2				
717	97.131				
718	97.116				
719	97.08				
720	97.047				
721	97.02				
722	96.968				
723	96.943				
724	96.969				
725	96.921				
726	96.939				
727	96.862				
728	96.83				
729	96.824				
730	96.801				
731	96.763				
732	96.731				
733	96.724				
734	96.716				
735	96.767				
736	96.705				
737	96.732				
738	96.738				
739	96.712				
740	96.706				
741	96.702				
742	96.719				
743	96.74				
744	96.751				
745	96.788				
746	96.786				
747	96.753				
748	96.801				
749	96.779				
750	96.863				
751	96.852				
752	96.834				
753	96.883				
754	96.872				
755	96.89				
756	96.821				
757	96.919				
758	96.882				
759	96.958				
760	96.91				
761	96.938				
762	96.99				
763	97.063				
764	97.041				
765	96.983				
766	96.996				
767	97.056				
768	96.976				
769	97.061				
770	97.077				
771	97.02				
772	97.007				
773	96.995				
774	97.016				
775	96.991				
776	97.098				
777	97.052				
778	97.079				
779	97.129				
780	97.041				
781	97.076				
782	97.045				
783	97.071				
784	97.07				
785	97.133				
786	97.113				
787	97.093				
788	97.087				
789	97.143				
790	97.139				
791	97.138				
792	97.174				
793	97.269				
794	97.226				
795	97.246				
796	97.194				
797	97.231				
798	97.214				
799	97.228				
800	97.328				
801	97.349				
802	97.385				
803	97.379				
804	97.355				
805	97.456				
806	97.383				
807	97.516				
808	97.507				
809	97.509				
810	97.485				
811	97.506				
812	97.569				
813	97.672				
814	97.657				
815	97.63				
816	97.6				
817	97.623				
818	97.624				
819	97.615				
820	97.547				
821	97.763				
822	97.639				
823	97.81				
824	97.586				
825	97.704				
826	97.621				
827	97.605				
828	97.648				
829	97.719				
830	97.645				
831	97.595				
832	97.62				
833	97.567				
834	97.449				
835	97.423				
836	97.458				
837	97.402				
838	97.439				
839	97.325				
840	97.408				
841	97.379				
842	97.401				
843	97.3				
844	97.231				
845	97.421				
846	97.196				
847	97.086				
848	97.11				
849	97.166				
850	96.735				
851	96.698				
852	96.671				
853	96.655				
854	96.637				
855	96.636				
856	96.594				
857	96.587				
858	96.565				
859	96.583				
860	96.53				
861	96.512				
862	96.507				
863	96.503				
864	96.51				
865	96.501				
866	96.482				
867	96.464				
868	96.464				
869	96.464				
870	96.451				
871	96.465				
872	96.465				
873	96.456				
874	96.474				
875	96.475				
876	96.491				
877	96.502				
878	96.517				
879	96.529				
880	96.526				
881	96.537				
882	96.557				
883	96.572				
884	96.56				
885	96.59				
886	96.615				
887	96.607				
888	96.634				
889	96.656				
890	96.689				
891	96.698				
892	96.694				
893	96.702				
894	96.726				
895	96.725				
896	96.73				
897	96.794				
898	96.759				
899	96.768				
900	96.801				
901	96.808				
902	96.798				
903	96.826				
904	96.803				
905	96.834				
906	96.817				
907	96.842				
908	96.801				
909	96.799				
910	96.829				
911	96.797				
912	96.826				
913	96.793				
914	96.814				
915	96.773				
916	96.782				
917	96.74				
918	96.747				
919	96.718				
920	96.699				
921	96.732				
922	96.702				
923	96.689				
924	96.664				
925	96.622				
926	96.613				
927	96.606				
928	96.565				
929	96.56				
930	96.567				
931	96.5				
932	96.467				
933	96.496				
934	96.42				
935	96.401				
936	96.368				
937	96.332				
938	96.396				
939	96.324				
940	96.319				
941	96.288				
942	96.274				
943	96.241				
944	96.251				
945	96.225				
946	96.194				
947	96.163				
948	96.17				
949	96.136				
950	96.122				
951	96.122				
952	96.132				
953	96.077				
954	96.088				
955	96.084				
956	96.029				
957	96.081				
958	96.042				
959	96.016				
960	96.039				
961	96.034				
962	96.033				
963	96.041				
964	95.997				
965	96.021				
966	96.017				
967	96.026				
968	96.025				
969	96.014				
970	96.041				
971	96.047				
972	96.067				
973	96.066				
974	96.06				
975	96.084				
976	96.083				
977	96.057				
978	96.104				
979	96.125				
980	96.135				
981	96.135				
982	96.16				
983	96.165				
984	96.154				
985	96.196				
986	96.167				
987	96.208				
988	96.235				
989	96.248				
990	96.245				
991	96.258				
992	96.272				
993	96.276				
994	96.323				
995	96.292				
996	96.325				
997	96.309				
998	96.354				
999	96.326				
1000	96.355				
1001	96.342				
1002	96.398				
1003	96.395				
1004	96.409				
1005	96.386				
1006	96.403				
1007	96.417				
1008	96.43				
1009	96.408				
1010	96.44				
1011	96.421				
1012	96.461				
1013	96.453				
1014	96.516				
1015	96.454				
1016	96.456				
1017	96.471				
1018	96.438				
1019	96.46				
1020	96.434				
1021	96.465				
1022	96.425				
1023	96.477				
1024	96.437				
1025	96.432				
1026	96.443				
1027	96.423				
1028	96.446				
1029	96.417				
1030	96.438				
1031	96.387				
1032	96.421				
1033	96.409				
1034	96.391				
1035	96.405				
1036	96.375				
1037	96.378				
1038	96.361				
1039	96.364				
1040	96.364				
1041	96.318				
1042	96.319				
1043	96.313				
1044	96.307				
1045	96.308				
1046	96.3				
1047	96.291				
1048	96.272				
1049	96.241				
1050	96.263				
1051	96.25				
1052	96.23				
1053	96.196				
1054	96.228				
1055	96.193				
1056	96.214				
1057	96.176				
1058	96.15				
1059	96.148				
1060	96.129				
1061	96.153				
1062	96.12				
1063	96.107				
1064	96.123				
1065	96.102				
1066	96.109				
1067	96.097				
1068	96.111				
1069	96.075				
1070	96.062				
1071	96.066				
1072	96.066				
1073	96.055				
1074	96.057				
1075	96.051				
1076	96.047				
1077	96.043				
1078	96.03				
1079	96.038				
1080	96.051				
1081	96.048				
1082	96.023				
1083	96.044				
1084	96.034				
1085	96.025				
1086	96.014				
1087	96.026				
1088	95.998				
1089	96.007				
1090	96.003				
1091	96.027				
1092	96.013				
1093	95.995				
1094	96.004				
1095	96.033				
1096	96.01				
1097	95.98				
1098	96.011				
1099	96.004				
1100	96.0				
