Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.669		Chroma		zt561rdcxr0
381	0.512				
382	0.316				
383	0.134				
384	0.118				
385	0.142				
386	0.181				
387	0.089				
388	0.248				
389	0.322				
390	0.084				
391	0.021				
392	0.003				
393	0.007				
394	0.033				
395	0.01				
396	0.003				
397	0.013				
398	0.036				
399	0.257				
400	1.051				
401	1.169				
402	0.405				
403	0.238				
404	0.307				
405	0.426				
406	0.642				
407	0.83				
408	1.058				
409	0.982				
410	0.805				
411	0.912				
412	1.362				
413	1.621				
414	1.107				
415	0.449				
416	0.22				
417	0.26				
418	0.461				
419	0.75				
420	0.527				
421	0.202				
422	0.123				
423	0.248				
424	1.214				
425	2.046				
426	0.821				
427	0.088				
428	0.044				
429	0.028				
430	0.051				
431	0.037				
432	0.013				
433	0.011				
434	0.003				
435	0.005				
436	0.007				
437	0.004				
438	0.009				
439	0.004				
440	0.001				
441	0.003				
442	0.005				
443	0.01				
444	0.004				
445	0.014				
446	0.005				
447	0.009				
448	0.008				
449	0.005				
450	0.005				
451	0.006				
452	0.005				
453	0.001				
454	0.002				
455	0.003				
456	0.008				
457	0.004				
458	0.001				
459	0.009				
460	0.003				
461	0.002				
462	0.002				
463	0.002				
464	0.001				
465	0.002				
466	0.003				
467	0.006				
468	0.0				
469	0.005				
470	0.002				
471	0.005				
472	0.001				
473	0.004				
474	0.007				
475	0.002				
476	0.002				
477	0.0				
478	0.002				
479	0.001				
480	0.002				
481	0.006				
482	0.005				
483	0.016				
484	0.022				
485	0.015				
486	0.012				
487	0.013				
488	0.015				
489	0.008				
490	0.019				
491	0.019				
492	0.025				
493	0.042				
494	0.057				
495	0.093				
496	0.125				
497	0.153				
498	0.187				
499	0.2				
500	0.206				
501	0.218				
502	0.237				
503	0.278				
504	0.337				
505	0.433				
506	0.508				
507	0.504				
508	0.409				
509	0.301				
510	0.216				
511	0.17				
512	0.145				
513	0.14				
514	0.151				
515	0.185				
516	0.26				
517	0.448				
518	0.77				
519	1.147				
520	1.301				
521	1.001				
522	0.64				
523	0.417				
524	0.316				
525	0.282				
526	0.293				
527	0.349				
528	0.458				
529	0.628				
530	1.206				
531	2.326				
532	3.358				
533	2.679				
534	1.383				
535	0.646				
536	0.367				
537	0.25				
538	0.186				
539	0.15				
540	0.13				
541	0.117				
542	0.11				
543	0.103				
544	0.104				
545	0.109				
546	0.111				
547	0.121				
548	0.13				
549	0.146				
550	0.166				
551	0.198				
552	0.247				
553	0.312				
554	0.41				
555	0.547				
556	0.753				
557	1.048				
558	1.453				
559	1.914				
560	2.487				
561	3.084				
562	3.648				
563	4.237				
564	4.767				
565	5.431				
566	6.315				
567	7.55				
568	9.164				
569	11.6				
570	14.961				
571	19.502				
572	25.186				
573	31.777				
574	38.675				
575	45.42				
576	54.62				
577	67.656				
578	82.947				
579	92.826				
580	95.557				
581	95.734				
582	96.015				
583	96.711				
584	97.438				
585	97.945				
586	98.211				
587	98.313				
588	98.353				
589	98.35				
590	98.335				
591	98.277				
592	98.179				
593	98.156				
594	98.201				
595	98.203				
596	98.216				
597	98.207				
598	98.17				
599	98.199				
600	98.469				
601	98.171				
602	97.924				
603	97.907				
604	97.837				
605	97.696				
606	97.463				
607	97.22				
608	96.928				
609	96.774				
610	96.693				
611	96.615				
612	96.547				
613	96.629				
614	96.583				
615	96.662				
616	96.701				
617	96.662				
618	96.536				
619	96.413				
620	96.336				
621	96.407				
622	96.555				
623	96.753				
624	97.031				
625	97.372				
626	97.689				
627	97.843				
628	97.841				
629	98.079				
630	98.033				
631	97.979				
632	97.858				
633	97.648				
634	97.449				
635	97.374				
636	97.413				
637	97.605				
638	97.82				
639	98.03				
640	98.264				
641	98.519				
642	98.45				
643	98.263				
644	97.967				
645	97.465				
646	96.804				
647	96.266				
648	95.806				
649	95.445				
650	95.332				
651	95.205				
652	95.408				
653	95.755				
654	96.217				
655	96.631				
656	97.107				
657	97.486				
658	97.774				
659	97.94				
660	97.96				
661	97.739				
662	97.685				
663	97.495				
664	97.389				
665	97.155				
666	97.079				
667	97.146				
668	97.321				
669	97.515				
670	97.764				
671	98.009				
672	98.319				
673	98.391				
674	98.453				
675	98.443				
676	98.324				
677	98.137				
678	97.932				
679	97.719				
680	97.489				
681	97.374				
682	97.302				
683	97.302				
684	97.292				
685	97.347				
686	97.439				
687	97.491				
688	97.595				
689	97.598				
690	97.42				
691	97.125				
692	96.998				
693	96.938				
694	96.609				
695	96.289				
696	96.013				
697	95.9				
698	95.95				
699	96.027				
700	96.163				
701	96.359				
702	96.552				
703	96.877				
704	97.156				
705	97.382				
706	97.582				
707	97.662				
708	97.681				
709	97.647				
710	97.546				
711	97.363				
712	97.128				
713	96.898				
714	96.592				
715	96.415				
716	96.294				
717	96.225				
718	96.251				
719	96.334				
720	96.45				
721	96.476				
722	96.535				
723	96.614				
724	96.695				
725	96.722				
726	96.735				
727	96.848				
728	96.821				
729	96.933				
730	96.843				
731	96.791				
732	96.826				
733	96.7				
734	96.632				
735	96.764				
736	96.92				
737	97.095				
738	97.31				
739	97.464				
740	97.672				
741	97.741				
742	97.772				
743	97.855				
744	97.632				
745	97.48				
746	97.21				
747	97.061				
748	96.676				
749	96.344				
750	96.176				
751	95.807				
752	95.544				
753	95.492				
754	95.484				
755	95.559				
756	95.691				
757	95.696				
758	95.99				
759	96.152				
760	96.446				
761	96.659				
762	96.651				
763	96.708				
764	96.68				
765	96.656				
766	96.525				
767	96.228				
768	95.949				
769	95.605				
770	95.229				
771	94.793				
772	94.324				
773	93.861				
774	93.461				
775	93.317				
776	93.15				
777	92.964				
778	92.969				
779	93.11				
780	93.276				
781	93.44				
782	93.562				
783	93.925				
784	94.177				
785	94.563				
786	94.813				
787	95.062				
788	95.315				
789	95.56				
790	95.557				
791	95.461				
792	95.293				
793	94.965				
794	94.681				
795	94.396				
796	93.893				
797	93.569				
798	93.296				
799	93.011				
800	92.79				
801	92.567				
802	92.344				
803	92.16				
804	91.96				
805	91.823				
806	91.779				
807	91.858				
