Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	27.371		Chroma		zt775sp2p0
381	29.264				
382	31.689				
383	32.129				
384	33.559				
385	35.957				
386	38.88				
387	42.957				
388	49.26				
389	54.311				
390	59.895				
391	66.399				
392	74.274				
393	78.729				
394	81.732				
395	83.919				
396	86.899				
397	89.731				
398	92.09				
399	93.309				
400	93.609				
401	93.371				
402	93.605				
403	94.442				
404	95.506				
405	96.434				
406	96.889				
407	97.133				
408	97.088				
409	97.124				
410	97.237				
411	97.484				
412	97.432				
413	97.191				
414	96.934				
415	96.926				
416	97.063				
417	97.264				
418	97.395				
419	97.726				
420	97.928				
421	97.942				
422	98.076				
423	98.284				
424	98.789				
425	99.146				
426	99.331				
427	99.328				
428	99.246				
429	98.885				
430	98.637				
431	98.544				
432	98.551				
433	98.357				
434	98.708				
435	98.701				
436	98.574				
437	98.26				
438	97.817				
439	97.483				
440	97.419				
441	97.51				
442	97.643				
443	97.883				
444	98.271				
445	98.449				
446	98.199				
447	97.991				
448	97.723				
449	97.55				
450	97.376				
451	97.35				
452	97.33				
453	97.286				
454	97.095				
455	97.089				
456	96.929				
457	96.796				
458	96.951				
459	97.244				
460	97.599				
461	97.993				
462	98.447				
463	98.51				
464	98.383				
465	98.173				
466	97.767				
467	97.247				
468	96.783				
469	96.533				
470	96.524				
471	96.832				
472	97.165				
473	97.628				
474	97.895				
475	98.312				
476	98.276				
477	98.134				
478	97.791				
479	97.545				
480	97.019				
481	96.833				
482	96.805				
483	96.901				
484	97.07				
485	97.272				
486	97.721				
487	97.726				
488	97.65				
489	97.422				
490	97.165				
491	96.641				
492	96.041				
493	95.581				
494	95.184				
495	94.814				
496	94.916				
497	95.021				
498	95.108				
499	95.251				
500	95.517				
501	95.598				
502	95.656				
503	95.586				
504	95.658				
505	95.57				
506	95.502				
507	95.637				
508	95.87				
509	96.078				
510	96.285				
511	96.577				
512	97.01				
513	97.356				
514	97.622				
515	97.701				
516	97.757				
517	97.739				
518	97.561				
519	97.29				
520	97.017				
521	96.609				
522	96.218				
523	95.997				
524	95.599				
525	95.331				
526	95.147				
527	94.973				
528	94.869				
529	94.843				
530	94.804				
531	94.809				
532	94.851				
533	95.002				
534	95.153				
535	95.321				
536	95.505				
537	95.591				
538	95.627				
539	95.663				
540	95.533				
541	95.438				
542	95.217				
543	94.988				
544	94.731				
545	94.467				
546	94.27				
547	94.103				
548	94.007				
549	94.183				
550	94.517				
551	94.789				
552	95.072				
553	95.545				
554	95.983				
555	96.513				
556	97.119				
557	97.382				
558	97.736				
559	97.669				
560	97.636				
561	97.671				
562	97.644				
563	97.347				
564	97.313				
565	97.135				
566	96.925				
567	96.747				
568	96.551				
569	96.49				
570	96.429				
571	96.528				
572	96.658				
573	96.703				
574	96.793				
575	96.98				
576	96.928				
577	96.918				
578	97.355				
579	97.538				
580	97.295				
581	97.348				
582	97.406				
583	97.392				
584	97.361				
585	97.724				
586	97.655				
587	98.094				
588	97.903				
589	97.893				
590	98.118				
591	98.211				
592	98.201				
593	98.185				
594	97.989				
595	98.175				
596	97.97				
597	97.652				
598	97.752				
599	97.934				
600	97.809				
601	97.56				
602	97.738				
603	98.233				
604	98.117				
605	98.062				
606	97.846				
607	98.214				
608	98.108				
609	98.584				
610	98.408				
611	98.852				
612	98.701				
613	98.787				
614	98.73				
615	98.758				
616	98.72				
617	98.683				
618	98.702				
619	98.721				
620	98.663				
621	98.645				
622	98.642				
623	98.652				
624	98.551				
625	98.602				
626	98.59				
627	98.596				
628	98.615				
629	98.527				
630	98.477				
631	98.438				
632	98.251				
633	98.21				
634	98.013				
635	97.65				
636	97.92				
637	97.448				
638	97.31				
639	97.071				
640	96.781				
641	96.724				
642	96.504				
643	96.75				
644	96.398				
645	96.85				
646	96.835				
647	96.824				
648	96.924				
649	97.237				
650	97.593				
651	97.7				
652	97.535				
653	97.807				
654	98.187				
655	98.373				
656	98.286				
657	98.108				
658	98.189				
659	98.019				
660	97.87				
661	97.748				
662	97.467				
663	97.448				
664	97.24				
665	97.224				
666	96.886				
667	96.802				
668	96.701				
669	96.505				
670	96.452				
671	96.456				
672	96.477				
673	96.489				
674	96.557				
675	96.631				
676	96.68				
677	96.8				
678	96.781				
679	96.865				
680	96.92				
681	96.905				
682	96.912				
683	96.874				
684	96.927				
685	96.87				
686	96.586				
687	96.665				
688	96.369				
689	96.364				
690	96.283				
691	96.31				
692	96.202				
693	96.323				
694	96.085				
695	96.307				
696	96.787				
697	96.639				
698	96.765				
699	96.897				
700	96.981				
701	97.228				
702	97.316				
703	97.548				
704	97.423				
705	97.708				
706	97.682				
707	97.665				
708	97.702				
709	97.619				
710	97.558				
711	97.378				
712	97.161				
713	96.892				
714	96.587				
715	96.314				
716	95.994				
717	95.651				
718	95.339				
719	94.987				
720	94.743				
721	94.596				
722	94.414				
723	94.306				
724	94.308				
725	94.357				
726	94.466				
727	94.71				
728	94.958				
729	95.219				
730	95.52				
731	95.756				
732	95.809				
733	95.578				
734	94.897				
735	93.614				
736	91.49				
737	88.514				
738	84.63				
739	80.086				
740	75.355				
741	70.516				
742	65.939				
743	61.773				
744	58.007				
745	54.751				
746	52.3				
747	50.088				
748	48.324				
749	46.679				
750	44.959				
751	43.663				
752	42.163				
753	40.609				
754	39.084				
755	37.384				
756	35.519				
757	33.414				
758	31.37				
759	29.039				
760	26.559				
761	24.216				
762	21.781				
763	19.347				
764	16.995				
765	14.894				
766	13.049				
767	11.29				
768	9.769				
769	8.43				
770	7.348				
771	6.386				
772	5.53				
773	4.801				
774	4.124				
775	3.573				
776	3.122				
777	2.743				
778	2.431				
779	2.152				
780	1.921				
781	1.717				
782	1.538				
783	1.399				
784	1.269				
785	1.152				
786	1.056				
787	0.978				
788	0.896				
789	0.836				
790	0.775				
791	0.719				
792	0.673				
793	0.629				
794	0.596				
795	0.565				
796	0.542				
797	0.52				
798	0.47				
799	0.448				
800	0.428				
801	0.409				
802	0.397				
803	0.389				
804	0.371				
805	0.365				
806	0.359				
807	0.343				
808	0.336				
809	0.337				
810	0.334				
811	0.329				
812	0.327				
813	0.328				
814	0.33				
815	0.34				
816	0.335				
817	0.342				
818	0.357				
819	0.362				
820	0.371				
821	0.377				
822	0.391				
823	0.405				
824	0.42				
825	0.441				
826	0.468				
827	0.5				
828	0.532				
829	0.568				
830	0.607				
831	0.653				
832	0.71				
833	0.772				
834	0.842				
835	0.929				
836	1.028				
837	1.151				
838	1.288				
839	1.444				
840	1.62				
841	1.825				
842	2.06				
843	2.322				
844	2.612				
845	2.913				
846	3.224				
847	3.515				
848	3.76				
849	3.958				
850	4.048				
851	4.011				
852	3.842				
853	3.564				
854	3.198				
855	2.846				
856	2.533				
857	2.262				
858	2.022				
859	1.806				
860	1.626				
861	1.482				
862	1.354				
863	1.249				
864	1.155				
865	1.077				
866	1.016				
867	0.958				
868	0.899				
869	0.863				
870	0.827				
871	0.795				
872	0.776				
873	0.754				
874	0.735				
875	0.719				
876	0.713				
877	0.708				
878	0.703				
879	0.702				
880	0.696				
881	0.694				
882	0.704				
883	0.708				
884	0.72				
885	0.733				
886	0.748				
887	0.757				
888	0.771				
889	0.787				
890	0.812				
891	0.84				
892	0.859				
893	0.884				
894	0.91				
895	0.937				
896	0.976				
897	1.005				
898	1.032				
899	1.068				
900	1.102				
901	1.139				
902	1.174				
903	1.195				
904	1.228				
905	1.254				
906	1.271				
907	1.287				
908	1.297				
909	1.297				
910	1.301				
911	1.296				
912	1.282				
913	1.268				
914	1.259				
915	1.241				
916	1.225				
917	1.207				
918	1.193				
919	1.174				
920	1.157				
921	1.146				
922	1.133				
923	1.119				
924	1.11				
925	1.098				
926	1.097				
927	1.091				
928	1.091				
929	1.092				
930	1.098				
931	1.107				
932	1.113				
933	1.123				
934	1.142				
935	1.162				
936	1.189				
937	1.21				
938	1.247				
939	1.285				
940	1.321				
941	1.361				
942	1.413				
943	1.477				
944	1.536				
945	1.601				
946	1.675				
947	1.753				
948	1.836				
949	1.919				
950	2.005				
951	2.097				
952	2.201				
953	2.304				
954	2.419				
955	2.536				
956	2.684				
957	2.836				
958	2.958				
959	3.056				
960	3.141				
961	3.206				
962	3.239				
963	3.241				
964	3.21				
965	3.149				
966	3.06				
967	2.956				
968	2.83				
969	2.687				
970	2.506				
971	2.344				
972	2.202				
973	2.06				
974	1.936				
975	1.818				
976	1.711				
977	1.605				
978	1.51				
979	1.43				
980	1.356				
981	1.288				
982	1.222				
983	1.169				
984	1.12				
985	1.072				
986	1.03				
987	0.992				
988	0.959				
989	0.931				
990	0.904				
991	0.883				
992	0.862				
993	0.844				
994	0.83				
995	0.815				
996	0.808				
997	0.795				
998	0.785				
999	0.783				
1000	0.783				
1001	0.788				
1002	0.787				
1003	0.792				
1004	0.797				
1005	0.807				
1006	0.825				
1007	0.832				
1008	0.85				
1009	0.872				
1010	0.901				
1011	0.923				
1012	0.957				
1013	0.99				
1014	1.03				
1015	1.076				
1016	1.124				
1017	1.179				
1018	1.242				
1019	1.311				
1020	1.396				
1021	1.49				
1022	1.588				
1023	1.696				
1024	1.821				
1025	1.956				
1026	2.116				
1027	2.292				
1028	2.487				
1029	2.69				
1030	2.915				
1031	3.195				
1032	3.496				
1033	3.774				
1034	4.06				
1035	4.34				
1036	4.601				
1037	4.814				
1038	4.965				
1039	5.068				
1040	5.09				
1041	5.036				
1042	4.909				
1043	4.706				
1044	4.43				
1045	4.157				
1046	3.851				
1047	3.494				
1048	3.168				
1049	2.894				
1050	2.646				
1051	2.41				
1052	2.205				
1053	2.026				
1054	1.873				
1055	1.72				
1056	1.583				
1057	1.462				
1058	1.371				
1059	1.28				
1060	1.203				
1061	1.128				
1062	1.056				
1063	1.008				
1064	0.96				
1065	0.924				
1066	0.874				
1067	0.85				
1068	0.808				
1069	0.786				
1070	0.768				
1071	0.758				
1072	0.746				
1073	0.737				
1074	0.73				
1075	0.736				
1076	0.744				
1077	0.761				
1078	0.777				
1079	0.812				
1080	0.843				
1081	0.87				
1082	0.892				
1083	0.89				
1084	0.886				
1085	0.874				
1086	0.821				
1087	0.779				
1088	0.747				
1089	0.715				
1090	0.682				
1091	0.665				
1092	0.645				
1093	0.63				
1094	0.63				
1095	0.605				
1096	0.616				
1097	0.606				
1098	0.61				
1099	0.621				
1100	0.608				
