Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.266	#00A407	Hoya	Green	X1
305	0.283				
310	0.301				
315	0.319				
320	0.336				
325	0.354				
330	0.372				
335	0.389				
340	0.407				
345	0.425				
350	0.413				
355	0.399				
360	0.385				
365	0.371				
370	0.358				
375	0.344				
380	0.33				
385	0.316				
390	0.302				
395	0.288				
400	0.274				
405	0.273				
410	0.312				
415	0.351				
420	0.389				
425	0.437				
430	0.623				
435	0.81				
440	1.169				
445	1.807				
450	2.445				
455	3.807				
460	5.47				
465	7.945				
470	10.732				
475	13.981				
480	17.728				
485	21.995				
490	26.688				
495	31.501				
500	36.339				
505	40.869				
510	44.908				
515	48.474				
520	51.04				
525	52.498				
530	53.28				
535	53.649				
540	52.607				
545	51.565				
550	49.18				
555	46.337				
560	42.967				
565	39.406				
570	35.609				
575	31.761				
580	28.063				
585	24.58				
590	21.357				
595	18.377				
600	15.724				
605	13.431				
610	11.567				
615	9.967				
620	8.691				
625	7.414				
630	6.692				
635	6.022				
640	5.351				
645	4.917				
650	4.536				
655	4.154				
660	3.949				
665	3.812				
670	3.676				
675	3.542				
680	3.409				
685	3.277				
690	3.194				
695	3.158				
700	3.122				
705	3.135				
710	3.215				
715	3.296				
720	3.373				
725	3.446				
730	3.518				
735	3.588				
740	3.652				
745	3.717				
750	3.778				
755	3.818				
760	3.858				
765	3.9				
770	3.988				
775	4.076				
780	4.164				
785	4.19				
790	4.21				
795	4.23				
800	4.29				
805	4.358				
810	4.426				
815	4.503				
820	4.583				
825	4.664				
830	4.739				
835	4.811				
840	4.883				
845	4.97				
850	5.071				
855	5.171				
860	5.285				
865	5.418				
870	5.55				
875	5.684				
880	5.821				
885	5.957				
890	6.101				
895	6.27				
900	6.438				
905	6.611				
910	6.812				
915	7.012				
920	7.214				
925	7.439				
930	7.663				
935	7.888				
940	8.128				
945	8.369				
950	8.61				
955	8.874				
960	9.143				
965	9.412				
970	9.696				
975	9.985				
980	10.274				
985	10.586				
990	10.911				
995	11.236				
1000	11.559				
1005	11.88				
1010	12.201				
1015	12.536				
1020	12.89				
1025	13.243				
1030	13.606				
1035	13.987				
1040	14.368				
1045	14.755				
1050	15.156				
1055	15.557				
1060	15.958				
1065	16.351				
1070	16.744				
1075	17.138				
1080	17.552				
1085	17.965				
1090	18.379				
1095	18.826				
1100	19.276				
