Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
355	62.661	#4181ff	Hoya	80A	80A
360	66.912				
365	70.553				
370	72.86				
375	74.189				
380	75.626				
385	77.398				
390	79.052				
395	80.015				
400	79.892				
405	79.017				
410	76.59				
415	71.133				
420	66.467				
425	64.574				
430	62.016				
435	59.36				
440	57.18				
445	54.955				
450	52.622				
455	50.385				
460	48.384				
465	46.496				
470	44.691				
475	43.041				
480	41.442				
485	40.126				
490	38.89				
495	37.661				
500	36.533				
505	35.373				
510	34.173				
515	32.939				
520	31.633				
525	30.335				
530	29.184				
535	28.411				
540	28.099				
545	28.351				
550	28.908				
555	29.464				
560	29.656				
565	29.368				
570	28.367				
575	26.694				
580	24.525				
585	22.297				
590	20.624				
595	19.94				
600	19.661				
605	19.348				
610	18.948				
615	18.411				
620	17.753				
625	17.017				
630	16.225				
635	15.389				
640	14.695				
645	14.223				
650	13.962				
655	13.897				
660	14.054				
665	14.371				
670	14.78				
675	15.246				
680	15.747				
685	16.259				
690	16.726				
695	16.978				
700	17.027				
705	17.027				
710	16.959				
715	16.836				
720	16.717				
725	16.581				
730	16.438				
735	16.297				
740	16.155				
745	16.015				
750	15.958				
755	15.958				
760	15.958				
765	15.958				
770	15.958				
775	15.958				
780	15.958				
785	15.958				
790	15.958				
795	15.958				
800	15.958				
805	15.958				
810	15.958				
815	15.958				
820	15.958				
825	15.958				
830	15.958				
835	15.958				
840	15.958				
845	15.958				
850	15.958				
855	15.958				
860	15.958				
865	15.958				
870	15.958				
875	15.958				
880	15.958				
885	15.958				
890	15.958				
895	15.958				
900	15.958				
905	15.958				
910	15.958				
915	15.958				
920	15.958				
925	15.958				
930	15.958				
935	15.958				
940	15.958				
945	15.958				
950	15.958				
955	15.958				
960	15.958				
965	15.958				
970	15.958				
975	15.958				
980	15.958				
985	15.958				
990	15.958				
995	15.958				
1000	15.958				
1005	15.958				
1010	15.958				
1015	15.958				
1020	15.958				
1025	15.958				
1030	15.958				
1035	15.958				
1040	15.958				
1045	15.958				
1050	15.958				
1055	15.958				
1060	15.958				
1065	15.958				
1070	15.958				
1075	15.958				
1080	15.958				
1085	15.958				
1090	15.958				
1095	15.958				
1100	15.958				
