Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
355	71.986	#5c93ff	Hoya	80B	80B
360	75.62				
365	78.495				
370	80.255				
375	81.211				
380	81.981				
385	83.413				
390	84.92				
395	85.846				
400	85.988				
405	85.51				
410	83.858				
415	80.545				
420	77.293				
425	75.282				
430	73.235				
435	71.042				
440	68.982				
445	66.918				
450	64.881				
455	62.89				
460	61.102				
465	59.345				
470	57.675				
475	56.072				
480	54.579				
485	53.161				
490	51.865				
495	50.708				
500	49.5				
505	48.252				
510	46.971				
515	45.666				
520	44.383				
525	42.924				
530	41.439				
535	40.342				
540	39.85				
545	39.98				
550	40.609				
555	41.217				
560	41.402				
565	40.919				
570	39.947				
575	38.226				
580	35.615				
585	33.184				
590	31.374				
595	30.403				
600	29.868				
605	29.487				
610	29.002				
615	28.352				
620	27.562				
625	26.575				
630	25.547				
635	24.548				
640	23.637				
645	23.001				
650	22.582				
655	22.337				
660	22.444				
665	22.786				
670	23.278				
675	23.91				
680	24.548				
685	25.105				
690	25.559				
695	25.899				
700	25.957				
705	25.778				
710	25.567				
715	25.318				
720	25.039				
725	24.758				
730	24.494				
735	24.286				
740	24.203				
745	24.203				
750	24.203				
755	24.203				
760	24.203				
765	24.203				
770	24.203				
775	24.203				
780	24.203				
785	24.203				
790	24.203				
795	24.203				
800	24.203				
805	24.203				
810	24.203				
815	24.203				
820	24.203				
825	24.203				
830	24.203				
835	24.203				
840	24.203				
845	24.203				
850	24.203				
855	24.203				
860	24.203				
865	24.203				
870	24.203				
875	24.203				
880	24.203				
885	24.203				
890	24.203				
895	24.203				
900	24.203				
905	24.203				
910	24.203				
915	24.203				
920	24.203				
925	24.203				
930	24.203				
935	24.203				
940	24.203				
945	24.203				
950	24.203				
955	24.203				
960	24.203				
965	24.203				
970	24.203				
975	24.203				
980	24.203				
985	24.203				
990	24.203				
995	24.203				
1000	24.203				
1005	24.203				
1010	24.203				
1015	24.203				
1020	24.203				
1025	24.203				
1030	24.203				
1035	24.203				
1040	24.203				
1045	24.203				
1050	24.203				
1055	24.203				
1060	24.203				
1065	24.203				
1070	24.203				
1075	24.203				
1080	24.203				
1085	24.203				
1090	24.203				
1095	24.203				
1100	24.203				
