Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
415	2.398	#5B5B5B	Kolari	Iridium +30nm	Iridium +30nm
420	20.906				
425	69.096				
430	74.898				
435	82.522				
440	87.409				
445	87.899				
450	87.317				
455	85.004				
460	82.906				
465	86.093				
470	81.756				
475	84.014				
480	86.541				
485	84.837				
490	68.667				
495	44.447				
500	7.355				
505	1.713				
510	0.615				
515	0.308				
520	0.31				
525	0.484				
530	0.848				
535	4.521				
540	28.627				
545	68.475				
550	88.676				
555	90.38				
560	91.303				
565	93.866				
570	95.196				
575	95.17				
580	93.738				
585	86.994				
590	64.321				
595	27.166				
600	6.227				
605	2.508				
610	1.384				
615	1.048				
620	1.661				
625	4.28				
630	14.268				
635	44.348				
640	56.065				
645	66.614				
650	87.951				
655	93.398				
660	94.434				
665	93.114				
670	89.757				
675	89.14				
680	92.166				
685	93.88				
690	93.897				
695	94.149				
700	94.593				
705	93.089				
710	92.471				
715	94.555				
720	97.128				
725	96.242				
730	94.695				
735	93.188				
740	92.13				
745	89.911				
750	88.697				
755	89.305				
760	92.878				
765	96.229				
770	96.708				
775	95.571				
780	93.731				
785	94.323				
790	95.03				
795	95.93				
800	96.095				
805	96.104				
810	96.851				
815	97.472				
820	97.958				
825	97.869				
830	97.57				
835	96.884				
840	95.984				
845	94.938				
850	93.778				
855	92.877				
860	92.504				
865	93.091				
870	94.153				
875	95.76				
880	97.089				
885	98.16				
890	98.617				
895	98.791				
900	98.377				
905	97.47				
910	96.273				
915	94.983				
920	94.0				
925	93.542				
930	92.95				
935	91.886				
940	88.905				
945	82.793				
950	74.073				
955	64.799				
960	56.092				
965	48.642				
970	43.466				
975	40.223				
980	39.099				
985	39.312				
990	41.486				
995	46.586				
1000	54.93				
1005	67.979				
1010	81.935				
1015	90.398				
1020	85.955				
1025	72.017				
