Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
355	65.881	#363fd5	Kolari	IR Chrome	000
360	72.938				
365	78.211				
370	82.214				
375	84.805				
380	86.846				
385	88.335				
390	89.719				
395	90.876				
400	91.503				
405	92.13				
410	92.757				
415	92.815				
420	92.84				
425	92.864				
430	92.889				
435	92.628				
440	92.184				
445	91.741				
450	91.298				
455	90.297				
460	89.225				
465	88.154				
470	86.492				
475	84.682				
480	82.481				
485	80.032				
490	77.209				
495	74.178				
500	70.912				
505	67.448				
510	63.873				
515	60.297				
520	56.504				
525	52.498				
530	48.549				
535	44.893				
540	41.16				
545	37.433				
550	33.771				
555	30.195				
560	26.8				
565	23.828				
570	21.166				
575	19.117				
580	17.173				
585	15.475				
590	13.901				
595	12.354				
600	10.939				
605	9.524				
610	8.347				
615	7.854				
620	7.361				
625	6.867				
630	6.679				
635	6.667				
640	6.656				
645	6.589				
650	6.4				
655	6.212				
660	6.09				
665	6.09				
670	6.09				
675	6.09				
680	6.432				
685	6.886				
690	7.341				
695	7.862				
700	9.342				
705	10.823				
710	12.388				
715	14.317				
720	16.246				
725	17.701				
730	19.069				
735	20.437				
740	21.353				
745	22.225				
750	23.096				
755	23.441				
760	23.102				
765	22.763				
770	22.424				
775	21.814				
780	21.05				
785	20.286				
790	19.538				
795	18.828				
800	18.118				
805	17.408				
810	16.83				
815	16.284				
820	15.737				
825	15.194				
830	14.715				
835	14.235				
840	13.755				
845	13.316				
850	12.942				
855	12.567				
860	12.198				
865	11.873				
870	11.548				
875	11.223				
880	10.926				
885	10.653				
890	10.38				
895	10.106				
900	9.876				
905	9.656				
910	9.437				
915	9.219				
920	9.009				
925	8.8				
930	8.59				
935	8.434				
940	8.278				
945	8.123				
950	7.982				
955	7.874				
960	7.765				
965	7.657				
970	7.564				
975	7.474				
980	7.384				
985	7.293				
990	7.201				
995	7.109				
