Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	65.319	#FF78DC	Lee Filters	Rose Pink	2
410	67.66				
415	70.203				
420	70.237				
425	68.656				
430	67.995				
435	69.09				
440	71.375				
445	72.28				
450	70.346				
455	67.129				
460	64.158				
465	61.828				
470	59.934				
475	57.164				
480	53.286				
485	48.724				
490	44.414				
495	40.181				
500	35.624				
505	30.526				
510	25.299				
515	20.803				
520	17.912				
525	16.361				
530	15.661				
535	14.806				
540	12.912				
545	10.096				
550	7.259				
555	5.338				
560	4.549				
565	4.976				
570	6.905				
575	11.19				
580	19.139				
585	30.271				
590	43.566				
595	56.491				
600	66.954				
605	74.607				
610	80.101				
615	83.818				
620	86.374				
625	87.97				
630	88.928				
635	89.215				
640	89.448				
645	89.357				
650	89.488				
655	89.587				
660	89.574				
665	89.584				
670	89.707				
675	89.867				
680	89.73				
685	89.941				
690	90.094				
695	89.852				
700	89.906				
705	89.919				
710	89.931				
715	89.94				
720	89.949				
725	89.956				
730	89.962				
735	89.967				
740	89.972				
745	89.976				
750	89.979				
755	89.982				
760	89.985				
765	89.987				
770	89.989				
775	89.99				
780	89.992				
785	89.993				
790	89.994				
795	89.995				
800	89.995				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
