Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	16.769	#FC9B80	Lee Filters	Dark Salmon	8
410	16.965				
415	17.287				
420	17.291				
425	17.005				
430	16.655				
435	16.078				
440	15.198				
445	14.055				
450	12.843				
455	11.57				
460	10.315				
465	9.219				
470	8.329				
475	7.566				
480	6.923				
485	6.453				
490	6.22				
495	6.242				
500	6.489				
505	6.84				
510	7.232				
515	7.651				
520	8.287				
525	9.34				
530	10.994				
535	13.145				
540	15.56				
545	18.04				
550	20.839				
555	23.952				
560	27.254				
565	30.869				
570	35.495				
575	41.451				
580	47.864				
585	53.89				
590	60.605				
595	68.051				
600	74.914				
605	79.797				
610	82.57				
615	83.048				
620	83.249				
625	84.045				
630	85.173				
635	86.87				
640	88.063				
645	88.962				
650	89.041				
655	88.516				
660	87.727				
665	87.195				
670	87.089				
675	87.526				
680	88.081				
685	88.979				
690	89.822				
695	90.132				
700	90.4				
705	90.399				
710	90.398				
715	90.395				
720	90.39				
725	90.381				
730	90.367				
735	90.342				
740	90.305				
745	90.254				
750	90.194				
755	90.136				
760	90.088				
765	90.053				
770	90.031				
775	90.017				
780	90.01				
785	90.005				
790	90.003				
795	90.002				
800	90.001				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
