Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	40.915	#FCD7B3	Lee Filters	Pale Amber Gold	9
410	39.845				
415	39.21				
420	39.182				
425	39.36				
430	38.93				
435	37.821				
440	36.93				
445	36.437				
450	36.462				
455	37.144				
460	38.287				
465	39.684				
470	41.533				
475	43.558				
480	45.685				
485	48.135				
490	51.044				
495	53.901				
500	56.081				
505	57.512				
510	58.275				
515	59.025				
520	60.181				
525	61.96				
530	64.048				
535	65.731				
540	66.275				
545	66.27				
550	66.312				
555	66.395				
560	67.715				
565	70.401				
570	74.288				
575	78.677				
580	82.263				
585	84.173				
590	84.587				
595	84.925				
600	85.102				
605	85.782				
610	86.998				
615	88.386				
620	89.449				
625	90.068				
630	89.655				
635	89.066				
640	87.856				
645	86.952				
650	86.67				
655	86.629				
660	87.047				
665	87.696				
670	88.965				
675	89.756				
680	90.434				
685	90.763				
690	90.942				
695	90.751				
700	90.588				
705	90.586				
710	90.584				
715	90.58				
720	90.573				
725	90.56				
730	90.538				
735	90.502				
740	90.448				
745	90.373				
750	90.286				
755	90.2				
760	90.129				
765	90.078				
770	90.045				
775	90.026				
780	90.014				
785	90.008				
790	90.004				
795	90.002				
800	90.001				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
