Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	30.205	#FCD89B	Lee Filters	Straw Tint	13
410	29.182				
415	28.404				
420	28.543				
425	29.314				
430	29.672				
435	29.185				
440	28.53				
445	28.368				
450	28.988				
455	30.115				
460	31.184				
465	32.026				
470	32.973				
475	34.577				
480	36.933				
485	40.057				
490	43.229				
495	45.795				
500	47.285				
505	48.75				
510	50.603				
515	53.339				
520	57.047				
525	60.662				
530	63.036				
535	63.879				
540	63.558				
545	64.099				
550	66.848				
555	71.455				
560	76.556				
565	80.919				
570	83.642				
575	85.237				
580	85.718				
585	85.704				
590	85.795				
595	86.044				
600	86.187				
605	86.432				
610	86.647				
615	86.536				
620	86.539				
625	86.7				
630	86.663				
635	86.733				
640	87.241				
645	87.761				
650	88.555				
655	89.056				
660	89.5				
665	89.774				
670	89.782				
675	89.516				
680	88.923				
685	88.9				
690	89.064				
695	89.183				
700	89.505				
705	89.575				
710	89.634				
715	89.686				
720	89.73				
725	89.768				
730	89.801				
735	89.829				
740	89.853				
745	89.873				
750	89.891				
755	89.907				
760	89.92				
765	89.931				
770	89.941				
775	89.949				
780	89.956				
785	89.962				
790	89.968				
795	89.972				
800	89.975				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
