Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.552	#FF4600	Lee Filters	Fire	19
410	0.521				
415	0.508				
420	0.519				
425	0.55				
430	0.6				
435	0.647				
440	0.678				
445	0.677				
450	0.668				
455	0.657				
460	0.648				
465	0.646				
470	0.663				
475	0.698				
480	0.75				
485	0.821				
490	0.906				
495	0.997				
500	1.084				
505	1.167				
510	1.249				
515	1.359				
520	1.548				
525	1.812				
530	2.068				
535	2.195				
540	2.093				
545	1.838				
550	1.525				
555	1.226				
560	0.986				
565	0.934				
570	1.262				
575	2.472				
580	6.176				
585	14.268				
590	27.913				
595	44.539				
600	59.769				
605	71.042				
610	77.837				
615	80.439				
620	80.795				
625	81.022				
630	81.557				
635	82.713				
640	84.395				
645	85.747				
650	86.265				
655	85.761				
660	84.516				
665	83.542				
670	82.722				
675	83.186				
680	83.885				
685	85.323				
690	86.596				
695	87.491				
700	87.89				
705	88.187				
710	88.442				
715	88.661				
720	88.849				
725	89.011				
730	89.15				
735	89.269				
740	89.372				
745	89.46				
750	89.536				
755	89.601				
760	89.658				
765	89.706				
770	89.747				
775	89.783				
780	89.813				
785	89.839				
790	89.862				
795	89.881				
800	89.895				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
