Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.527	#FF6900	Lee Filters	Dark Amber	22
410	0.492				
415	0.464				
420	0.437				
425	0.403				
430	0.371				
435	0.325				
440	0.283				
445	0.242				
450	0.21				
455	0.177				
460	0.151				
465	0.129				
470	0.115				
475	0.108				
480	0.106				
485	0.109				
490	0.118				
495	0.14				
500	0.185				
505	0.265				
510	0.391				
515	0.547				
520	0.713				
525	0.924				
530	1.352				
535	2.305				
540	4.248				
545	7.066				
550	9.439				
555	9.961				
560	9.181				
565	8.989				
570	10.72				
575	15.67				
580	25.133				
585	37.862				
590	51.686				
595	63.425				
600	71.855				
605	76.282				
610	78.283				
615	79.075				
620	80.187				
625	81.799				
630	83.047				
635	83.779				
640	83.267				
645	82.75				
650	82.79				
655	83.245				
660	84.173				
665	84.968				
670	85.617				
675	85.915				
680	85.706				
685	85.591				
690	85.775				
695	85.902				
700	85.953				
705	85.961				
710	85.977				
715	86.004				
720	86.053				
725	86.141				
730	86.292				
735	86.54				
740	86.918				
745	87.432				
750	88.033				
755	88.624				
760	89.112				
765	89.462				
770	89.688				
775	89.824				
780	89.902				
785	89.946				
790	89.97				
795	89.984				
800	89.99				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
