Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	4.181	#FF6E46	Lee Filters	Sunset Red	25
410	4.024				
415	3.928				
420	3.99				
425	4.161				
430	4.369				
435	4.516				
440	4.585				
445	4.617				
450	4.583				
455	4.514				
460	4.46				
465	4.472				
470	4.596				
475	4.798				
480	5.068				
485	5.368				
490	5.733				
495	6.147				
500	6.588				
505	7.006				
510	7.417				
515	7.931				
520	8.7				
525	9.698				
530	10.595				
535	11.018				
540	10.869				
545	10.305				
550	9.623				
555	8.993				
560	8.489				
565	8.692				
570	10.679				
575	15.684				
580	25.229				
585	38.463				
590	53.09				
595	65.768				
600	75.031				
605	80.66				
610	83.974				
615	85.467				
620	86.206				
625	86.821				
630	87.619				
635	88.205				
640	88.282				
645	88.431				
650	88.289				
655	87.677				
660	87.072				
665	87.026				
670	87.467				
675	88.121				
680	88.822				
685	89.593				
690	90.49				
695	90.669				
700	90.093				
705	90.093				
710	90.092				
715	90.092				
720	90.09				
725	90.088				
730	90.085				
735	90.079				
740	90.071				
745	90.059				
750	90.045				
755	90.032				
760	90.02				
765	90.012				
770	90.007				
775	90.004				
780	90.002				
785	90.001				
790	90.001				
795	90.0				
800	90.0				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
