Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.541	#C8003C	Lee Filters	Medium Red	27
410	0.446				
415	0.357				
420	0.288				
425	0.245				
430	0.23				
435	0.238				
440	0.255				
445	0.282				
450	0.303				
455	0.308				
460	0.315				
465	0.316				
470	0.3				
475	0.254				
480	0.183				
485	0.106				
490	0.056				
495	0.022				
500	0.01				
505	0.01				
510	0.01				
515	0.01				
520	0.01				
525	0.01				
530	0.01				
535	0.01				
540	0.01				
545	0.01				
550	0.01				
555	0.01				
560	0.01				
565	0.01				
570	0.01				
575	0.01				
580	0.014				
585	0.011				
590	0.011				
595	0.043				
600	0.444				
605	2.363				
610	6.703				
615	12.155				
620	17.013				
625	20.79				
630	24.299				
635	28.13				
640	33.023				
645	39.188				
650	46.449				
655	53.541				
660	59.968				
665	64.494				
670	67.581				
675	69.992				
680	72.494				
685	74.959				
690	77.208				
695	78.395				
700	78.853				
705	78.876				
710	78.917				
715	78.993				
720	79.129				
725	79.37				
730	79.786				
735	80.469				
740	81.509				
745	82.925				
750	84.582				
755	86.209				
760	87.555				
765	88.519				
770	89.14				
775	89.514				
780	89.73				
785	89.851				
790	89.918				
795	89.955				
800	89.972				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
