Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	68.442	#FFC8D2	Lee Filters	Light Pink	35
410	70.383				
415	69.636				
420	68.431				
425	68.803				
430	70.833				
435	71.287				
440	69.37				
445	67.299				
450	66.775				
455	67.377				
460	67.755				
465	66.263				
470	63.834				
475	61.911				
480	61.128				
485	61.049				
490	60.968				
495	59.587				
500	57.32				
505	54.929				
510	52.804				
515	51.685				
520	51.389				
525	51.806				
530	52.165				
535	52.094				
540	51.06				
545	49.316				
550	46.717				
555	44.726				
560	43.944				
565	45.561				
570	50.267				
575	57.564				
580	65.258				
585	71.459				
590	75.938				
595	79.352				
600	82.207				
605	84.714				
610	87.349				
615	89.11				
620	89.669				
625	89.58				
630	88.941				
635	87.658				
640	86.458				
645	86.112				
650	86.363				
655	86.95				
660	88.511				
665	89.94				
670	91.356				
675	92.281				
680	92.39				
685	91.916				
690	91.204				
695	90.474				
700	89.046				
705	89.048				
710	89.052				
715	89.058				
720	89.07				
725	89.091				
730	89.126				
735	89.185				
740	89.274				
745	89.395				
750	89.536				
755	89.676				
760	89.791				
765	89.873				
770	89.926				
775	89.958				
780	89.977				
785	89.987				
790	89.993				
795	89.996				
800	89.998				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
