Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	57.846	#FFA0B9	Lee Filters	Medium Pink	36
410	58.349				
415	58.242				
420	58.334				
425	58.238				
430	57.999				
435	57.496				
440	56.16				
445	54.725				
450	53.739				
455	52.629				
460	50.692				
465	48.149				
470	46.183				
475	45.007				
480	43.267				
485	40.774				
490	38.089				
495	36.062				
500	34.762				
505	33.326				
510	31.267				
515	29.099				
520	27.481				
525	27.235				
530	28.122				
535	29.373				
540	29.924				
545	28.985				
550	26.851				
555	24.659				
560	23.733				
565	24.858				
570	29.495				
575	37.83				
580	48.647				
585	58.607				
590	66.685				
595	72.953				
600	77.927				
605	81.677				
610	84.447				
615	85.689				
620	85.785				
625	84.908				
630	84.989				
635	84.934				
640	85.209				
645	86.229				
650	87.211				
655	87.523				
660	87.806				
665	87.521				
670	87.499				
675	87.321				
680	87.275				
685	87.513				
690	87.962				
695	88.233				
700	87.931				
705	88.222				
710	88.472				
715	88.687				
720	88.871				
725	89.03				
730	89.166				
735	89.284				
740	89.384				
745	89.471				
750	89.545				
755	89.609				
760	89.664				
765	89.711				
770	89.752				
775	89.787				
780	89.817				
785	89.843				
790	89.865				
795	89.884				
800	89.897				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
